,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
21,David Huff\huffda01,36,8,,3.082,Jim McDowell,,Arb,,Arb,FA,,,,,"[-0.2, -1.1, -0.3, 0.2, -0.2, 0.5, -0.2, -0.5]",True,0.475,"[23.0, 15.0, 11.0, 6.0, 14.0, 46.0, 3.0, 2.0]"
22,Ryan Dull\dullry01,31,5,,3.022,,,Arb,,Arb,FA,,,,,"[0.0, 2.3, -0.7, 0.1, -0.8]",True,0.0,"[13.0, 70.0, 49.0, 28.0, 11.0]"
23,Luis Torrens\torrelu01,25,4,Traded,1.128,,,,,Arb,Arb,Arb,FA,,,"[-1.2, 0.0, -0.1, -0.2]",False,,"[56.0, 7.0, 25.0, 29.0]"
24,Shed Long\longsh01,25,2,Traded,1.057,,,,,Arb,Arb,Arb,FA,,,"[-0.1, -0.1]",False,,"[42.0, 34.0]"
25,Paul Sewald\sewalpa01,31,5,Free Agency,2.101,,,,,Arb,Arb,FA,,,,"[0.1, -1.0, 0.2, -0.3, 0.1]",True,0.0,"[57.0, 46.0, 17.0, 5.0, 9.0]"
26,Brian Schlitter\schlibr01,35,4,,2.092,,,,,Arb,Arb,FA,,,,"[-0.6, 0.2, -0.4, 0.1]",True,0.0,"[7.0, 61.0, 10.0, 6.0]"
27,Casey Sadler\sadleca02,30,6,Waivers,2.035,,,,,Arb,Arb,FA,,,,"[-0.3, 0.1, -0.2, 0.7, -0.2, 0.3]",True,0.0,"[6.0, 1.0, 2.0, 33.0, 17.0, 11.0]"
28,Eric Campbell\campber01,34,4,Free Agency,2.024,Octagon,,,,Arb,Arb,FA,,,,"[0.5, -0.6, -0.3, -0.1]",False,,"[85.0, 71.0, 40.0, 4.0]"
29,Dylan Moore\mooredy01,28,3,Free Agency,2.0,,,,,Arb,Arb,FA,,,,"[0.4, 1.7, 0.9]",False,,"[113.0, 38.0, 41.0]"
30,Yohan Ramirez\ramiryo01,26,2,Rule 5 Draft,1.0,,,,,Arb,Arb,Arb,FA,,,"[0.5, 0.0]",True,0.0,"[16.0, 2.0]"
31,Nick Margevicius\margeni01,25,3,Waivers,1.1,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,"[-0.8, 0.2, -0.8]",True,0.6,"[17.0, 10.0, 5.0]"
32,Erik Swanson\swanser01,27,3,Traded,1.099,,,,,Arb,Arb,Arb,FA,,,"[-0.2, -0.8, 0.6]",True,0.2222222222222222,"[27.0, 9.0, 9.0]"
33,Ty Kelly\kellyty01,32,3,,1.0979999999999999,,,,,Arb,Arb,Arb,FA,,,"[0.5, 0.2, -0.2]",False,,"[39.0, 70.0, 9.0]"
34,Logan Verrett\verrelo01,31,3,,1.092,,,,,Arb,Arb,Arb,FA,,,"[0.6, -0.4, 0.1]",True,0.2807017543859649,"[18.0, 35.0, 4.0]"
35,Ty France\francty01,26,3,Traded,1.089,,,,,Arb,Arb,Arb,FA,,,"[-0.3, 1.0, 0.9]",False,,"[69.0, 43.0, 50.0]"
36,Andres Munoz\munozan01,22,1st,,1.08,,,,,Arb,Arb,Arb,FA,,,[0.2],True,0.0,[22.0]
37,Justus Sheffield\sheffju01,25,4,Traded,1.053,,,,,Arb,Arb,Arb,FA,,,"[-0.1, 0.2, 0.8, -0.4]",True,1.0,"[3.0, 8.0, 10.0, 10.0]"
38,Sam Travis\travisa01,27,3,,1.047,,,,,Arb,Arb,Arb,FA,,,"[-0.5, 0.1, -0.7]",False,,"[33.0, 19.0, 59.0]"
39,Jack Mayfield\mayfija01,30,3,Waivers,1.03,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,,,"[0.0, -0.2, -0.30000000000000004]",False,,"[26.0, 21.0, 11.0]"
40,Jacob Nottingham\nottija01,26,4,Waivers,1.026,,,,,Arb,Arb,Arb,FA,,,"[0.3, 0.0, 0.5, -0.2]",False,,"[9.0, 9.0, 20.0, 14.0]"
41,Jimmy Yacabonis\yacabji01,29,4,Purchased,1.022,,,,,Arb,Arb,Arb,FA,,,"[0.2, 0.3, -0.3, 0.0]",True,0.21052631578947367,"[14.0, 12.0, 29.0, 2.0]"
42,Justin Dunn\dunnju01,25,3,Traded,1.02,,,,,Arb,Arb,Arb,FA,,,"[0.2, 0.3, 1.0]",True,1.0,"[4.0, 10.0, 9.0]"
43,Kyle Lewis\lewisky01,25,3,Amateur Draft,1.02,,,,,Arb,Arb,Arb,FA,,,"[0.4, 1.6, 0.4]",False,,"[18.0, 58.0, 36.0]"
44,Jose Marmolejos\marmojo01,28,2,Free Agency,1.0170000000000001,,,,,Arb,Arb,Arb,FA,,,"[-0.2, -0.7]",False,,"[35.0, 31.0]"
