,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games
23,Jordan Luplow\luplojo01,26,4,Traded,1.112,MVP Sports Group,,,,Arb,Arb,"[-0.3, 0.1, 2.0]",False,,"[27.0, 37.0, 85.0]"
24,Mike Freeman\freemmi01,32,5,Free Agency,1.111,,,,,Arb,Arb,"[-0.1, -0.7, -0.1, 1.2]",False,,"[21.0, 35.0, 1.0, 75.0]"
25,James Hoyt\hoytja01,33,4,Free Agency,1.1079999999999999,,,,,Arb,Arb,"[-0.1, 0.2, 0.0, 0.2]",True,0.0,"[22.0, 43.0, 1.0, 8.0]"
26,Jake Bauers\bauerja01,24,2,Traded,1.1,VC Sports Group,,,,Arb,Arb,"[0.5, -0.7]",False,,"[96.0, 117.0]"
27,Greg Allen\allengr01,27,4,Amateur Draft,1.099,,,,,Arb,Arb,"[-0.2, 0.6, 0.5]",False,,"[25.0, 91.0, 89.0]"
28,Shane Bieber\biebesh01,25,3,Amateur Draft,1.097,,,,,Arb,Arb,"[1.0, 4.5]",True,1.0,"[20.0, 34.0]"
29,Hunter Wood\woodhu01,26,3,Traded,1.07,MVP Sports Group,,,,Arb,Arb,"[0.0, 0.2, 0.4]",True,0.15151515151515152,"[1.0, 29.0, 36.0]"
30,Christian Arroyo\arroych01,25,4,Traded,1.064,O'Connell Sports,,,,Arb,Arb,"[-0.4, 0.2, 0.1]",False,,"[34.0, 20.0, 16.0]"
31,Adam Plutko\plutkad01,28,3,Amateur Draft,1.063,,,,,Arb,Arb,"[0.0, 0.1, 0.3]",True,0.8,"[2.0, 17.0, 21.0]"
32,Jefry Rodriguez\rodrije01,26,2,Traded,1.036,,,,,Arb,Arb,"[-0.3, 0.1]",True,0.6666666666666666,"[14.0, 10.0]"
33,Oscar Mercado\mercaos01,25,2,Traded,0.139,,,,,,Arb,[2.5],False,,[115.0]
34,Zach Plesac\plesaza01,25,1st,Amateur Draft,0.125,,,,,,Arb,[1.7],True,1.0,[21.0]
35,Kyle Dowdy\dowdyky01,27,1st,,0.12300000000000001,,,,,,Arb,[-0.4],True,0.07692307692307693,[13.0]
36,Beau Taylor\taylobe11,30,2,,0.085,,,,,,Arb,"[0.0, 0.0]",False,,"[7.0, 11.0]"
37,Logan Allen\allenlo01,23,1st,Traded,0.040999999999999995,,,,,,Arb,[-0.30000000000000004],True,0.4444444444444444,[9.0]
38,Steven Baron\baronst01,29,3,,0.07400000000000001,Magnus Sports,,,,,Arb,"[-0.3, 0.0, -0.1]",False,,"[4.0, 2.0, 7.0]"
39,Emmanuel Clase\claseem01,22,1st,,0.059000000000000004,,,,,,Arb,[0.9],True,0.047619047619047616,[21.0]
40,Aaron Civale\civalaa01,25,1st,Amateur Draft,0.057999999999999996,,,,,,Arb,[1.5],True,1.0,[10.0]
41,Bobby Bradley\bradlbo01,24,1st,Amateur Draft,0.023,,,,,,Arb,[-0.3],False,,[15.0]
42,Yu Chang\changyu01,24,2,Amateur Free Agent,0.038,Wasserman,,,,,Arb,[-0.3],False,,[28.0]
43,James Karinchak\karinja01,24,2,Amateur Draft,0.017,,,,,,Arb,[0.1],True,0.0,[5.0]
