,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
23,Allen Cordoba\cordoal01,24,1st,Rule 5 Draft,1.095,,,,,Arb,Arb,Arb,FA,,,,[-0.5],False,,[100.0]
24,Francisco Mejia\mejiafr01,24,4,Traded,1.062,,,,,Arb,Arb,Arb,FA,,,,"[-0.2, -0.1, 0.6]",False,,"[11.0, 21.0, 79.0]"
25,Brett Kennedy\kennebr02,25,1st,Amateur Draft,1.055,,,,,Arb,Arb,Arb,FA,,,,[-0.6],True,1.0,[6.0]
26,Trey Wingenter\wingetr01,26,2,Amateur Draft,1.053,,,,,Arb,Arb,Arb,FA,,,,"[0.1, -0.4]",True,0.0136986301369863,"[22.0, 51.0]"
27,Jacob Nix\nixja02,24,1st,Amateur Draft,1.052,,,,,Arb,Arb,Arb,FA,,,,[-1.2],True,1.0,[9.0]
28,Luis Torrens\torrelu01,24,2,Traded,1.014,,,,,Arb,Arb,Arb,FA,,,,"[-1.1, 0.0]",False,,"[56.0, 7.0]"
29,Chris Paddack\paddach01,24,2,Traded,1.0,Scott Boras,,,,Arb,Arb,Arb,FA,,,,[2.6999999999999997],True,1.0,[26.0]
30,Fernando Tatis Jr.\tatisfe02,21,2,Traded,1.0,,,,,Arb,Arb,Arb,FA,,,,[4.1],False,,[84.0]
31,Jimmy Yacabonis\yacabji01,28,3,,0.16899999999999998,,,,,Arb,Arb,Arb,Arb,FA,,,"[0.2, 0.3, -0.3]",True,0.2,"[14.0, 12.0, 29.0]"
32,Gerardo Reyes\reyesge01,27,1st,Traded,0.07400000000000001,,,,,,Arb,Arb,Arb,FA,,,[-0.5],True,0.0,[27.0]
33,Adrián Morejón\morejad01,21,1st,Amateur Free Agent,0.071,,,,,,Arb,Arb,Arb,FA,,,[-0.3],True,0.4,[5.0]
34,Cal Quantrill\quantca01,25,2,Amateur Draft,0.132,,,,,,Arb,Arb,Arb,FA,,,[0.3],True,0.0,[23.0]
35,Josh Naylor\naylojo01,23,2,Traded,0.129,,,,,,Arb,Arb,Arb,FA,,,[0.0],False,,[94.0]
36,Ty France\francty01,25,2,Amateur Draft,0.08900000000000001,,,,,,Arb,Arb,Arb,FA,,,[-0.3],False,,[69.0]
37,Andres Munoz\munozan01,21,1st,Amateur Free Agent,0.08,,,,,,Arb,Arb,Arb,FA,,,[0.2],True,0.0,[22.0]
38,Kyle McGrath\mcgraky01,27,2,Amateur Draft,0.078,,,,,,Arb,Arb,Arb,FA,,,"[0.4, 0.0]",True,0.0,"[17.0, 4.0]"
39,Michel Báez\baezmi01,24,1st,Amateur Free Agent,0.071,,,,,,Arb,Arb,Arb,FA,,,[0.6],True,0.041666666666666664,[24.0]
40,Trent Grisham\grishtr01,23,2,Traded,0.06,,,,,,Arb,Arb,Arb,FA,,,[0.6],False,,[51.0]
41,Javy Guerra\guerrja02,24,3,Traded,0.052000000000000005,,,,,,Arb,Arb,Arb,FA,,,"[-0.2, 0.0]",False,,"[13.0, 8.0]"
42,Chih-Wei Hu\huch02,26,2,,0.052000000000000005,,,,,,Arb,Arb,Arb,FA,,,"[0.1, 0.1]",True,0.0,"[6.0, 5.0]"
43,David Bednar\bednada01,25,1st,Amateur Draft,0.028999999999999998,,,,,,Arb,Arb,Arb,FA,,,[-0.2],True,0.0,[13.0]
44,Seth Mejias-Brean\mejiase01,29,1st,Free Agency,0.027000000000000003,,,,,,Arb,Arb,Arb,FA,,,[0.4],False,,[14.0]
45,Pedro Avila\avilape01,23,1st,Free Agency,0.002,Munger English Sp...,,,,,Arb,Arb,Arb,FA,,,[0.3],True,1.0,[1.0]
