,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games
20,Brad Brach\brachbr01,34,9,Free Agency,7.063,Big League Manage...,1 yr/$850k (20) & 21 player option,$850k,$0 [FA-*],FA,,,"[-0.2, 0.3, -0.1, 0.5, 1.9, 2.4, 1.2, 0.4, 0.0]",True,0.0,"[9.0, 67.0, 33.0, 46.0, 62.0, 71.0, 67.0, 69.0, 58.0]"
21,Eduardo Nunez\nunezed02,33,11,Free Agency,8.033,ISE Baseball,1 yr/$100k (20),$100k,FA,,,,"[0.0, -0.4, 0.4, -1.5, -0.1, 1.2, 1.7000000000000002, 1.1, -1.2, -1.6]",False,,"[30.0, 112.0, 38.0, 90.0, 72.0, 72.0, 141.0, 114.0, 127.0, 60.0]"
22,Jared Hughes\hugheja02,34,9,,7.162000000000001,SSG Baseball,1 yr/$100k (20),$100k,FA,,,,"[0.1, 0.8, -0.2, 0.9, 1.2, 0.9, 1.2, 3.2, 0.3]",True,0.0,"[12.0, 66.0, 29.0, 63.0, 76.0, 67.0, 67.0, 72.0, 72.0]"
23,Brian Dozier\doziebr01,33,8,,7.1,ABC Mgmt Leventha...,1 yr/$100k (20),$100k,FA,,,,"[0.7, 2.4, 5.5, 2.8, 5.8, 4.6, 1.1, 0.7]",False,,"[84.0, 147.0, 156.0, 157.0, 155.0, 152.0, 151.0, 135.0]"
24,Juan Lagares\lagarju01,31,7,Amateur Free Agent,6.16,ACES (Sam & Seth ...,1 yr/$100k (20),$100k,FA,,,,"[3.4, 5.2, 0.4, 0.8, 2.1, 1.1, -0.8]",False,,"[121.0, 116.0, 143.0, 79.0, 94.0, 30.0, 133.0]"
25,Chasen Shreve\shrevch01,29,7,Free Agency,4.012,,1 yr/$100k (20),$100k,Arb,FA,,,"[0.4, 1.2, 0.0, 0.6, 0.09999999999999998, 0.0]",True,0.0,"[15.0, 59.0, 37.0, 44.0, 60.0, 3.0]"
26,Rene Rivera\riverre01,36,12,Free Agency,7.107,MDR Sports Manage...,,FA,,,,,"[-0.1, 0.5, -0.5, -0.1, 0.4, 2.7, -1.9, 0.8, 0.30000000000000004, 0.30000000000000004, -0.1]",False,,"[2.0, 16.0, 35.0, 45.0, 23.0, 103.0, 110.0, 65.0, 74.0, 33.0, 9.0]"
27,Erasmo Ramirez\ramirer02,30,8,,5.164,ISE Baseball,,Arb,,,,,"[0.8, 0.0, -0.6, 1.8, 0.9, 0.6, -0.5, -0.1]",True,0.47668393782383417,"[16.0, 14.0, 17.0, 34.0, 64.0, 37.0, 10.0, 1.0]"
28,Amed Rosario\rosaram01,24,4,Amateur Free Agent,2.062,Octagon,,,,Arb,Arb,FA,"[-0.5, 0.4, 2.4]",False,,"[46.0, 154.0, 157.0]"
29,Paul Sewald\sewalpa01,30,4,Amateur Draft,2.045,,,,,Arb,Arb,FA,"[0.1, -1.0, 0.1]",True,0.0,"[57.0, 46.0, 17.0]"
30,Jarrett Parker\parkeja03,31,4,,1.158,CAA Sports,,,,Arb,Arb,Arb,"[0.5, 0.2, 0.5, -0.1]",False,,"[21.0, 63.0, 51.0, 5.0]"
31,Dominic Smith\smithdo02,25,4,Amateur Draft,1.146,Roc Nation Sports...,,,,Arb,Arb,Arb,"[-0.9, -0.5, 0.7]",False,,"[49.0, 56.0, 89.0]"
32,J.D. Davis\davisjd01,27,4,Traded,1.137,MVP Sports Group,,,,Arb,Arb,Arb,"[0.3, -0.9, 1.0]",False,,"[24.0, 42.0, 140.0]"
33,Drew Smith\smithdr01,26,2,Traded,1.101,,,,,Arb,Arb,Arb,[0.5],True,0.0,[27.0]
34,Tomas Nido\nidoto01,26,4,Amateur Draft,1.089,,,,,Arb,Arb,Arb,"[0.0, -0.5, -0.8]",False,,"[5.0, 34.0, 50.0]"
35,Jeff McNeil\mcneije01,28,3,Amateur Draft,1.069,,,,,Arb,Arb,Arb,"[3.0, 4.9]",False,,"[63.0, 133.0]"
36,Max Moroff\morofma01,27,4,,1.053,,,,,Arb,Arb,Arb,"[-0.1, 0.4, -0.1, -0.4]",False,,"[2.0, 56.0, 26.0, 20.0]"
37,Ryan Cordell\cordery01,28,2,,1.022,,,,,Arb,Arb,Arb,"[-0.7, -0.6]",False,,"[19.0, 97.0]"
38,Tyler Bashlor\bashlty01,27,2,Amateur Draft,1.003,,,,,Arb,Arb,Arb,"[0.1, -0.4]",True,0.0,"[24.0, 24.0]"
39,Pete Alonso\alonspe01,25,2,Amateur Draft,1.0,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,[5.2],False,,[161.0]
40,Daniel Zamora\zamorda01,27,2,Traded,0.11800000000000001,,,,,,Arb,Arb,"[0.3, 0.0]",True,0.0,"[16.0, 17.0]"
41,Corey Oswalt\oswalco01,26,3,Amateur Draft,0.107,,,,,,Arb,Arb,"[-0.6, -0.4]",True,0.0,"[17.0, 2.0]"
42,Luis Guillorme\guilllu01,25,3,Amateur Draft,0.16699999999999998,,,,,Arb,Arb,Arb,"[-0.3, 0.4]",False,,"[35.0, 45.0]"
43,Yefry Ramirez\ramirye01,26,2,,0.163,,,,,Arb,Arb,Arb,"[0.2, -0.5]",True,0.43333333333333335,"[17.0, 13.0]"
44,Walker Lockett\lockewa01,26,2,Traded,0.066,,,,,,Arb,Arb,"[-0.6, -0.6]",True,0.5384615384615384,"[4.0, 9.0]"
45,Stephen Gonsalves\gonsast01,25,1st,,0.042,,,,,,Arb,Arb,[-0.7],True,0.5714285714285714,[7.0]
46,Stephen Nogosek\nogosst01,25,1st,Traded,0.03,,,,,,Arb,Arb,[-0.2],True,0.0,[7.0]
47,Pedro Payano\payanpe01,25,1st,,0.026000000000000002,,,,,,Arb,Arb,[-0.1],True,0.6666666666666666,[6.0]
48,Braxton Lee\leebr01,26,1st,,0.013000000000000001,,,,,,Arb,Arb,[0.0],False,,[8.0]
