,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,career,pitcher,start_ratio,games
24,Sandy Alcantara\alcansa01,24,4,Traded,1.1,,,,,Arb,"[-0.1, 0.5, 2.8]",True,1.0,"[8.0, 6.0, 32.0]"
25,Pablo Lopez\lopezpa01,24,2,Traded,1.093,,,,,Arb,"[0.7, 0.5]",True,1.0,"[10.0, 21.0]"
26,Chad Wallach\wallach01,28,4,Waivers,1.09,,,,,Arb,"[-0.1, 0.1, 0.2]",False,,"[6.0, 15.0, 19.0]"
27,Brett Graves\gravebr01,27,1st,Rule 5 Draft,1.0,,,,,Arb,[-0.3],True,0.0,[21.0]
28,Jon Berti\bertijo01,30,3,Free Agency,0.168,,,,,Arb,"[0.0, 1.6]",False,,"[4.0, 73.0]"
29,Harold Ramirez\ramirha02,25,2,Free Agency,0.142,,,,,,[0.3],False,,[119.0]
30,Magneuris Sierra\sierrma01,24,4,Traded,0.138,,,,,,"[0.2, -1.7, 0.2]",False,,"[22.0, 54.0, 15.0]"
31,Justin Shafer\shafeju01,27,2,,0.131,Sosnick Cobbe & K...,,,,,"[0.1, 0.4]",True,0.0,"[6.0, 34.0]"
32,Stephen Tarpley\tarplst01,27,3,Traded,0.13,,,,,,"[0.2, -0.5]",True,0.0,"[10.0, 21.0]"
33,Jeff Brigham\brighje01,28,3,Traded,0.126,,,,,,"[-0.1, 0.1]",True,0.0,"[4.0, 32.0]"
34,Preston Guilmet\guilmpr01,32,4,,0.11,,,,,,"[-0.3, -0.1, -0.2, -0.5]",True,0.0,"[4.0, 10.0, 5.0, 8.0]"
35,Jordan Yamamoto\yamamjo01,24,1st,Traded,0.11,,,,,,[0.7],True,1.0,[15.0]
36,Isan Diaz\diazis01,24,2,Traded,0.055999999999999994,,,,,,[-0.8],False,,[49.0]
37,Josh Smith\smithjo08,30,1st,Waivers,0.040999999999999995,,,,,,[-0.1],True,0.0,[14.0]
38,Robert Dugger\duggero01,24,2,Traded,0.034,,,,,,[-0.6],True,1.0,[7.0]
