,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games
24,Lou Trivino\trivilo01,28,3,Amateur Draft,1.163,,,,,Arb,Arb,"[1.5, -0.8]",True,0.0,"[69.0, 61.0]"
25,Donnie Hart\hartdo01,29,4,,1.139,,,,,Arb,Arb,"[0.8, 0.7, 0.0, 0.3]",True,0.0,"[22.0, 51.0, 20.0, 5.0]"
26,Paul Blackburn\blackpa01,26,3,Traded,1.124,Sosnick Cobbe & K...,,,,Arb,Arb,"[1.5, -0.7999999999999999, -0.5]",True,0.85,"[10.0, 6.0, 4.0]"
27,Ramon Laureano\laurera01,25,3,Traded,1.0590000000000002,Pinnacle Sports G...,,,,Arb,Arb,"[2.3, 3.6]",False,,"[48.0, 123.0]"
28,Dustin Fowler\fowledu01,25,2,Traded,1.0390000000000001,,,,,Arb,Arb,"[0.0, -0.8]",False,,"[1.0, 69.0]"
29,Michael Ynoa\ynoami01,28,2,,1.0390000000000001,,,,,Arb,Arb,"[0.4, -0.3]",True,0.0,"[23.0, 22.0]"
30,Franklin Barreto\barrefr02,24,4,Traded,1.031,,,,,Arb,Arb,"[-0.2, 0.0, -0.3]",False,,"[25.0, 32.0, 23.0]"
31,J.B. Wendelken\wendejb01,27,4,Traded,1.028,,,,,Arb,Arb,"[-0.3, 0.6, 0.4]",True,0.0,"[8.0, 13.0, 27.0]"
32,Zac Reininger\reiniza01,27,3,,0.161,,,,,Arb,Arb,"[-0.1, -0.4, -0.6]",True,0.018867924528301886,"[10.0, 18.0, 25.0]"
33,Austin Allen\allenau01,26,2,Traded,0.077,,,,,,Arb,[-0.4],False,,[34.0]
34,Jaime Schultz\schulja02,29,2,,0.076,,,,,,Arb,"[-0.3, -0.1]",True,0.038461538461538464,"[22.0, 4.0]"
35,Tanner Anderson\anderta01,27,2,Traded,0.068,,,,,,Arb,"[-0.3, -0.2]",True,0.45454545454545453,"[6.0, 5.0]"
36,A.J. Puk\pukaj01,25,1st,Amateur Draft,0.040999999999999995,,,,,,Arb,[0.2],True,0.0,[10.0]
37,Seth Brown\brownse01,27,1st,Amateur Draft,0.035,,,,,,Arb,[0.8],False,,[26.0]
38,Sheldon Neuse\neusesh01,25,1st,Traded,0.032,,,,,,Arb,[0.2],False,,[25.0]
39,Sean Murphy\murphse01,25,2,Amateur Draft,0.028999999999999998,,,,,,Arb,[0.6],False,,[20.0]
40,Ryan Court\courtry01,32,1st,,0.027000000000000003,,,,,,Arb,[-0.2],False,,[12.0]
41,Zach Lee\leeza01,28,2,,0.026000000000000002,,,,,,Arb,"[-0.3, 0.1]",True,0.5,"[1.0, 3.0]"
42,Jesus Luzardo\luzarje01,22,2,Traded,0.021,,,,,,Arb,[0.6],True,0.0,[6.0]
43,Nate Orf\orfna01,30,1st,,0.02,,,,,,Arb,[0.0],False,,[15.0]
44,Skye Bolt\boltsk01,26,1st,Amateur Draft,0.018000000000000002,,,,,,Arb,[-0.1],False,,[5.0]
