,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,career,pitcher
37,Anthony Bemboom\bemboan01,30,1st,Purchased,0.10800000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-0.5],False
38,Jose Quijada\quijajo01,24,1st,,0.099,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-0.4],True
39,Griffin Canning\cannigr01,24,1st,Amateur Draft,0.153,Wasserman,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,,,[1.1],True
40,Luis Rengifo\rengilu01,23,1st,Traded,0.147,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[1.2],False
41,Dillon Peters\peterdi01,27,3,Traded,0.14400000000000002,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,"[0.0, -0.5, -0.1]",True
42,Parker Markel\markepa01,29,1st,,0.066,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-0.4],True
43,Jared Walsh\walshja01,26,1st,Amateur Draft,0.065,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-0.19999999999999998],True
44,Taylor Ward\wardta01,26,2,Amateur Draft,0.09300000000000001,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,"[-0.1, -0.7]",False
45,Jose Suarez\suarejo01,22,1st,Amateur Free Agent,0.091,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-1.2],True
46,Matt Thaiss\thaisma01,25,1st,Amateur Draft,0.08900000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[0.5],False
47,Kyle Keller\kelleky01,27,1st,,0.040999999999999995,Nello P. Gamberdi...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[0.2],True
48,Dustin Peterson\peterdu01,25,2,,0.035,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,"[-0.1, -0.6]",False
49,Jose Rodriguez\rodrijo07,24,1st,Amateur Free Agent,0.034,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[0.5],True
50,Francisco Arcia\arciafr01,30,1st,Free Agency,0.067,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[-0.1],True
51,Patrick Sandoval\sandopa02,23,1st,Traded,0.055999999999999994,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,,[0.4],True
