,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher,start_ratio,games
35,Luke Voit\voitlu01,29,3,Traded,1.169,,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,,"[0.2, 1.4000000000000001, 1.4]",False,,"[62.0, 47.0, 118.0]"
36,Clint Frazier\frazicl01,25,3,Traded,1.163,,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,,"[-0.2, -0.1, 0.1]",False,,"[39.0, 15.0, 69.0]"
37,Gleyber Torres\torregl01,23,2,Traded,1.162,,,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,,"[3.5, 3.1]",False,,"[123.0, 144.0]"
38,Kaleb Cowart\cowarka01,28,5,,1.095,ISE Baseball,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.1, -0.4, 0.4, -1.1, -0.1]",False,,"[34.0, 31.0, 50.0, 47.0, 9.0]"
39,Tyler Wade\wadety01,25,3,Amateur Draft,1.093,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.7, -0.2, 0.3]",False,,"[30.0, 36.0, 43.0]"
40,Mike Tauchman\tauchmi01,29,3,Traded,1.055,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.3, -0.6, 3.8]",False,,"[31.0, 21.0, 87.0]"
41,Jonathan Loaisiga\loaisjo01,25,2,Free Agency,1.022,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.2, 0.2]",True,0.3333333333333333,"[9.0, 15.0]"
42,Kyle Higashioka\higasky01,30,3,Free Agency,1.005,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.2, -0.2, 0.0]",False,,"[9.0, 29.0, 18.0]"
43,Thairo Estrada\estrath01,24,1st,Amateur Free Agent,0.099,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.1],False,,[35.0]
44,Zack Granite\graniza01,27,1st,,0.07,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.3],False,,[40.0]
45,Mike Ford\fordmi01,27,1st,Rule 5 returned,0.08,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[1.1],False,,[50.0]
46,Mike King\kingmi01,25,1st,Traded,0.011000000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.0],True,0.0,[1.0]
47,Adonis Rosa\rosaad01,25,1st,Amateur Free Agent,0.001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.0],True,0.0,[1.0]
