,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
38,Richard Lovelady\lovelri01,25,2,Amateur Draft,0.1,,,,,,Arb,Arb,Arb,"[-0.3, 0.0]",True,0.0,"[25.0, 1.0]"
39,Kris Bubic\bubickr01,23,2,Amateur Draft,0.16399999999999998,,,,,Arb,Arb,Arb,Arb,"[0.4, 1.3]",True,0.5,"[10.0, 8.0]"
40,Carlos Hernandez\hernaca04,24,2,Amateur Free Agent,0.081,Munger English Sp...,,,,,Arb,Arb,Arb,"[0.0, -0.2]",True,0.0,"[5.0, 4.0]"
41,Gabe Speier\speiega01,26,2,Traded,0.105,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,"[-0.2, -0.1]",True,0.0,"[9.0, 8.0]"
42,Domingo Tapia\tapiado01,29,2,,0.047,Optimum Baseball,,,,,Arb,Arb,Arb,"[0.1, 0.1]",True,0.0,"[5.0, 2.0]"
43,Erick Mejia\mejiaer01,26,2,Free Agency,0.091,Bryan Hamper,,,,,Arb,Arb,Arb,"[0.0, -0.4]",False,,"[9.0, 8.0]"
44,Mike Shawaryn\shawami01,26,1st,,0.057999999999999996,,,,,,Arb,Arb,Arb,[-0.6],True,0.0,[14.0]
45,Ronald Bolanos\bolanro01,24,3,Traded,0.055999999999999994,,,,,,Arb,Arb,Arb,"[-0.2, -0.4, 0.0]",True,0.0,"[5.0, 2.0, 1.0]"
46,Nick Dini\dinini01,27,1st,Amateur Draft,0.053,,,,,,Arb,Arb,Arb,[0.1],False,,[20.0]
47,Scott Blewett\blewesc01,25,1st,Amateur Draft,0.031,,,,,,Arb,Arb,Arb,[0.0],True,0.0,[2.0]
48,Carlos Sanabria\sanabca01,24,1st,,0.031,,,,,,Arb,Arb,Arb,[0.0],True,0.0,[2.0]
