,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
21,Rowdy Tellez\tellero01,26,4,Amateur Draft,2.012,,,,,Arb,Arb,FA,,"[0.5, 0.1, 0.6, -0.4]",False,,"[23.0, 111.0, 35.0, 39.0]"
22,Anthony Kay\kayan01,26,3,Traded,1.006,,,,,Arb,Arb,Arb,FA,"[0.0, 0.1, -0.2]",True,0.8,"[3.0, 13.0, 5.0]"
23,Trent Thornton\thorntr01,27,3,Traded,2.0,,,,,Arb,Arb,FA,,"[1.7000000000000002, -0.2, 0.3]",True,0.16666666666666666,"[32.0, 3.0, 18.0]"
24,Thomas Hatch\hatchto01,26,1st,Traded,1.0,,,,,Arb,Arb,Arb,FA,[0.7],True,0.058823529411764705,[17.0]
25,Elvis Luciano\luciael01,21,1st,Rule 5 Draft,1.0,Optimum Baseball,,,,Arb,Arb,Arb,FA,[0.1],True,0.0,[25.0]
26,Vladimir Guerrero Jr.\guerrvl02,22,3,Amateur Free Agent,1.157,,,,,Arb,Arb,Arb,FA,"[2.1, 0.6, 3.1]",False,,"[123.0, 60.0, 56.0]"
27,Tim Mayza\mayzati01,29,4,Amateur Draft,1.156,,,,,Arb,Arb,Arb,FA,"[-0.4, 0.8, 0.2, -0.3]",True,0.0,"[19.0, 37.0, 68.0, 22.0]"
28,Cavan Biggio\biggica01,26,3,Amateur Draft,1.129,,,,,Arb,Arb,Arb,FA,"[3.0, 2.0, 0.1]",False,,"[100.0, 59.0, 39.0]"
29,Juan Graterol\grateju01,32,4,,1.126,,,,,Arb,Arb,Arb,FA,"[0.2, 0.0, 0.2, -0.2]",False,,"[9.0, 48.0, 4.0, 6.0]"
30,Jacob Waguespack\wagueja01,27,2,Traded,1.091,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,"[0.9, -0.6]",True,0.48148148148148145,"[16.0, 11.0]"
31,Dilson Herrera\herredi01,27,4,,1.067,Magnus Sports,,,,Arb,Arb,Arb,FA,"[0.1, -0.2, -0.2, 0.0]",False,,"[18.0, 31.0, 53.0, 3.0]"
32,Bo Bichette\bichebo01,23,3,Amateur Draft,1.063,,,,,Arb,Arb,Arb,FA,"[2.4, 1.1, 1.9]",False,,"[46.0, 29.0, 56.0]"
33,Jordan Romano\romanjo03,28,3,Rule 5 returned,1.051,,,,,Arb,Arb,Arb,FA,"[-0.4, 1.1, 0.7]",True,0.0,"[17.0, 15.0, 21.0]"
34,Travis Bergen\bergetr01,27,3,Purchased,1.046,,,,,Arb,Arb,Arb,FA,"[0.0, 0.2, 0.6]",True,0.1,"[21.0, 8.0, 10.0]"
35,Reese McGuire\mcguire01,26,4,Traded,1.043,Sosnick Cobbe & K...,,,,Arb,Arb,Arb,FA,"[0.3, 1.0, -0.4, 0.1]",False,,"[14.0, 30.0, 19.0, 16.0]"
36,Jonathan Davis\davisjo05,29,4,Amateur Draft,1.0290000000000001,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,"[-0.3, -0.3, 0.4, -0.3]",False,,"[20.0, 37.0, 13.0, 38.0]"
37,Johnny Barbato\barbajo01,28,3,,1.008,Munger English Sp...,,,,Arb,Arb,Arb,FA,"[-0.3, 0.3, -0.4]",True,0.0,"[13.0, 24.0, 7.0]"
38,Nate Pearson\pearsna01,24,2,Amateur Draft,0.16899999999999998,,,,,Arb,Arb,Arb,Arb,"[-0.2, -0.1]",True,1.0,"[5.0, 1.0]"
39,Casey Lawrence\lawreca01,33,2,Free Agency,0.171,,,,,Arb,Arb,Arb,Arb,"[-0.7, -0.3]",True,0.05263157894736842,"[27.0, 11.0]"
40,Richard Urena\urenari01,25,3,Amateur Free Agent,0.156,,,,,Arb,Arb,Arb,Arb,"[-0.5, 0.6, 0.1]",False,,"[21.0, 40.0, 30.0]"
41,Jeremy Beasley\beaslje01,25,2,Purchased,0.136,,,,,,Arb,Arb,Arb,"[0.0, -0.1]",True,0.0,"[1.0, 5.0]"
42,Santiago Espinal\espinsa01,26,2,Traded,0.136,,,,,,Arb,Arb,Arb,"[0.3, 0.5]",False,,"[26.0, 31.0]"
43,Jared Hoying\hoyinja01,32,2,,0.133,,,,,,Arb,Arb,Arb,"[-0.2, -0.5]",False,,"[38.0, 36.0]"
44,Breyvic Valera\valerbr01,29,3,Waivers,0.121,,,,,,Arb,Arb,Arb,"[-0.3, -0.1, 0.1]",False,,"[5.0, 32.0, 17.0]"
45,T.J. Zeuch\zeuchtj01,25,3,Amateur Draft,0.057999999999999996,,,,,,Arb,Arb,Arb,"[0.4, 0.5, -0.5]",True,0.5,"[5.0, 3.0, 4.0]"
46,Julian Merryweather\merryju01,29,2,Traded,0.114,L. Warner Compani...,,,,,Arb,Arb,Arb,"[0.3, 0.7]",True,0.0,"[8.0, 4.0]"
47,Joel Payamps\payamjo01,27,3,Waivers,0.064,,,,,,Arb,Arb,Arb,"[0.0, 0.0, 0.7]",True,0.0,"[2.0, 2.0, 17.0]"
48,Patrick Murphy\murphpa02,26,1st,Amateur Draft,0.027999999999999997,,,,,,Arb,Arb,Arb,[0.2],True,0.0,[4.0]
49,Alejandro Kirk\kirkal01,22,2,Amateur Free Agent,0.047,,,,,,Arb,Arb,Arb,"[0.2, 0.3]",False,,"[9.0, 17.0]"
50,Anthony Castro\castran02,26,2,Waivers,0.033,Munger English Sp...,,,,,Arb,Arb,Arb,"[-0.1, 0.6]",True,0.0,"[1.0, 10.0]"
51,Dany Jimenez\jimenda01,27,1st,,0.031,,,,,,Arb,Arb,Arb,[0.0],True,0.0,[2.0]
