,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career
31,Dawel Lugo\lugoda01,25,2,Traded,0.13,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.2, -0.5]"
32,Jake Rogers\rogerja03,25,1st,Traded,0.062,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[-0.5]
33,John Schreiber\schrejo01,26,1st,Amateur Draft,0.053,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[0.0]
34,Gregory Soto\sotogr01,25,1st,Amateur Free Agent,0.102,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[0.4]
35,Sandy Baez\baezsa01,26,2,Free Agency,0.039,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.2, 0.0]"
36,Willi Castro\castrwi01,23,1st,Traded,0.037000000000000005,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[-0.5]
37,David McKay\mckayda02,25,1st,Waivers,0.071,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.0, 0.2]"
38,Eric Haase\haaseer01,27,2,,0.063,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.3, -0.2]"
39,Travis Demeritte\demertr01,25,1st,Traded,0.06,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[-1.2]
40,Tyler Alexander\alexaty01,25,1st,Amateur Draft,0.057999999999999996,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[1.0]
41,Frank Schwindel\schwifr01,28,1st,,0.015,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[-0.3]
42,Bryan Garcia\garcibr01,25,1st,Amateur Draft,0.028999999999999998,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[-0.4]
43,Chris Smith\smithch10,31,1st,,0.022000000000000002,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,[0.0]
