,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher
26,Cody Asche\ascheco01,30,5,,3.089,Arland Sports,,Arb-1,Arb-2,Arb-3,FA,,,"[0.2, 0.3, -0.7, -0.8, -0.9]",False
27,Juan Minaya\minayju01,29,4,,2.031,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[0.0, 0.3, 1.0, 0.4]",True
28,Caleb Thielbar\thielca01,33,3,Free Agency,1.148,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[1.3, 0.8, 0.0]",True
29,Austin Adams\adamsau01,33,4,Free Agency,1.126,Beverly Hills Spo...,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.2, 0.3, -0.7, 0.0]",True
30,Juan Graterol\grateju01,31,4,Free Agency,1.126,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.2, 0.0, 0.2, -0.2]",False
31,Tomas Telis\telisto01,29,5,,1.079,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.1, -0.1, 0.0, -0.2, -0.1]",False
32,Lane Adams\adamsla01,30,3,,1.037,Platinum Sports,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.1, 0.3, 0.3]",False
33,Mitch Garver\garvemi01,29,3,Amateur Draft,2.045,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[0.0, 0.9, 4.1]",True
34,Ramon Flores\florera02,28,3,,1.0,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.0, -1.4, -0.3]",False
35,Jake Cave\caveja01,27,2,Traded,1.072,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[1.7, 0.8]",False
36,Willians Astudillo\astudwi01,28,2,Free Agency,1.061,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.6000000000000001, 0.1]",True
37,Casey Lawrence\lawreca01,32,2,,0.171,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,"[-0.7, -0.3]",True
38,Ryan Garton\gartory01,30,3,,0.161,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,"[0.1, 0.0, -0.1]",True
39,Alec Asher\asheral01,28,4,,0.151,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,"[-1.0, 0.5, 0.0, 0.1]",True
40,Parker Bridwell\bridwpa01,28,3,,0.129,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.2, 1.9, -0.5]",True
