,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,career,pitcher
33,Chad Sobotka\sobotch01,26,2,Amateur Draft,1.003,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.5, -0.4]",True
34,Peter O'Brien\obriepe01,29,4,,1.0,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.1, -0.7, 0.5, -0.7]",False
35,Max Fried\friedma01,26,3,Traded,1.148,CAA Sports,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[0.2, 0.7, 3.0]",True
36,Mike Soroka\sorokmi01,22,2,Amateur Draft,1.146,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,,"[-0.1, 5.5]",True
37,Jacob Webb\webbja01,26,1st,Amateur Draft,0.155,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,,,[0.9],True
38,Touki Toussaint\toussto01,24,2,Traded,0.14,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.3, -0.5]",True
39,Bryse Wilson\wilsobr02,22,2,Amateur Draft,0.087,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[-0.1, -0.5]",True
40,Austin Riley\rileyau01,23,1st,Amateur Draft,0.138,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.1],False
41,Ben Rowen\rowenbe01,31,2,,0.061,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.1, -0.3]",True
42,Jose Fernandez\fernajo04,27,2,,0.046,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[-0.1, -0.4]",True
43,Alex Jackson\jacksal02,24,1st,Traded,0.04,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[-0.3],False
44,Kyle Wright\wrighky01,24,2,Amateur Draft,0.076,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.0, -0.6]",True
45,Jeremy Walker\walkeje02,25,1st,Amateur Draft,0.039,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[0.2],True
46,Huascar Ynoa\ynoahu01,22,1st,Traded,0.008,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,[-0.2],True
