,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games
21,Chris Rusin\rusinch01,34,9,Waivers,5.013999999999999,Sports One Athlet...,,Arb,,,,"[-0.30000000000000004, 0.6, -0.2, 0.30000000000000004, 2.0, 2.5, -0.7000000000000001, -0.2, -0.1]",True,0.25925925925925924,"[7.0, 13.0, 4.0, 24.0, 29.0, 60.0, 49.0, 2.0, 1.0]"
22,Rio Ruiz\ruizri01,27,6,,2.109,Scott Boras,,,,Arb,Arb,"[0.1, -0.3, 0.1, 0.4, 0.8, -0.1]",False,,"[5.0, 53.0, 14.0, 127.0, 54.0, 32.0]"
23,Zac Rosscup\rosscza01,33,6,Traded,4.09,Magnus Sports,,Arb,,FA,,"[0.2, -0.6, -0.1, 0.0, 0.0, -0.2]",True,0.0,"[10.0, 18.0, 33.0, 10.0, 17.0, 28.0]"
24,Jairo Diaz\diazja01,30,5,Free Agency,3.083,,,Arb (~$1.2M),,Arb,FA,"[0.1, 0.7, -0.1, 0.5, -0.6]",True,0.0,"[5.0, 21.0, 4.0, 56.0, 24.0]"
25,Kelby Tomlinson\tomlike01,31,4,,2.115,Sports Pro Servic...,,,,Arb,Arb,"[0.7, 0.7, 0.3, -0.1]",False,,"[54.0, 52.0, 104.0, 63.0]"
26,Sam Hilliard\hillisa01,27,3,Amateur Draft,1.034,,,,,Arb,Arb,"[0.6, 0.2, -0.2]",False,,"[27.0, 36.0, 20.0]"
27,Garrett Hampson\hampsga01,26,4,Amateur Draft,2.03,,,,,Arb,Arb,"[0.1, 0.4, 0.2, 0.8]",False,,"[24.0, 105.0, 53.0, 56.0]"
28,Tyler Kinley\kinlety01,30,4,Waivers,2.0140000000000002,,,,,Arb,Arb,"[-0.5, 0.8, 0.2, 0.3]",True,0.0,"[13.0, 52.0, 24.0, 24.0]"
29,Yency Almonte\almonye01,27,4,Traded,1.168,,,,,Arb,Arb,"[0.4, 0.0, 0.7, -1.3]",True,0.0,"[14.0, 28.0, 24.0, 20.0]"
30,Peter Lambert\lambepe01,24,1st,Amateur Draft,1.1159999999999999,,,,,Arb,Arb,[-0.29999999999999993],True,1.0,[19.0]
31,Austin Gomber\gombeau01,27,3,Traded,1.111,,,,,Arb,Arb,"[0.30000000000000004, 0.7, 0.30000000000000004]",True,1.0,"[29.0, 14.0, 12.0]"
32,Dereck Rodriguez\rodride01,29,3,,1.102,,,,,Arb,Arb,"[2.1999999999999997, -1.3, -0.3]",True,0.6862745098039216,"[21.0, 28.0, 2.0]"
33,Taylor Motter\motteta01,31,3,,1.078,,,,,Arb,Arb,"[0.2, -0.8, -0.19999999999999998]",False,,"[33.0, 92.0, 16.0]"
