,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,pitcher,start_ratio,games
18,Jimmy Nelson\nelsoji02,31,6,,5.107,CAA Sports,1 yr/$1.25M (20) & 21 team option,$750k,$500k [FA-*],FA,,,,,,,,,,,"[0.3, -0.4, 1.3, 0.0, 3.0999999999999996, -0.4]",True,0.8991596638655462,"[4.0, 14.0, 30.0, 32.0, 29.0, 10.0]"
19,Austin Barnes\barneau01,30,6,Traded,3.0980000000000003,,1 yr/$1.1M (20),$1.1M,Arb,Arb,FA,,,,,,,,,,"[0.1, -0.1, 2.4, 0.6, 0.2]",False,,"[20.0, 21.0, 102.0, 100.0, 75.0]"
20,Julio Urias\uriasju01,23,5,Amateur Free Agent,2.117,,1 yr/$1M (20),$1M,Arb,Arb,Arb,FA,,,,,,,,,"[1.0, -0.2, 0.1, 1.4]",True,1.0,"[18.0, 5.0, 3.0, 37.0]"
21,Scott Alexander\alexasc02,30,6,Traded,3.097,Sosnick Cobbe & K...,1 yr/$875k (20),$875k,Arb,Arb,FA,,,,,,,,,,"[0.0, 0.3, 2.4, 0.30000000000000004, 0.2]",True,0.0,"[4.0, 17.0, 58.0, 73.0, 28.0]"
22,Zach McAllister\mcallza01,32,8,,6.0489999999999995,Excel Sports Mana...,,FA,,,,,,,,,,,,,"[-0.5, -0.2, 0.8, -0.3, 1.0, 0.9, 1.4, -0.7]",True,0.24285714285714285,"[4.0, 22.0, 24.0, 22.0, 61.0, 53.0, 50.0, 44.0]"
23,AJ Ramos\ramosaj01,33,7,,6.03,Sports One Athlet...,,FA,,,,,,,,,,,,,"[0.1, 0.8, 2.0, 2.0, 1.3, 0.4, -0.5]",True,0.0,"[11.0, 68.0, 68.0, 71.0, 67.0, 61.0, 28.0]"
24,Justin De Fratus\defraju01,32,5,,3.09,Wasserman,,Arb,,Arb,FA,,,,,,,,,,"[0.0, 0.0, 0.4, 0.8, -0.6]",True,0.0,"[5.0, 13.0, 58.0, 54.0, 61.0]"
25,Edubray Ramos\ramosed02,27,4,,3.06,,,Arb (~$800k),,Arb,FA,,,,,,,,,,"[0.4, 0.5, 1.3, -0.1]",True,0.0,"[42.0, 59.0, 52.0, 20.0]"
26,Dylan Floro\florody01,29,5,Traded,2.053,,,,,Arb,Arb,FA,,,,,,,,,"[0.0, -0.2, 1.8, -0.5]",True,0.0,"[12.0, 3.0, 54.0, 50.0]"
27,Walker Buehler\buehlwa01,25,3,Amateur Draft,1.168,,,,,Arb,Arb,Arb,FA,,,,,,,,"[-0.2, 3.8000000000000003, 2.0]",True,0.8548387096774194,"[8.0, 24.0, 30.0]"
28,Terrance Gore\gorete01,29,7,Free Agency,1.143,,,,,Arb,Arb,Arb,FA,,,,,,,,"[0.0, -0.1, 0.2, -0.3, 0.1, 0.1]",False,,"[11.0, 9.0, 17.0, 12.0, 14.0, 37.0]"
29,Andrew Toles\tolesan01,28,3,Free Agency,1.128,Magnus Sports,,,,Arb,Arb,Arb,FA,,,,,,,,"[1.4, 0.5, 0.0]",False,,"[48.0, 31.0, 17.0]"
30,Adam Kolarek\kolarad01,31,4,Traded,1.122,,,,,Arb,Arb,Arb,FA,,,,,,,,"[-0.2, 0.1, 0.8]",True,0.0,"[12.0, 31.0, 80.0]"
31,Caleb Ferguson\ferguca01,23,3,Amateur Draft,1.093,,,,,Arb,Arb,Arb,FA,,,,,,,,"[0.3, -0.19999999999999998]",True,0.0,"[29.0, 46.0]"
32,Kyle Lobstein\lobstky01,30,3,,1.088,Ballengee Group,,,,Arb,Arb,Arb,FA,,,,,,,,"[0.4, -0.6, 0.4]",True,0.5,"[7.0, 13.0, 14.0]"
33,Matt Beaty\beatyma01,27,1st,Amateur Draft,0.13699999999999998,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.4],False,,[99.0]
34,Dennis Santana\santade01,24,3,Amateur Free Agent,0.133,Optimum Baseball,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.1, 0.0]",True,0.0,"[1.0, 3.0]"
35,Reymin Guduan\guduare01,28,3,,0.10400000000000001,,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.4, 0.1, -0.4]",True,0.0,"[22.0, 3.0, 7.0]"
36,Rocky Gale\galero01,32,4,Free Agency,0.10099999999999999,,,,,,Arb,Arb,Arb,FA,,,,,,,"[-0.2, -0.1, -0.1, -0.2]",False,,"[11.0, 3.0, 3.0, 5.0]"
37,Josh Sborz\sborzjo01,26,1st,Amateur Draft,0.049,,,,,,Arb,Arb,Arb,FA,,,,,,,[-0.3],True,0.0,[7.0]
38,Will Smith\smithwi05,25,2,Amateur Draft,0.09,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,FA,,,,,,,[1.7],False,,[54.0]
39,Dustin May\maydu01,22,2,Amateur Draft,0.059000000000000004,,,,,,Arb,Arb,Arb,FA,,,,,,,[-0.2],True,1.0,[14.0]
40,Tony Gonsolin\gonsoto01,26,1st,Amateur Draft,0.049,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.7999999999999999],True,0.5454545454545454,[11.0]
41,Edwin Rios\riosed01,26,2,Amateur Draft,0.043,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.5],False,,[28.0]
42,Brusdar Graterol\gratebr01,21,2,Traded,0.028999999999999998,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.0],True,0.0,[10.0]
43,Gavin Lux\luxga01,22,1st,Amateur Draft,0.027999999999999997,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.6],False,,[23.0]
44,Connor Joe\joeco01,27,1st,,0.017,,,,,,Arb,Arb,Arb,FA,,,,,,,[-0.1],False,,[8.0]
45,Drew Jackson\jacksdr01,26,1st,,0.013999999999999999,,,,,,Arb,Arb,Arb,FA,,,,,,,[0.0],False,,[3.0]
