,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career
28,Cristhian Adames\adamecr01,28,5,Free Agency,1.102,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.2, 0.1, -0.8, -0.4, 0.0, 0.2]"
29,Steven Duggar\duggast01,26,2,Amateur Draft,1.069,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[1.2, -0.1]"
30,Jarlin Garcia\garcija04,27,3,,2.114,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[-0.3, -0.30000000000000004, 1.2]"
31,Drew Robinson\robindr01,28,3,,1.0490000000000002,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.1, -0.5, -0.1]"
32,Trevor Gott\gotttr01,27,5,Purchased,2.048,Sports One Athlet...,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.6, 0.2, -0.5, -0.2, 0.2]"
33,Trevor Oaks\oakstr01,27,1st,,1.016,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[-0.2]
34,Reyes Moronta\moronre01,27,3,Amateur Free Agent,2.028,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,"[0.2, 1.6, 1.3]"
35,Austin Slater\slateau01,27,3,Amateur Draft,1.147,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.1, -0.1, 0.6]"
36,Dereck Rodriguez\rodride01,28,2,Free Agency,1.085,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[2.3, -1.3]"
37,Andrew Suarez\suarean01,27,2,Amateur Draft,1.0590000000000002,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.2, -0.4]"
38,Jake Jewell\jewelja01,27,2,,0.151,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,"[-0.1, -0.3]"
39,Shaun Anderson\andersh01,25,1st,Traded,0.138,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,[-0.5]
40,Matt Carasiti\carasma01,28,2,,0.087,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.6, 0.0]"
41,Tyler Beede\beedety01,27,2,Amateur Draft,0.128,ACES,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,"[-0.3, -0.1]"
