,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games
21,Jalen Beeks\beeksja02,27,3,Traded,2.07,,,,,Arb,Arb,FA,,"[-0.10000000000000003, 0.1, 0.1]",True,0.06779661016949153,"[14.0, 33.0, 12.0]"
22,Andrew Kittredge\kittran01,31,5,Free Agency,2.07,,,,,Arb,Arb,FA,,"[0.3, -1.2, 0.3, 0.3, 1.0]",True,0.10526315789473684,"[15.0, 33.0, 37.0, 8.0, 19.0]"
23,Francisco Mejia\mejiafr01,25,5,Traded,2.0540000000000003,,,,,Arb,Arb,FA,,"[-0.2, -0.1, 0.6, -0.3, 0.8]",False,,"[11.0, 21.0, 79.0, 17.0, 30.0]"
24,Jeffrey Springs\sprinje01,28,4,Traded,2.043,,,,,Arb,Arb,FA,,"[0.5, 0.1, -0.3, 0.0]",True,0.0,"[18.0, 25.0, 16.0, 24.0]"
25,Brian Moran\moranbr01,32,2,,2.0269999999999997,,,,,Arb,Arb,FA,,"[0.1, -0.09999999999999998]",True,0.0,"[10.0, 7.0]"
26,Brett Phillips\phillbr02,27,5,Traded,2.013,,,,,Arb,Arb,FA,,"[1.3, 0.6, 0.3, 0.3, 1.1]",False,,"[37.0, 51.0, 30.0, 35.0, 46.0]"
27,Nick Anderson\anderni01,30,2,Traded,2.0,Gaeta Sports Mana...,,,,Arb,Arb,FA,,"[1.4, 1.1]",True,0.0,"[68.0, 19.0]"
28,David Hess\hessda01,27,3,,1.146,,,,,Arb,Arb,Arb,FA,"[0.8, -1.1, 0.0]",True,0.7021276595744681,"[21.0, 23.0, 3.0]"
29,Colin Poche\pocheco01,27,1st,Traded,1.114,,,,,Arb,Arb,Arb,FA,[-0.1],True,0.0,[51.0]
30,Mike Brosseau\brossmi01,27,3,Amateur Free Agent,1.1,,,,,Arb,Arb,Arb,FA,"[0.6, 1.4, 0.5]",False,,"[50.0, 36.0, 42.0]"
31,Pete Fairbanks\fairbpe01,27,3,Traded,1.057,,,,,Arb,Arb,Arb,FA,"[-0.7, 0.5, 0.5]",True,0.0,"[21.0, 27.0, 14.0]"
32,Ryan Thompson\thompry02,29,2,Rule 5 Draft,1.0,NWSMG/Nik Lubisic...,,,,Arb,Arb,Arb,FA,"[-0.2, 0.6]",True,0.0,"[25.0, 26.0]"
33,Chris Mazza\mazzach01,31,3,Traded,0.162,Nello P. Gamberdi...,,,,Arb,Arb,Arb,Arb,"[0.0, 0.5, -0.5]",True,0.0,"[9.0, 9.0, 6.0]"
34,Ryan Sherriff\sherrry01,31,4,Free Agency,0.156,,,,,Arb,Arb,Arb,Arb,"[0.2, -0.1, 0.5, -0.1]",True,0.0,"[13.0, 5.0, 10.0, 2.0]"
35,Drew Rasmussen\rasmudr01,25,2,,0.128,Beverly Hills Spo...,,,,,Arb,Arb,Arb,"[-0.1, -0.1]",True,0.0,"[12.0, 15.0]"
36,Sean Poppen\poppese01,27,3,,0.11900000000000001,Madden Sports Gro...,,,,,Arb,Arb,Arb,"[-0.1, 0.0, -0.3]",True,0.0,"[4.0, 6.0, 3.0]"
37,Luis Patino\patinlu01,21,2,Traded,0.1,,,,,,Arb,Arb,Arb,"[-0.1, 0.0]",True,0.6,"[11.0, 5.0]"
38,Joseph Odom\odomjo01,29,2,Free Agency,0.139,,,,,,Arb,Arb,Arb,"[-0.2, 0.0]",False,,"[18.0, 2.0]"
39,Randy Arozarena\arozara01,26,3,Traded,0.129,,,,,,Arb,Arb,Arb,"[0.3, 0.9, 1.8]",False,,"[19.0, 23.0, 56.0]"
40,Wyatt Mathisen\mathiwy01,27,2,,0.061,,,,,,Arb,Arb,Arb,"[0.2, -0.2]",False,,"[9.0, 23.0]"
41,Brendan McKay\mckaybr01,25,1st,Amateur Draft,0.055999999999999994,Sosnick Cobbe & K...,,,,,Arb,Arb,Arb,[-0.1],True,0.8461538461538461,[13.0]
42,J.P. Feyereisen\feyerjo01,28,2,Traded,0.10800000000000001,L. Warner Compani...,,,,,Arb,Arb,Arb,"[0.0, 1.1]",True,0.0,"[6.0, 27.0]"
43,Josh Fleming\flemijo01,25,2,Amateur Draft,0.1,,,,,,Arb,Arb,Arb,"[0.8, 0.5]",True,0.5,"[7.0, 10.0]"
44,Deivy Grullon\grullde01,25,2,,0.032,,,,,,Arb,Arb,Arb,"[-0.2, -0.1]",False,,"[4.0, 1.0]"
45,Dietrich Enns\ennsdi01,30,1st,,0.027000000000000003,,,,,,Arb,Arb,Arb,[-0.1],True,0.5,[2.0]
46,Chris Ellis\ellisch01,28,1st,,0.013000000000000001,,,,,,Arb,Arb,Arb,[0.0],True,0.0,[1.0]
47,Shane McClanahan\mcclash01,24,1st,Amateur Draft,0.0,,,,,,Arb,Arb,Arb,[0.2],True,1.0,[7.0]
