,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,pitcher,start_ratio,games
17,Mike Foltynewicz\foltymi01,29,8,Free Agency,4.156000000000001,Excel Sports Mana...,,Arb,,FA,,"[-0.1, -1.4, 1.4, 0.9999999999999999, 3.5, 0.7000000000000001, -0.3, 0.7]",True,1.0,"[16.0, 18.0, 22.0, 29.0, 31.0, 21.0, 1.0, 12.0]"
18,John Hicks\hicksjo02,31,5,,3.0010000000000003,,,Arb,,Arb,FA,"[-0.5, 0.0, 0.4, 0.0, -0.4]",False,,"[17.0, 1.0, 60.0, 81.0, 95.0]"
19,Joe Palumbo\palumjo01,26,2,Amateur Draft,1.13,,,,,Arb,Arb,"[-0.2, -0.2]",True,0.4444444444444444,"[7.0, 2.0]"
20,Justin Anderson\anderju01,28,2,,2.161,,,,,Arb,Arb,"[0.4, -0.3]",True,0.0,"[57.0, 54.0]"
21,Jharel Cotton\cottojh01,29,2,,2.158,VC Sports Group,,,,Arb,Arb,"[1.0, -0.7]",True,1.0,"[5.0, 24.0]"
22,Matt Bush\bushma01,35,4,Free Agency,2.1319999999999997,Full Circle Sport...,,,,Arb,Arb,"[2.1, 0.3, 0.2, -0.1]",True,0.0,"[58.0, 57.0, 21.0, 3.0]"
23,Ronald Guzman\guzmaro01,26,4,Amateur Free Agent,2.083,Octagon,,,,Arb,Arb,"[0.8, 0.0, 0.4, -0.2]",False,,"[123.0, 87.0, 26.0, 7.0]"
24,Brock Burke\burkebr01,24,1st,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb,[-0.1],True,1.0,[6.0]
25,Willie Calhoun\calhowi01,26,5,Traded,2.033,MVP Sports Group,,,,Arb,Arb,"[0.0, -0.7, 0.6, -1.1, 0.4]",False,,"[13.0, 35.0, 83.0, 29.0, 42.0]"
26,Brett Martin\martibr01,26,3,Amateur Draft,1.151,,,,,Arb,Arb,"[0.6, 0.4, 0.6]",True,0.0,"[51.0, 15.0, 22.0]"
27,Taylor Hearn\hearnta01,26,3,Traded,1.122,,,,,Arb,Arb,"[-0.3, 0.2, 0.1]",True,0.0,"[1.0, 14.0, 17.0]"
28,Kolby Allard\allarko01,23,4,Traded,1.114,,,,,Arb,Arb,"[-0.19999999999999996, 0.8, -0.6, 0.6]",True,0.16666666666666666,"[3.0, 9.0, 11.0, 12.0]"
29,Jose Trevino\trevijo01,28,4,Amateur Draft,1.055,,,,,Arb,Arb,"[-0.1, 0.0, 0.3, 0.0]",False,,"[3.0, 40.0, 24.0, 43.0]"
30,Jonathan Hernandez\hernajo02,24,2,Amateur Free Agent,1.041,,,,,Arb,Arb,"[0.3, 0.9]",True,0.05555555555555555,"[9.0, 27.0]"
31,Nick Solak\solakni01,26,3,Traded,1.041,Sosnick Cobbe & K...,,,,Arb,Arb,"[0.7, -1.1, 0.9]",False,,"[33.0, 58.0, 60.0]"
32,Wes Benjamin\benjawe01,27,2,Amateur Draft,0.133,,,,,,Arb,"[0.2, -0.4]",True,0.16666666666666666,"[8.0, 6.0]"
33,Leody Taveras\taverle01,22,2,Amateur Free Agent,0.114,,,,,,Arb,"[1.2, -0.7]",False,,"[33.0, 15.0]"
34,Anderson Tejeda\tejedan01,23,2,Amateur Free Agent,0.10300000000000001,,,,,,Arb,"[0.3, -0.1]",False,,"[23.0, 5.0]"
35,James Jones\jonesja06,32,2,,0.17,,,,,Arb,Arb,"[-0.1, -1.0]",False,,"[108.0, 28.0]"
36,Eli White\whiteel04,27,2,Traded,0.075,,,,,,Arb,"[-0.3, -0.7]",False,,"[19.0, 22.0]"
37,Nate Lowe\lowena01,25,3,Traded,0.145,David Meter,,,,,Arb,"[0.4, 0.4, 0.5]",False,,"[50.0, 21.0, 60.0]"
38,Jason Martin\martija03,25,3,Free Agency,0.139,,,,,,Arb,"[-0.3, -0.2, -0.2]",False,,"[20.0, 7.0, 10.0]"
39,Josh Sborz\sborzjo01,27,3,Traded,0.113,,,,,,Arb,"[-0.3, 0.1, 0.1]",True,0.0,"[7.0, 4.0, 24.0]"
40,Kyle Cody\codyky01,26,2,Amateur Draft,0.10800000000000001,,,,,,Arb,"[1.0, -0.4]",True,0.0,"[8.0, 7.0]"
41,Jonah Heim\heimjo01,26,2,Traded,0.09699999999999999,,,,,,Arb,"[0.1, -0.4]",False,,"[13.0, 26.0]"
42,Adolis García\garciad02,28,3,Purchased,0.095,,,,,,Arb,"[-0.3, -0.1, 2.6]",False,,"[21.0, 3.0, 50.0]"
43,Sherten Apostel\apostsh01,22,1st,Traded,0.044000000000000004,,,,,,Arb,[-0.5],False,,[7.0]
44,Dane Dunning\dunnida01,26,2,Traded,0.083,,,,,,Arb,"[0.2, 0.5]",True,1.0,"[7.0, 11.0]"
45,John King\kingjo01,26,2,Amateur Draft,0.067,,,,,,Arb,"[-0.2, 1.0]",True,0.0,"[6.0, 20.0]"
46,Sam Huff\huffsa01,23,1st,Amateur Draft,0.05,,,,,,Arb,[0.5],False,,[10.0]
47,Drew Anderson\anderdr02,27,4,,0.048,,,,,,Arb,"[-0.3, 0.0, -0.1, -0.3]",True,0.1,"[2.0, 5.0, 2.0, 1.0]"
48,Demarcus Evans\evansde01,24,2,Amateur Draft,0.036000000000000004,,,,,,Arb,"[0.1, 0.2]",True,0.0,"[4.0, 4.0]"
49,Luis Ortiz\ortizlu02,25,2,,0.028999999999999998,,,,,,Arb,"[-0.3, -0.1]",True,0.6666666666666666,"[2.0, 1.0]"
50,Tyson Miller\millety01,25,1st,,0.006,,,,,,Arb,[0.0],True,0.5,[2.0]
