,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games
38,Alberto Rosario\rosaral01,33,2,,0.12,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.3, -0.1]",False,,"[20.0, 3.0]"
39,James Sherfy\sherfji01,28,3,Amateur Draft,0.114,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.6, 0.5, -0.3]",True,0.0,"[11.0, 15.0, 17.0]"
40,Jon Duplantier\duplajo01,25,1st,Amateur Draft,0.095,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.2],True,0.2,[15.0]
41,Keury Mella\mellake01,26,3,,0.092,Republik Sports,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.0, -0.3, 0.0]",True,0.0,"[2.0, 4.0, 2.0]"
42,Kevin Cron\cronke01,27,1st,Amateur Draft,0.086,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.1],False,,[39.0]
43,Gavin Cecchini\cecchga02,26,2,,0.08199999999999999,Rob Martin,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[0.2, -0.6]",False,,"[4.0, 32.0]"
44,Artie Lewicki\lewicar01,28,2,,0.131,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.1, 0.0]",True,0.23529411764705882,"[4.0, 13.0]"
45,Stefan Crichton\crichst01,28,2,Traded,0.115,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,"[-0.2, 0.3]",True,0.0,"[8.0, 28.0]"
46,Zac Gallen\galleza01,24,1st,Traded,0.1,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[2.5],True,1.0,[15.0]
47,Alex Young\youngal01,26,1st,Amateur Draft,0.095,Wasserman,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,[0.3],True,0.8823529411764706,[17.0]
