,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher
28,Brock Stewart\stewabr01,28,4,,1.105,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-0.1, 0.0, -0.6, -0.7999999999999999]",True
29,Carlos Asuaje\asuajca01,28,3,,1.048,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-0.1, 0.6, -0.3]",False
30,Victor Caratini\caratvi01,26,3,Traded,2.051,,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[0.1, 0.0, 1.0]",True
31,Ian Happ\happia01,25,3,Amateur Draft,2.036,Excel Sports,,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,,"[1.6, 0.7, 1.0]",True
32,Noel Cuevas\cuevano01,28,2,,1.001,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-1.4, 0.0]",False
33,Casey Sadler\sadleca02,29,4,,1.035,,,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,,"[-0.3, 0.1, -0.2, 0.8]",True
34,Jason Adam\adamja01,28,2,,0.156,,,Pre-Arb,Pre-Arb-2,Arb-1,Arb-2,Arb-3,Arb-4,FA,"[-0.3, 0.6]",True
35,Dillon Maples\mapledi01,28,3,Amateur Draft,0.11699999999999999,CAA Sports,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.2, -0.3, 0.0]",True
36,Corban Joseph\josepco01,31,3,,0.113,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.0, -0.2, -0.4]",False
37,Mark Zagunis\zagunma01,27,3,Amateur Draft,0.10300000000000001,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.0, 0.1, -0.2]",False
38,Ben Taylor\taylobe10,27,2,,0.095,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.1, 0.0]",True
39,James Norwood\norwoja01,26,2,Amateur Draft,0.07,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.2, 0.1]",True
40,Brad Wieck\wieckbr01,28,2,Traded,0.125,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.2, -0.39999999999999997]",True
41,Robel Garcia\garciro02,27,1st,Free Agency,0.057999999999999996,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[0.0],False
42,Rowan Wick\wickro01,27,2,Traded,0.114,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.2, 0.6]",True
43,Alec Mills\millsal02,28,3,Traded,0.09699999999999999,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[-0.2, 0.2, 1.0]",True
44,Ian Miller\milleia01,28,1st,,0.028999999999999998,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[0.0],False
45,CD Pelham\pelhacd01,25,1st,,0.027000000000000003,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[-0.1],True
46,Danny Hultzen\hultzda01,30,1st,Free Agency,0.023,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[0.2],True
47,Duane Underwood Jr.\underdu01,25,2,Amateur Draft,0.044000000000000004,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,"[0.2, 0.0]",True
48,Adbert Alzolay\alzolad01,25,1st,Amateur Free Agent,0.019,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[-0.30000000000000004],True
49,Jerry Vasto\vastoje01,28,1st,,0.037000000000000005,,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[-0.2],True
50,Nico Hoerner\hoernni01,23,1st,Amateur Draft,0.021,Sosnick Cobbe & K...,,Pre-Arb,Pre-Arb-2,Pre-Arb-3,Arb-1,Arb-2,Arb-3,FA,[0.1],False
