Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
1,2001,SEA,AL,116,46,.716,1465.0,162,162,627,3.85,4.96,0.64,0.01,92.9,4.02,20,2.4,1.38,-0.8,16.8,193,.504,.504,$29440000
2,2004,STL,NL,105,57,.648,1453.1,162,162,659,4.08,4.62,0.19,0.02,98.6,4.38,43,4.6,1.16,-1.1,16.0,177,.507,.507,$36900000
3,2002,NYY,AL,103,58,.640,1452.0,161,161,697,4.32,4.81,-0.35,0.02,99.2,5.14,126,13.2,1.30,0.1,28.4,294,.527,.527,$60407219
4,2002,OAK,AL,103,59,.636,1452.0,162,162,654,4.05,4.94,-0.04,0.02,97.0,4.85,122,13.2,1.35,-1.2,27.1,290,.523,.523,$13330000
5,2002,ATL,NL,101,59,.631,1467.1,161,161,565,3.47,4.56,0.47,0.00,100.6,4.11,101,11.1,1.24,-0.4,23.4,230,.518,.518,$42410367
6,2001,OAK,AL,102,60,.630,1463.1,162,162,645,3.97,5.00,0.12,0.01,96.7,4.74,118,12.2,1.36,-0.7,26.7,291,.521,.521,$13868167
7,2004,NYY,AL,101,61,.623,1443.2,162,162,808,5.04,5.02,-0.50,0.00,97.4,5.37,41,4.8,1.19,0.4,20.2,221,.508,.508,$80281836
8,2003,ATL,NL,101,61,.623,1456.1,162,162,740,4.57,4.62,0.22,0.00,99.4,4.38,-38,-3.4,1.11,-0.2,9.0,95,.495,.495,$47487167
9,2003,NYY,AL,101,61,.623,1462.0,163,163,716,4.41,4.91,-0.26,0.03,97.0,5.05,108,11.5,1.20,-0.9,25.7,271,.522,.522,$68800000
10,2003,SFG,NL,100,61,.621,1437.1,161,161,638,3.99,4.54,0.22,0.00,99.3,4.29,41,5.2,1.28,-1.2,16.4,173,.508,.508,$22815167
11,2002,ANA,AL,99,63,.611,1452.1,162,162,644,3.99,4.90,0.61,0.01,99.1,4.26,37,4.1,1.32,-0.9,18.3,205,.507,.507,$26744167
12,2004,BOS,AL,98,64,.605,1451.2,162,162,768,4.76,5.09,-0.09,0.01,103.6,5.38,87,9.6,1.05,-0.7,23.9,268,.516,.516,$58682500
13,2002,ARI,NL,98,64,.605,1446.2,162,162,674,4.19,4.61,-0.03,0.04,109.5,5.12,144,17.0,1.16,-0.4,29.0,270,.529,.529,$59772499
14,2002,STL,NL,97,65,.599,1446.1,162,162,648,4.03,4.40,0.30,-0.01,98.3,4.01,-8,0.2,1.07,-1.0,11.7,119,.500,.500,$39994209
15,2000,SFG,NL,97,65,.599,1444.1,162,162,747,4.65,5.06,0.03,0.02,93.6,4.72,6,0.9,1.22,-0.9,12.4,148,.502,.502,$20525000
16,2001,NYY,AL,95,65,.594,1451.2,161,161,713,4.42,4.85,-0.36,0.01,98.9,5.15,110,12.0,1.24,-0.1,27.0,281,.523,.523,$43890000
17,2004,ATL,NL,96,66,.593,1450.0,162,162,668,4.15,4.65,0.27,0.00,99.2,4.35,27,3.1,1.11,-1.0,14.6,161,.505,.505,$47369167
