Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary
119,2013,SEA,AL,71,91,.438,1465.0,162,162,754,4.63,4.43,-0.63,0.00,91.5,4.63,-22,-0.8,1.33,-1.1,12.5,137,.499,.499,$45896700
120,2011,CHC,NL,71,91,.438,1434.1,162,162,756,4.74,4.22,-0.16,-0.01,102.5,4.49,-46,-4.5,1.12,-0.8,7.1,71,.493,.493,$53805333
121,2011,KCR,AL,71,91,.438,1451.1,162,162,762,4.73,4.48,0.04,-0.02,100.9,4.46,-51,-4.2,1.31,-1.0,9.9,106,.493,.493,$18458000
122,2011,SDP,NL,71,91,.438,1449.2,162,162,611,3.79,4.14,0.09,0.00,93.6,3.78,-6,-0.4,1.16,-0.9,11.1,112,.499,.499,$20693140
123,2014,HOU,AL,70,92,.432,1439.0,162,162,723,4.52,4.28,-0.04,0.01,100.2,4.33,-51,-4.6,1.17,-1.7,8.0,100,.492,.492,$23091400
124,2014,MIN,AL,70,92,.432,1435.0,162,162,777,4.87,4.21,-0.48,-0.01,102.5,4.80,-32,-2.6,1.09,-1.7,10.0,119,.496,.496,$43272500
125,2012,BOS,AL,69,93,.426,1443.0,162,162,806,5.03,4.47,0.37,-0.01,102.9,4.21,-132,-12.1,1.15,-2.6,0.3,16,.482,.482,$38419000
126,2012,MIA,NL,69,93,.426,1440.2,162,162,724,4.52,4.34,-0.41,0.01,103.0,4.90,48,5.7,1.19,-1.3,16.9,177,.509,.509,$65915000
127,2011,BAL,AL,69,93,.426,1446.2,162,162,860,5.35,4.62,0.00,-0.04,103.5,4.75,-105,-9.7,1.04,-1.0,4.5,51,.485,.485,$24526500
128,2010,CLE,AL,69,93,.426,1433.0,162,162,752,4.72,4.58,-0.11,-0.01,95.1,4.45,-53,-5.1,1.17,-1.1,8.8,104,.492,.492,$32437200
129,2010,WSN,NL,69,93,.426,1435.0,162,162,742,4.65,4.40,-0.02,-0.02,100.0,4.40,-43,-3.8,1.09,-1.4,7.3,78,.494,.494,$24448000
130,2012,CLE,AL,68,94,.420,1442.0,162,162,845,5.27,4.44,-0.33,-0.01,95.4,4.54,-118,-11.4,1.08,-1.0,2.6,29,.483,.483,$38600500
131,2014,TEX,AL,67,95,.414,1426.0,162,162,773,4.88,4.30,-0.18,-0.01,103.5,4.62,-61,-5.0,1.04,-1.4,7.7,89,.492,.492,$42434145
132,2011,SEA,AL,67,95,.414,1433.0,162,162,675,4.24,4.55,0.03,0.02,91.7,4.16,-20,-1.2,1.06,-1.3,12.3,135,.498,.498,$22252100
133,2010,KCR,AL,67,95,.414,1437.0,162,162,845,5.29,4.56,-0.64,-0.02,100.5,5.21,-24,-1.8,1.20,-0.1,13.1,133,.497,.497,$39281710
134,2014,COL,NL,66,96,.407,1431.0,162,162,818,5.14,4.04,0.05,-0.02,115.0,4.57,-80,-8.4,1.13,-1.6,2.9,21,.488,.488,$43545500
135,2013,CHC,NL,66,96,.407,1448.0,162,162,689,4.28,4.13,0.09,0.00,102.5,4.15,-15,-1.1,1.11,-1.5,10.4,93,.498,.498,$43321000
136,2013,MIN,AL,66,96,.407,1450.1,162,162,788,4.89,4.36,-0.11,-0.02,102.5,4.55,-75,-6.8,1.10,-1.4,6.2,82,.490,.490,$18847500
137,2012,MIN,AL,66,96,.407,1438.2,162,162,832,5.20,4.47,0.13,-0.02,100.7,4.35,-137,-12.9,1.07,-1.3,0.8,9,.481,.481,$31970000
138,2010,BAL,AL,66,96,.407,1436.1,162,162,785,4.92,4.66,-0.17,-0.01,100.3,4.83,-24,-2.1,1.26,-0.7,12.3,133,.497,.497,$33027500
139,2010,ARI,NL,65,97,.401,1432.0,162,162,836,5.25,4.46,0.16,0.01,104.9,4.53,-119,-11.0,.99,-1.1,0.3,2,.482,.482,$25238000
140,2014,ARI,NL,64,98,.395,1444.1,162,162,742,4.62,4.08,0.21,-0.01,102.1,3.94,-97,-10.2,1.12,-1.4,1.3,5,.484,.484,$36336500
141,2012,COL,NL,64,98,.395,1422.1,162,162,890,5.63,4.40,-0.69,-0.06,116.1,5.84,20,2.9,1.05,-0.7,14.5,147,.504,.504,$30441000
142,2013,CHW,AL,63,99,.389,1454.2,162,162,723,4.47,4.38,-0.31,0.01,105.2,4.94,55,7.0,1.41,-0.6,20.8,213,.511,.511,$30920400
143,2011,MIN,AL,63,99,.389,1421.2,162,162,804,5.09,4.55,-0.37,0.00,99.2,4.87,-43,-3.9,1.18,-1.5,9.4,111,.494,.494,$54355500
144,2013,MIA,NL,62,100,.383,1460.1,162,162,646,3.98,4.08,-0.02,-0.01,103.0,4.22,46,6.6,1.22,-0.5,19.2,155,.510,.510,$7978900
145,2012,CHC,NL,61,101,.377,1413.2,162,162,759,4.83,4.34,-0.03,-0.01,103.1,4.50,-65,-5.5,.90,-1.0,5.7,62,.492,.492,$44517500
146,2010,SEA,AL,61,101,.377,1438.0,162,162,698,4.37,4.55,0.07,0.02,95.0,4.28,-25,-1.2,1.18,-1.1,12.7,133,.498,.498,$28124000
147,2010,PIT,NL,57,105,.352,1411.2,162,162,866,5.52,4.47,-0.51,-0.02,100.5,4.98,-87,-7.8,.90,-0.7,3.8,32,.489,.489,$18991500
148,2011,HOU,NL,56,106,.346,1435.0,162,162,796,4.99,4.28,0.11,0.00,99.6,4.15,-139,-13.9,1.03,-0.8,-2.3,-22,.479,.479,$25140500
149,2012,HOU,NL,55,107,.340,1423.1,162,162,794,5.02,4.38,-0.36,-0.01,102.4,4.84,-41,-3.8,1.03,-0.5,7.9,86,.495,.495,$12777000
150,2013,HOU,AL,51,111,.315,1440.0,162,162,848,5.30,4.48,-0.30,-0.01,100.4,4.78,-103,-9.7,1.27,-1.5,3.1,53,.484,.484,$4918000
