"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Alex Rodriguez","Yankees","162","715","48","124","130","21","12.7%","19.4%",".289",".347",".321",".421",".610",".436","174","2.2","66.6","-0.2","9.1","1274"
"Andruw Jones","Braves","160","672","51","95","128","5","9.5%","16.7%",".312",".240",".263",".347",".575",".383","134","-0.9","27.9","28.5","7.9","96"
"Albert Pujols","Cardinals","161","700","41","129","117","16","13.9%","9.3%",".279",".316",".330",".430",".609",".432","167","4.9","64.1","-9.9","7.7","1177"
"Chase Utley","Phillies","147","628","28","93","105","16","11.0%","17.4%",".249",".315",".291",".376",".540",".388","134","4.7","31.8","19.1","7.2","1679"
"Derrek Lee","Cubs","158","691","46","120","107","15","12.3%","15.8%",".327",".343",".335",".418",".662",".444","170","0.0","61.0","-14.2","7.0","525"
"Brian Roberts","Orioles","143","640","18","92","73","27","10.5%","13.0%",".201",".341",".314",".387",".515",".387","140","3.5","34.8","11.5","6.8","166"
"Jim Edmonds","Cardinals","142","567","29","88","89","5","16.0%","24.5%",".270",".310",".263",".385",".533",".389","139","4.0","31.7","10.9","6.1","1153"
"Morgan Ensberg","Astros","150","624","36","86","101","6","13.6%","19.1%",".274",".301",".283",".388",".557",".399","144","-2.9","31.6","8.6","6.1","556"
"Mark Teixeira","Rangers","162","730","43","112","144","4","9.9%","17.0%",".273",".315",".301",".379",".575",".404","147","2.3","44.1","-9.8","5.9","1281"
"Brian Giles","Padres","158","674","15","92","83","13","17.7%","9.5%",".182",".314",".301",".423",".483",".392","147","3.3","43.1","-6.3","5.9","990"
"David Wright","Mets","160","657","27","99","102","17","11.0%","17.2%",".217",".340",".306",".388",".523",".393","142","4.3","38.8","-2.7","5.8","3787"
"Jason Bay","Pirates","162","707","32","110","101","21","13.4%","20.1%",".254",".350",".306",".402",".559",".407","150","9.3","53.4","-19.6","5.7","1717"
"Grady Sizemore","Indians","158","706","22","111","81","22","7.4%","18.7%",".195",".334",".289",".348",".484",".359","123","2.8","22.3","9.5","5.6","2197"
"Placido Polanco","- - -","129","551","9","84","56","4","6.0%","4.5%",".116",".333",".331",".383",".447",".365","124","0.7","16.9","18.4","5.4","1176"
"Travis Hafner","Indians","137","578","33","94","108","0","13.7%","21.3%",".290",".344",".305",".408",".595",".423","166","0.5","46.9","-13.6","5.3","1573"
"David Ortiz","Red Sox","159","713","47","119","148","1","14.3%","17.4%",".304",".303",".300",".397",".604",".418","157","-4.1","45.7","-17.0","5.3","745"
"Vladimir Guerrero","Angels","141","594","32","95","108","13","10.3%","8.1%",".248",".299",".317",".394",".565",".397","148","-0.6","34.4","-1.8","5.3","778"
"Coco Crisp","Indians","145","656","16","86","69","15","6.7%","12.3%",".165",".323",".300",".345",".465",".350","116","5.5","18.6","11.4","5.2","1572"
"Eric Chavez","Athletics","160","694","27","92","101","6","8.4%","18.6%",".197",".295",".269",".329",".466",".340","110","6.3","15.0","13.1","5.2","906"
"Marcus Giles","Braves","152","654","15","104","63","16","9.8%","16.5%",".170",".334",".291",".365",".461",".360","119","3.5","19.1","11.0","5.2","89"
"Miguel Cabrera","Marlins","158","685","33","106","116","1","9.3%","18.2%",".238",".358",".323",".385",".561",".399","146","-1.0","39.0","-10.0","5.1","1744"
"Randy Winn","- - -","160","683","20","85","63","19","7.0%","13.3%",".193",".332",".306",".360",".499",".368","127","3.8","27.3","0.5","5.1","1235"
"Geoff Jenkins","Brewers","148","618","25","87","86","0","9.1%","22.3%",".221",".347",".292",".375",".513",".379","130","-2.5","20.4","7.8","4.9","690"
"Chipper Jones","Braves","109","432","21","66","72","5","16.7%","13.0%",".260",".300",".296",".412",".556",".412","153","-0.1","28.9","5.4","4.9","97"
"Carl Crawford","Devil Rays","156","687","15","101","81","46","3.9%","12.2%",".168",".325",".301",".331",".469",".343","112","7.6","17.3","7.2","4.8","1201"
"Miguel Tejada","Orioles","162","704","26","89","98","5","5.7%","11.8%",".211",".316",".304",".349",".515",".367","126","-2.1","20.5","2.7","4.7","941"
"Victor Martinez","Indians","147","622","20","73","80","0","10.1%","12.5%",".170",".322",".305",".378",".475",".367","128","-4.5","16.6","9.4","4.7","393"
