"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Brian Rose","- - -","27","28","0","1","0","0","3.6%","39.3%",".000",".077",".042",".080",".042",".065","-87","0.0","-7.6","3.2","-0.3","1011201"
"Gary Gaetti","Red Sox","5","11","0","0","1","0","0.0%","27.3%",".000",".000",".000",".000",".000",".000","-100","0.0","-3.3","-0.5","-0.3","1004422"
"Alex Cora","Dodgers","109","394","4","39","32","4","6.6%","13.5%",".119",".268",".238",".302",".357",".289","70","0.4","-15.8","-0.6","-0.3","1386"
"Chan Perry","Indians","13","14","0","1","0","0","0.0%","35.7%",".000",".111",".071",".071",".071",".064","-83","0.0","-3.5","-0.5","-0.3","1567"
"Chad Meyers","Cubs","36","57","0","8","5","1","5.3%","19.3%",".038",".214",".173",".228",".212",".205","11","0.2","-6.7","1.1","-0.3","1787"
"Danny Klassen","Diamondbacks","29","87","2","13","8","1","9.2%","27.6%",".118",".320",".237",".318",".355",".304","71","-0.2","-3.7","-2.6","-0.3","1455"
"Jolbert Cabrera","Indians","100","187","2","27","15","6","4.3%","8.0%",".063",".264",".251",".290",".314",".272","50","-0.6","-13.2","2.6","-0.3","373"
"Rob Ducey","- - -","117","198","6","26","26","1","15.7%","24.7%",".152",".232",".194",".318",".345",".300","71","0.2","-7.7","-2.6","-0.3","1003520"
"Javier Cardona","Tigers","26","42","1","1","2","0","0.0%","21.4%",".100",".194",".175",".190",".275",".201","10","0.0","-5.1","0.0","-0.3","1023"
"Ross Gload","Cubs","18","35","1","4","3","0","8.6%","28.6%",".161",".238",".194",".257",".355",".265","49","0.0","-2.4","-2.3","-0.3","1538"
"B.J. Waszgis","Rangers","24","51","0","6","4","0","7.8%","19.6%",".022",".278",".222",".294",".244",".255","37","0.0","-4.3","-1.0","-0.3","1013662"
"Santiago Perez","Brewers","24","63","0","8","2","4","12.7%","14.3%",".038",".205",".173",".290",".212",".231","26","0.8","-5.5","-0.3","-0.3","1010187"
"Jason Tyner","- - -","50","142","0","9","13","7","3.5%","11.3%",".032",".252",".226",".261",".258",".236","31","0.5","-12.9","3.7","-0.4","1232"
"Glendon Rusch","Mets","31","57","0","2","1","0","5.3%","33.3%",".000",".097",".060",".113",".060",".092","-59","0.0","-12.3","6.6","-0.4","707"
"Fernando Lunar","- - -","31","77","0","5","6","0","3.9%","24.7%",".014",".235",".171",".247",".186",".205","11","-0.9","-10.2","3.6","-0.4","1459"
"Matt Stairs","Athletics","143","562","21","74","81","5","13.9%","21.7%",".187",".257",".227",".333",".414",".327","90","0.1","-7.1","-16.3","-0.4","1384"
"Craig Paquette","Cardinals","134","420","15","47","61","4","6.4%","19.8%",".190",".271",".245",".294",".435",".311","79","-0.5","-12.8","-5.0","-0.4","484"
"Andy Sheets","Red Sox","12","21","0","1","1","0","0.0%","14.3%",".000",".111",".095",".095",".095",".086","-68","0.0","-4.8","0.0","-0.4","1226"
"Bruce Chen","- - -","37","38","0","0","1","0","2.6%","52.6%",".000",".100",".033",".065",".033",".052","-85","0.0","-9.8","4.4","-0.4","769"
"Rob Bell","Reds","26","49","0","1","0","0","2.0%","55.1%",".022",".167",".067",".087",".089",".082","-71","0.0","-11.4","5.6","-0.4","1492"
"Vinny Castilla","Devil Rays","85","354","6","22","42","1","4.0%","11.6%",".088",".231",".221",".254",".308",".245","35","-0.7","-32.1","14.2","-0.4","84"
"Abraham Nunez","Pirates","40","99","1","10","8","0","8.1%","14.1%",".044",".250",".220",".283",".264",".249","37","0.0","-8.4","0.8","-0.4","1420"
"Ruben Sierra","Rangers","20","64","1","5","7","1","6.3%","14.1%",".050",".260",".233",".281",".283",".258","40","0.2","-5.0","-1.5","-0.4","1099"
"Orlando Cabrera","Expos","125","454","13","47","55","4","5.5%","6.2%",".156",".227",".237",".279",".393",".289","63","-1.0","-23.6","4.1","-0.4","766"
"Kevin Brown","Dodgers","33","84","0","2","3","0","2.4%","34.5%",".000",".135",".076",".129",".076",".106","-47","0.0","-16.8","9.7","-0.4","642"
"Jose Vizcaino","- - -","113","297","0","32","14","6","7.4%","14.5%",".052",".296",".251",".308",".303",".275","58","-2.0","-19.0","4.0","-0.4","577"
"Kevin Sefcik","Phillies","99","171","0","15","10","4","7.6%","11.1%",".065",".265",".235",".300",".301",".274","54","-0.1","-10.7","0.5","-0.4","1011722"
"Carlos Perez","Dodgers","32","50","0","0","3","0","0.0%","30.0%",".070",".071",".047",".047",".116",".065","-74","0.0","-11.8","5.8","-0.4","1010179"
"Julian Tavarez","Rockies","51","38","0","1","0","0","0.0%","36.8%",".000",".143",".086",".086",".086",".077","-94","0.0","-10.0","4.4","-0.4","541"
"Corey Patterson","Cubs","11","47","2","9","2","1","6.4%","29.8%",".167",".192",".167",".239",".333",".253","42","-0.3","-4.0","-1.9","-0.4","300"
"Greg LaRocca","Padres","13","30","0","1","2","0","3.3%","13.3%",".074",".261",".222",".250",".296",".243","41","0.0","-2.4","-2.8","-0.4","1582"
"F.P. Santangelo","Dodgers","81","177","1","19","9","3","11.9%","18.6%",".049",".245",".197",".322",".246",".277","62","-0.3","-9.5","-0.9","-0.4","1011438"
"Juan Castro","Reds","82","244","4","20","23","0","5.7%","13.5%",".125",".265",".241",".283",".366",".283","57","-0.9","-15.1","2.3","-0.4","315"
"Octavio Dotel","Astros","50","40","0","1","0","0","2.5%","40.0%",".000",".063",".031",".061",".031",".049","-94","0.0","-10.5","4.6","-0.4","555"
"Greg Norton","White Sox","71","231","6","25","28","1","11.3%","20.3%",".129",".287",".244",".333",".373",".318","81","0.2","-5.8","-6.6","-0.4","1388"
"Chris Woodward","Blue Jays","37","115","3","16","14","1","8.7%","24.3%",".154",".219",".183",".254",".337",".250","37","0.2","-9.7","1.0","-0.4","1329"
"Jamey Wright","Brewers","26","50","0","0","0","0","0.0%","34.0%",".022",".103",".065",".065",".087",".066","-79","0.0","-12.2","5.8","-0.4","715"
"Al Leiter","Mets","31","71","0","1","0","0","5.6%","46.5%",".000",".120",".052",".113",".052",".090","-60","0.0","-15.4","8.2","-0.4","883"
"John Roskos","Padres","14","30","0","0","1","0","10.0%","23.3%",".037",".050",".037",".133",".074",".114","-42","0.0","-5.8","-0.3","-0.5","1011221"
"Jose Nieves","Cubs","82","213","5","17","24","1","5.2%","20.2%",".136",".243",".212",".251",".348",".258","45","-0.2","-16.1","3.2","-0.5","26"
"Garrett Stephenson","Cardinals","32","76","0","0","4","0","5.3%","30.3%",".000",".083",".051",".111",".051",".089","-64","0.0","-17.0","8.8","-0.5","1185"
"Alfonso Soriano","Yankees","22","53","2","5","3","2","1.9%","28.3%",".180",".212",".180",".196",".360",".234","30","0.4","-4.6","-2.8","-0.5","847"
"Roberto Kelly","Yankees","10","27","1","4","1","0","3.7%","22.2%",".160",".111",".120",".185",".280",".206","12","0.0","-3.2","-3.3","-0.5","1006815"
"Russ Davis","Giants","80","192","9","27","24","0","4.7%","15.1%",".178",".266",".261",".302",".439",".320","87","-1.4","-4.7","-7.1","-0.5","1003076"
"Mark Lewis","- - -","82","198","2","20","24","7","6.6%","17.2%",".132",".299",".253",".305",".385",".304","76","0.5","-6.0","-6.4","-0.5","1007585"
"Ryan Dempster","Marlins","33","82","0","3","2","0","1.2%","35.4%",".026",".125",".078",".090",".104",".087","-62","0.0","-18.1","9.4","-0.5","517"
"Jorge Velandia","- - -","33","34","0","2","2","0","5.9%","23.5%",".032",".130",".097",".176",".129",".154","-20","0.0","-5.5","-1.7","-0.6","900"
"Eddie Taubensee","Reds","81","291","6","29","24","0","7.2%","15.1%",".113",".300",".267",".324",".380",".312","76","0.0","-9.4","-5.9","-0.6","1012845"
"Ricky Ledee","- - -","137","531","13","59","77","13","11.1%","18.5%",".146",".270",".236",".322",".381",".311","76","-0.1","-17.5","-8.1","-0.6","1407"
"Andy Fox","- - -","100","275","4","29","20","10","8.0%","19.3%",".096",".280",".232",".302",".328",".279","59","0.2","-15.2","-0.7","-0.6","1379"
"Karim Garcia","- - -","16","33","0","1","0","0","0.0%","30.3%",".000",".130",".091",".091",".091",".082","-57","0.0","-7.4","-0.8","-0.7","1537"
"Marlon Anderson","Phillies","41","174","1","10","15","2","6.9%","12.6%",".080",".259",".228",".282",".309",".267","49","-0.5","-12.5","-0.4","-0.7","947"
"George Lombard","Braves","27","41","0","8","2","4","2.4%","34.1%",".000",".160",".103",".146",".103",".124","-42","0.8","-7.1","-1.4","-0.7","101"
"Miguel Cairo","Devil Rays","119","417","1","49","34","28","7.0%","8.2%",".067",".281",".261",".314",".328",".290","64","2.4","-18.2","-3.7","-0.7","1412"
"Lenny Webster","Expos","39","87","0","6","5","0","6.9%","16.1%",".037",".254",".210",".264",".247",".232","27","0.0","-8.7","-1.4","-0.7","1013718"
"Sean Berry","- - -","33","54","1","1","2","0","7.4%","27.8%",".100",".176",".140",".204",".240",".202","10","-0.5","-7.2","-1.9","-0.7","1000910"
"Gene Kingsale","Orioles","26","91","0","13","9","1","2.2%","15.4%",".045",".280",".239",".253",".284",".238","34","-0.7","-8.8","-1.8","-0.7","1085"
"Wilton Guerrero","Expos","127","314","2","30","23","8","6.1%","13.1%",".059",".305",".267",".312",".326",".288","63","1.2","-14.7","-3.5","-0.7","1378"
"Brian Schneider","Expos","45","123","0","6","11","0","5.7%","19.5%",".052",".293",".235",".276",".287",".248","37","-0.4","-11.0","-0.6","-0.7","795"
"Mickey Morandini","- - -","126","457","0","41","29","6","7.9%","16.8%",".056",".315",".257",".322",".313",".291","64","0.3","-21.9","-1.3","-0.7","1009151"
"Chad Moeller","Twins","48","139","1","13","9","1","6.5%","23.7%",".063",".274",".211",".261",".273",".243","32","0.2","-12.6","-0.1","-0.7","66"
"Jeff Huson","Cubs","70","144","0","19","11","2","9.0%","6.3%",".069",".231",".215",".287",".285",".260","46","0.0","-10.5","-2.1","-0.7","1006229"
"Rey Ordonez","Mets","45","155","0","10","9","0","11.0%","10.3%",".038",".212",".188",".278",".226",".235","33","0.0","-14.1","0.8","-0.7","889"
"Manny Alexander","Red Sox","101","209","4","30","19","2","6.2%","19.6%",".113",".248",".211",".261",".325",".260","44","0.4","-15.4","-0.1","-0.8","1954"
"Scott Pose","Royals","47","54","0","6","1","0","11.1%","24.1%",".000",".257",".188",".278",".188",".230","20","-0.5","-6.3","-3.6","-0.8","1010464"
"Aramis Ramirez","Pirates","73","274","6","19","35","0","3.6%","13.1%",".146",".273",".256",".293",".402",".301","71","0.0","-11.0","-6.0","-0.8","1002"
"Alex Arias","Phillies","70","180","2","17","15","1","8.9%","15.6%",".097",".211",".187",".271",".284",".249","38","0.2","-14.9","0.6","-0.8","123"
"Alex Hernandez","Pirates","20","60","1","4","5","1","0.0%","21.7%",".100",".239",".200",".200",".300",".215","15","-0.3","-7.2","-3.0","-0.8","1005695"
"Pedro Astacio","Rockies","32","84","0","2","6","0","1.2%","29.8%",".000",".140",".098",".108",".098",".095","-82","0.0","-20.8","9.7","-0.8","862"
"Milton Bradley","Expos","42","172","2","20","15","2","8.1%","18.6%",".104",".264",".221",".288",".325",".276","55","0.0","-10.5","-3.4","-0.8","369"
"Thomas Howard","Cardinals","86","141","6","13","28","1","5.0%","24.1%",".180",".237",".211",".255",".391",".279","58","0.2","-7.9","-5.1","-0.8","1006090"
"Scott Servais","- - -","40","120","1","7","13","0","7.5%","14.2%",".064",".250",".220",".283",".284",".249","18","-0.4","-13.8","1.3","-0.8","1011756"
"Wilton Veras","Red Sox","49","179","0","21","14","0","3.9%","11.2%",".055",".272",".244",".278",".299",".259","44","0.0","-13.7","-1.3","-0.8","1013405"
"Rico Brogna","- - -","81","199","2","20","21","1","5.0%","20.6%",".124",".287",".232",".278",".357",".277","56","0.2","-11.7","-4.0","-0.8","1001464"
"Brian Buchanan","Twins","30","93","1","10","8","0","8.6%","23.7%",".073",".295",".232",".301",".305",".276","54","-0.9","-6.8","-5.2","-0.8","720"
"Bernard Gilkey","- - -","74","185","3","17","15","0","9.2%","15.1%",".104",".194",".177",".265",".280",".246","34","0.0","-16.6","0.8","-0.8","1004706"
"Terry Jones","Expos","108","181","0","30","13","7","5.5%","17.7%",".071",".309",".250",".292",".321",".273","53","0.5","-11.0","-3.9","-0.8","1006596"
"Brian Johnson","Royals","37","132","4","9","18","0","3.0%","21.2%",".144",".232",".208",".229",".352",".248","32","0.0","-12.2","-1.4","-0.9","1006432"
"Scarborough Green","Rangers","79","139","0","21","9","10","7.2%","18.7%",".024",".296",".234",".291",".258",".256","38","-0.7","-12.4","-1.7","-0.9","1005011"
"Royce Clayton","Rangers","148","573","14","70","54","11","7.3%","16.1%",".142",".268",".242",".301",".384",".301","67","-1.0","-26.7","-2.6","-0.9","226"
"Darren Bragg","Rockies","71","169","3","16","21","4","10.1%","24.3%",".121",".278",".221",".296",".342",".282","37","0.4","-14.0","-1.5","-0.9","83"
"Edgard Clemente","Angels","46","80","0","4","5","0","0.0%","33.8%",".026",".333",".218",".228",".244",".212","14","-0.5","-9.8","-2.8","-0.9","1002337"
"Desi Relaford","- - -","128","502","5","55","46","13","14.9%","14.1%",".085",".247",".215",".351",".300",".304","76","2.7","-14.0","-11.4","-0.9","1096"
"Wil Cordero","- - -","127","536","16","64","68","1","6.0%","14.2%",".188",".299",".276",".328",".464",".342","96","-0.7","-3.4","-23.6","-0.9","770"
"Matt Mieske","- - -","73","99","2","10","7","0","8.1%","18.2%",".124",".200",".180",".253",".303",".249","35","0.0","-8.8","-4.4","-0.9","1008849"
"Jim Leyritz","- - -","65","131","2","5","12","0","10.7%","19.8%",".061",".253",".209",".305",".270",".272","57","0.0","-7.7","-6.8","-1.0","1007590"
"Trenidad Hubbard","- - -","92","123","1","18","6","4","8.9%","18.7%",".083",".226",".185",".267",".269",".248","39","-0.1","-10.4","-4.1","-1.0","1036"
"Matthew LeCroy","Twins","56","190","5","18","17","0","8.9%","20.0%",".150",".189",".174",".254",".323",".252","38","0.0","-16.0","-0.9","-1.0","1456"
"Alex Ramirez","- - -","84","240","9","26","30","2","5.0%","20.4%",".185",".278",".247",".285",".432",".304","71","0.4","-8.9","-9.9","-1.0","1010668"
"Tim Bogar","Astros","110","351","7","32","33","1","10.0%","16.0%",".112",".229",".207",".292",".319",".268","47","-0.2","-25.7","2.8","-1.0","1001120"
"Brant Brown","- - -","95","178","5","11","16","3","7.3%","34.8%",".136",".240",".173",".237",".309",".243","36","0.2","-15.3","-2.1","-1.1","1001498"
"Bobby Bonilla","Braves","114","278","5","23","28","0","13.3%","18.3%",".142",".304",".255",".356",".397",".336","94","0.0","-2.2","-18.3","-1.1","1001168"
"Kevin Young","Pirates","132","541","20","77","88","8","5.9%","17.7%",".175",".281",".258",".311",".433",".322","84","0.3","-11.7","-19.3","-1.2","1018"
"Ryan Minor","Orioles","32","88","0","4","3","0","3.4%","22.7%",".012",".172",".131",".170",".143",".150","-23","0.0","-14.6","-1.9","-1.3","1008983"
"Tomas Perez","Phillies","45","152","1","17","13","1","7.2%","19.7%",".086",".275",".221",".278",".307",".258","44","-0.2","-11.8","-6.2","-1.3","965"
"Chad Hermansen","Pirates","33","117","2","12","8","0","5.1%","31.6%",".111",".257",".185",".226",".296",".230","25","0.0","-11.9","-6.8","-1.4","991"
"Luis Ordaz","Royals","65","117","0","17","11","4","4.3%","8.5%",".019",".237",".221",".257",".240",".228","19","-0.1","-13.0","-6.0","-1.4","298"
"Kevin Jordan","Phillies","109","358","5","30","36","0","4.7%","11.5%",".104",".235",".220",".257",".323",".256","42","-0.4","-28.5","0.6","-1.5","1006610"
"Peter Bergeron","Expos","148","592","5","80","31","11","9.8%","16.9%",".104",".294",".245",".320",".349",".302","72","-3.7","-26.5","-8.6","-1.5","763"
"Marty Cordova","Blue Jays","62","221","4","23","18","3","8.1%","15.8%",".095",".280",".245",".317",".340",".298","68","-0.3","-9.9","-13.4","-1.5","132"
"Todd Dunwoody","Royals","61","195","1","12","23","3","4.1%","21.5%",".067",".255",".208",".238",".275",".228","18","0.6","-21.0","-2.9","-1.6","381"
"Homer Bush","Blue Jays","76","325","1","38","18","9","5.5%","18.5%",".037",".266",".215",".271",".253",".243","33","0.0","-29.7","1.1","-1.6","1425"
"Mike Lamb","Rangers","138","538","6","65","47","0","6.3%","11.2%",".095",".305",".278",".328",".373",".309","72","-0.9","-21.4","-14.3","-1.6","1258"
"Mike Lansing","- - -","139","548","11","72","60","8","6.9%","13.7%",".125",".261",".240",".292",".365",".288","47","0.7","-38.8","1.9","-1.7","1007334"
"Marquis Grissom","Brewers","146","640","14","67","62","20","6.1%","15.5%",".108",".270",".244",".288",".351",".282","59","-0.5","-36.2","-3.8","-1.8","652"
"Michael Barrett","Expos","89","297","1","28","22","0","7.7%","11.8%",".074",".242",".214",".277",".288",".250","38","-0.4","-25.3","-3.5","-1.8","762"
"Alex Gonzalez","Marlins","109","407","7","35","42","7","3.2%","18.9%",".119",".231",".200",".229",".319",".239","35","1.0","-35.1","0.4","-2.0","520"
