"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Chris Pritchett","Phillies","5","12","0","0","0","0","8.3%","25.0%",".000",".125",".091",".167",".091",".135","-35","0.0","-2.2","0.8","-0.1","1010541"
"Ron Villone","Reds","35","45","0","2","4","0","0.0%","20.0%",".023",".206",".163",".163",".186",".155","-25","0.0","-7.6","5.2","-0.1","1010"
"DeWayne Wise","Blue Jays","28","24","0","3","0","1","4.2%","20.8%",".000",".176",".136",".208",".136",".174","-12","0.2","-3.4","1.5","-0.1","1554"
"Jay Witasick","- - -","33","29","0","0","3","0","3.4%","41.4%",".000",".214",".115",".148",".115",".127","-30","0.0","-5.3","3.3","-0.1","1138"
"Luis Rivas","Twins","16","64","0","8","6","2","3.1%","6.3%",".103",".321",".310",".323",".414",".317","80","0.4","-1.3","-1.8","-0.1","753"
"Hideki Irabu","Expos","11","18","0","1","1","0","0.0%","38.9%",".000",".222",".125",".125",".125",".113","-50","0.0","-3.7","2.1","-0.1","1255"
"Torii Hunter","Twins","99","358","5","44","44","4","5.0%","19.0%",".128",".336",".280",".318",".408",".315","79","-0.5","-11.0","-2.6","-0.1","731"
"Shawn Gilbert","Dodgers","15","23","1","5","3","0","8.7%","30.4%",".200",".167",".150",".227",".350",".252","46","0.0","-1.7","-0.1","-0.1","1004696"
"Pat Hentgen","Cardinals","33","72","0","4","0","0","5.6%","23.6%",".000",".186",".133",".188",".133",".158","-20","0.0","-11.7","8.3","-0.1","145"
"Reid Cornelius","Marlins","23","41","0","1","1","0","0.0%","29.3%",".054",".200",".135",".135",".189",".140","-28","0.0","-7.2","4.7","-0.1","1002634"
"Chad Curtis","Rangers","108","381","8","48","48","3","9.7%","18.6%",".152",".320",".272",".343",".424",".338","91","-0.7","-5.6","-8.8","-0.1","1002898"
"Chris Jones","Brewers","12","17","0","3","1","0","5.9%","23.5%",".125",".250",".188",".235",".313",".242","33","0.0","-1.5","-0.1","-0.1","1006539"
"Lou Collier","Brewers","14","39","1","9","2","0","15.4%","10.3%",".125",".214",".219",".333",".344",".308","76","0.0","-1.3","-1.0","-0.1","1438"
