,WAR,Age
716,,
717,1.2,26
718,,
719,-0.4,22
720,0.3,23
721,-0.2,24
722,1.8,25
723,-0.4,26
724,-0.6,27
725,-1.2,28
726,,
727,0.1,21
728,-1.1,22
729,1.4,23
730,-1.5,24
731,1.1,25
732,1.6,26
733,2.0,27
734,0.5,28
735,-0.2,29
736,,
737,-0.1,23
738,-0.4,25
739,-0.4,26
740,0.3,27
741,,
742,-0.1,23
743,-0.5,24
744,0.0,25
745,4.9,26
746,5.4,27
747,2.0,28
748,1.7,29
749,6.1,30
750,4.3,31
751,2.0,32
752,-1.6,33
753,0.8,34
754,0.0,35
755,1.9,36
756,3.0,37
757,-1.2,38
758,,
759,-0.4,24
760,-0.8,25
761,0.2,26
762,,
763,-0.5,28
764,,
765,0.1,25
766,2.4,26
767,2.4,27
768,2.7,28
769,-1.1,29
770,-0.8,30
771,,
772,-0.5,21
773,0.4,22
774,2.4,23
775,,
776,-0.4,22
777,-0.5,23
778,0.0,24
779,0.6,25
780,0.19999999999999998,26
781,-0.2,27
782,,
783,2.4,24
784,1.1,25
785,2.2,26
786,3.0,27
787,1.9,28
788,2.1,29
789,3.5,30
790,2.9,31
791,0.0,32
792,2.7,33
793,-0.2,34
794,-0.1,35
795,,
796,2.9,22
797,5.8,23
798,2.6,24
799,4.5,25
800,4.4,26
801,7.8,27
802,6.3,28
803,1.9,29
804,,
805,0.8,20
806,-0.5,21
807,0.3,22
808,0.0,25
809,0.2,26
810,0.2,27
811,0.1,30
812,1.5,31
813,-0.5,32
814,-0.4,33
815,,
816,0.2,24
817,0.1,25
818,2.3,26
819,5.7,27
820,2.0,28
821,1.5,29
822,-0.8,30
823,-0.3,31
824,3.5,32
825,2.0,33
826,1.1,34
827,4.2,35
828,3.8,36
829,5.0,37
830,1.2,39
831,0.1,40
832,-0.8,41
833,1.0,42
834,0.1,43
835,,
836,0.2,24
837,,
838,0.8,21
839,2.9,22
840,4.5,23
841,1.8,24
842,,
843,0.4,25
844,-0.5,26
845,0.1,27
846,,
847,0.2,24
848,,
849,-0.2,24
850,0.1,25
851,-0.6,26
852,0.0,27
853,,
854,-0.6,21
855,0.2,22
856,-0.1,24
857,0.1,25
858,0.0,26
859,-0.2,27
860,-0.6,29
861,,
862,2.3,22
863,3.8,23
864,5.4,24
865,6.9,25
866,7.8,26
867,6.4,27
868,5.1,28
869,-0.3,29
870,3.0,30
871,2.8,31
872,1.6,32
873,,
874,-0.3,24
875,-0.2,25
876,0.1,26
877,0.6,27
878,0.6,28
879,0.7,29
880,0.5,30
881,-0.7000000000000001,31
882,-0.2,32
883,,
884,-0.5,23
885,-0.2,24
886,0.2,25
887,,
888,0.7,24
889,0.1,25
890,0.1,26
891,-0.2,27
892,-0.3,28
893,,
894,0.3,23
895,-0.2,24
896,,
897,0.1,19
898,3.3,20
899,7.4,21
900,7.1,22
901,8.2,23
902,4.9,24
903,6.5,25
904,4.9,26
905,3.2,27
906,6.7,28
907,5.6,29
908,3.0,30
909,-1.6,31
910,0.3,32
911,1.9,33
912,0.9,34
913,0.2,35
914,,
915,-0.5,23
916,-1.2000000000000002,24
917,-1.4,25
918,3.9999999999999996,26
919,5.0,27
920,3.6999999999999997,28
921,2.1,29
922,4.5,30
923,3.0,31
924,0.4,32
925,0.30000000000000004,33
926,1.2999999999999998,34
927,-0.6000000000000001,35
928,0.1,36
929,,
930,1.2,21
931,2.6,22
932,4.0,23
933,2.8000000000000003,24
934,4.7,25
935,3.6,26
936,1.4,27
937,2.3,28
938,4.5,29
939,3.5,30
940,0.9,31
941,0.7,32
942,-2.5,33
943,1.7,34
944,,
945,-0.7,25
946,0.3,26
947,1.8,27
948,0.2,28
949,-0.30000000000000004,29
950,0.1,30
951,0.3,31
952,-1.3,32
953,-1.1,33
954,,
955,-1.2,26
956,0.1,27
957,-0.1,28
958,-0.1,31
959,,
960,0.1,23
961,-1.1,24
962,2.4,25
963,-1.3,26
964,-0.2,27
965,0.0,29
966,,
967,0.0,22
968,0.1,23
969,-0.5,24
970,,
971,-1.4,21
972,0.9,22
973,-0.2,23
974,-0.3,24
975,-0.5,25
976,0.5,26
977,-0.1,30
978,,
979,0.6,25
980,0.1,26
981,-0.9,27
982,0.2,28
983,-0.1,29
984,,
985,2.9,23
986,5.6,24
987,8.4,25
988,2.3,26
989,2.4,27
990,3.5,28
991,3.4,29
992,3.3000000000000003,30
993,3.1,31
994,1.2000000000000002,32
995,6.2,33
996,1.8,34
997,3.6999999999999997,35
998,2.2,36
999,3.4,37
1000,2.6,38
1001,2.2,40
1002,2.3,41
1003,,
1004,0.1,27
1005,-0.1,28
1006,-0.4,29
1007,0.7,30
1008,0.0,31
1009,,
1010,-0.3,24
1011,0.2,25
1012,0.3,26
1013,-1.1,27
1014,-0.3,28
1015,-0.7,29
1016,0.3,30
1017,,
1018,0.2,26
1019,-0.8,27
1020,-0.2,30
1021,-0.1,34
1022,0.2,35
1023,,
1024,0.2,23
1025,0.6,24
1026,2.5,25
1027,1.0,26
1028,-0.5,27
1029,-1.5,28
1030,-0.1,29
1031,-0.2,30
1032,-1.0,31
1033,,
1034,,
1035,-0.2,25
1036,-0.1,26
1037,0.1,27
1038,-0.7,28
1039,-0.2,29
1040,-0.5,30
1041,0.6,31
1042,,
1043,0.1,24
1044,0.6,25
1045,0.5,26
1046,4.0,27
1047,5.3,28
1048,1.0,29
1049,4.2,30
1050,0.9,31
1051,1.4,32
1052,-1.8,33
1053,1.8,34
1054,,
1055,3.4000000000000004,22
1056,0.3,23
1057,-0.4,24
1058,1.5,25
1059,2.8000000000000003,26
1060,3.7,27
1061,2.9,28
1062,6.1,29
1063,2.4,30
1064,0.1,31
1065,-1.0,32
1066,-0.7,33
1067,2.7,34
1068,3.3000000000000003,35
1069,,
1070,0.2,22
1071,-0.2,23
1072,-0.2,24
1073,,
1074,-0.5,29
1075,,
1076,0.1,27
1077,-0.1,28
1078,0.7000000000000001,29
1079,1.0,30
1080,-0.8,31
1081,0.6,32
1082,-0.1,33
1083,,
1084,0.4,23
1085,6.5,24
1086,0.5,25
1087,4.5,26
1088,6.0,27
1089,4.8,28
1090,6.4,29
1091,,
1092,-0.4,21
1093,2.2,22
1094,2.5,23
1095,5.6,24
1096,6.4,25
1097,5.8,26
1098,4.7,27
1099,2.8,28
1100,3.8,29
1101,,
1102,-0.1,22
1103,,
1104,0.5,23
1105,0.1,24
1106,1.2,25
1107,-1.1,26
1108,,
1109,0.2,25
1110,-0.3,26
1111,,
1112,-1.5,20
1113,-0.3,21
1114,-1.0,22
1115,4.1,23
1116,-1.3,24
1117,1.9,25
1118,4.4,26
1119,3.6,27
1120,3.5,28
1121,5.3,29
1122,3.0,30
1123,1.7,31
1124,-0.7,32
1125,2.8,33
1126,5.6,34
1127,0.8,35
1128,1.0,36
1129,-0.3,37
1130,,
1131,-0.4,23
1132,,
1133,0.6,22
1134,-0.3,23
1135,-0.3,24
1136,-0.5,25
1137,,
1138,-0.1,24
1139,1.4,25
1140,,
1141,-0.19999999999999998,22
1142,0.1,23
1143,-0.2,24
1144,-0.3,25
1145,-0.8,26
1146,,
1147,0.5,26
1148,1.6,27
1149,0.9,28
1150,1.2999999999999998,29
1151,-0.5,30
1152,-1.1,31
1153,,
1154,1.6,21
1155,3.0,22
1156,4.2,23
1157,1.4,24
1158,4.7,25
1159,3.3,26
1160,1.3,27
1161,1.7000000000000002,28
1162,1.6,29
1163,3.3,30
1164,1.1,31
1165,1.0,32
1166,0.7,33
1167,,
1168,0.1,23
1169,-0.8,24
1170,2.7,25
1171,4.0,26
1172,4.2,27
1173,0.9,28
1174,1.0,29
1175,0.3,30
1176,4.1,31
1177,-1.8,32
1178,5.7,33
1179,-0.2,34
1180,0.2,35
1181,,
1182,0.3,25
1183,-0.4,26
1184,-0.3,27
1185,0.0,28
1186,1.2,29
1187,0.1,32
1188,1.2,33
1189,1.5,34
1190,-0.4,35
1191,,
1192,-0.4,25
1193,,
1194,0.1,25
1195,-0.1,26
1196,2.4,27
1197,0.6,28
1198,0.2,29
1199,,
1200,-0.3,24
1201,-1.2,25
1202,,
1203,-0.5,21
1204,0.7,23
1205,,
1206,-0.4,22
1207,-0.4,23
1208,1.0,24
1209,1.2,25
1210,-0.7,26
1211,,
1212,5.1,23
1213,4.6,24
1214,5.5,25
1215,3.5,26
1216,1.5,27
1217,1.6,28
1218,-0.1,29
1219,1.9,30
1220,-1.6,31
1221,,
1222,4.1,22
1223,1.4,23
1224,0.5,24
1225,2.4,25
1226,3.2,26
1227,2.6,27
1228,-1.2,28
1229,-0.4,29
1230,0.9,30
1231,-0.6,31
1232,0.3,32
1233,-0.2,33
1234,,
1235,-0.30000000000000004,23
1236,4.0,24
1237,,
1238,1.4,29
1239,,
1240,0.1,22
1241,,
1242,-0.2,22
1243,-0.5,24
1244,-0.1,25
1245,-0.2,26
1246,-0.2,27
1247,-0.9,28
1248,1.3,29
1249,0.6,30
1250,,
1251,0.1,24
1252,-0.1,25
1253,0.6,26
1254,,
1255,0.4,27
1256,0.3,28
1257,,
1258,-0.3,21
1259,0.1,22
1260,-0.1,23
1261,0.4,24
1262,0.9,25
1263,4.5,26
1264,0.4,27
1265,2.1,28
1266,,
1267,,
1268,-0.1,19
1269,-0.5,21
1270,4.4,22
1271,3.3,23
1272,1.1,24
1273,1.4,25
1274,3.2,26
1275,2.7,27
1276,-1.7,28
1277,-0.1,29
1278,1.5,30
1279,1.4,31
1280,,
1281,,
1282,3.5,21
1283,5.8,22
1284,6.3,23
1285,8.0,24
1286,9.7,25
1287,8.0,26
1288,9.0,27
1289,9.9,28
1290,6.2,29
1291,7.5,30
1292,9.7,31
1293,8.2,32
1294,8.1,33
1295,3.8,34
1296,7.7,35
1297,11.9,36
1298,11.7,37
1299,9.2,38
1300,10.6,39
1301,0.6,40
1302,4.0,41
1303,3.4,42
1304,,
1305,1.5,22
1306,1.2,23
1307,7.0,24
1308,3.8,25
1309,5.7,26
1310,6.1,27
1311,5.6,28
1312,3.8,29
1313,4.0,30
1314,5.9,31
1315,7.2,32
1316,3.5,33
1317,5.7,34
1318,5.1,35
1319,2.6,36
1320,0.5,37
1321,-0.3,38
1322,0.9,39
1323,0.7,40
1324,,
1325,-0.3,23
1326,,
1327,-0.4,25
1328,0.8,26
1329,3.1,27
1330,1.1,28
1331,1.2,29
1332,-0.5,30
1333,-1.0,31
1334,,
1335,0.1,21
1336,0.5,22
1337,-0.3,23
1338,1.3,24
1339,1.2,25
1340,0.8,26
1341,-0.6,27
1342,,
1343,0.4,25
1344,2.3,26
1345,1.5999999999999999,27
1346,0.4,28
1347,-0.8,29
1348,-0.8999999999999999,30
1349,-0.4,31
1350,,
1351,-0.2,24
1352,1.0,25
1353,0.4,26
1354,0.6,27
1355,,
1356,0.1,21
1357,2.2,22
1358,1.1,23
1359,2.4,24
1360,1.4,25
1361,1.4,26
1362,0.5,27
1363,-0.6,28
1364,0.0,29
1365,,
1366,0.4,28
1367,-0.9,29
1368,,
1369,0.6,26
1370,1.1,27
1371,-1.2,28
1372,,
1373,0.0,22
1374,0.5,23
1375,-0.1,24
1376,-0.1,25
1377,0.30000000000000004,26
1378,,
1379,-0.4,22
1380,0.9,23
1381,2.8,24
1382,1.5,25
1383,1.1,26
1384,3.0,27
1385,-1.0,28
1386,0.0,29
1387,,
1388,0.39999999999999997,22
1389,2.3000000000000003,23
1390,1.7999999999999998,24
1391,7.3,25
1392,2.9,26
1393,1.6,27
1394,2.5,28
1395,4.0,29
1396,0.30000000000000004,31
1397,0.19999999999999998,33
1398,,
1399,-0.6,25
1400,-1.1,26
1401,0.9,27
1402,8.6,28
1403,4.6,29
1404,7.6,30
1405,5.8,31
1406,5.2,32
1407,4.4,33
1408,2.5,34
1409,3.4,35
1410,0.3,36
1411,3.4,37
1412,-0.3,38
1413,,
1414,0.0,23
1415,0.0,24
1416,1.6,25
1417,0.6,26
1418,0.4,27
1419,1.7,28
1420,0.7,29
1421,2.4,30
1422,1.5,31
1423,1.1,32
1424,1.9,33
1425,-0.5,34
1426,-0.7000000000000001,35
1427,,
1428,-0.1,21
1429,3.4,22
1430,3.1,23
1431,2.3,24
1432,2.1,25
1433,2.2,26
1434,1.2,27
1435,0.7,28
1436,1.4,29
1437,1.6,30
1438,2.9,31
1439,0.8,32
1440,0.0,33
1441,0.8,34
1442,-0.2,35
1443,0.4,36
1444,2.7,37
1445,1.5,38
1446,0.8,39
1447,-0.1,40
1448,,
1449,-0.4,20
1450,0.3,22
1451,0.0,23
1452,0.9,24
1453,0.6,27
1454,1.4,28
1455,0.8,29
1456,-0.7,30
1457,,
1458,-0.2,26
1459,0.6,27
1460,2.0,28
1461,-0.9,29
1462,-0.29999999999999993,30
1463,,
1464,0.7,23
1465,0.1,24
1466,4.5,25
1467,3.5,26
1468,0.9,27
1469,2.6,28
1470,8.1,29
1471,2.4,30
1472,-0.6000000000000001,31
1473,0.9,32
1474,-1.1,33
1475,-0.3,34
1476,,
1477,0.0,25
1478,-0.5,26
1479,,
1480,0.2,21
1481,-0.8,22
1482,0.2,23
1483,-0.3,25
1484,,
1485,0.0,19
1486,,
1487,-0.2,24
1488,-0.1,26
1489,0.1,27
1490,0.0,28
1491,0.7,29
1492,0.8,30
1493,-0.3,31
1494,0.5,32
1495,0.4,33
1496,1.3,34
1497,0.4,35
1498,-0.1,36
1499,-0.1,37
1500,,
1501,-0.3,21
1502,-0.4,24
1503,,
1504,-0.3,26
1505,-0.2,30
1506,-0.5,31
1507,-0.2,32
1508,-0.2,33
1509,,
1510,0.6,23
1511,0.7,24
1512,2.8,25
1513,0.1,26
1514,-1.5,27
1515,0.0,28
1516,-0.7,29
1517,0.3,30
1518,4.4,31
1519,1.2,32
1520,1.1,33
1521,1.2,34
1522,0.0,35
1523,,
1524,1.7,28
1525,2.3000000000000003,29
1526,-0.8,30
1527,1.0999999999999999,31
1528,-0.3,32
1529,,
1530,-0.1,26
1531,,
1532,0.2,22
1533,2.9,23
1534,4.4,24
1535,6.6,25
1536,6.1,26
1537,5.0,27
1538,8.2,28
1539,6.1,29
1540,5.8,30
1541,4.9,31
1542,4.6,32
1543,1.9,33
1544,4.2,34
1545,2.4,35
1546,,
1547,0.0,23
1548,0.2,24
1549,,
1550,-0.6,24
1551,0.2,25
1552,0.8,28
1553,-0.3,29
1554,0.7,31
1555,-0.4,32
1556,,
1557,1.6,22
1558,0.0,23
1559,0.5,24
1560,0.1,25
1561,-0.4,26
1562,0.0,27
1563,,
1564,0.4,23
1565,0.3,24
1566,0.0,25
1567,0.0,26
1568,-0.9,27
1569,,
1570,2.3,21
1571,,
1572,0.2,24
1573,0.3,25
1574,-0.5,26
1575,2.8,27
1576,5.3,28
1577,5.4,29
1578,2.3000000000000003,30
1579,1.0,31
1580,-0.3,32
1581,0.1,33
1582,1.4,34
1583,-0.4,35
1584,,
1585,0.0,22
1586,0.4,23
1587,6.4,24
1588,6.1,25
1589,6.2,26
1590,5.2,27
1591,5.8,28
1592,5.4,29
1593,6.6,30
1594,3.6,31
1595,3.9,32
1596,2.4,33
1597,2.7,34
1598,3.2,35
1599,1.9,36
1600,1.6,37
1601,-0.5,38
1602,-0.5,40
1603,,
1604,0.09999999999999998,23
1605,2.9,24
1606,5.1,25
1607,4.9,26
1608,4.0,27
1609,4.0,28
1610,1.4,29
1611,3.2,30
1612,2.8,31
1613,3.4,32
1614,1.1,33
1615,2.0,34
1616,-1.0,35
1617,-1.4,36
1618,-1.2,37
1619,-1.1,38
1620,,
1621,-0.3,23
1622,,
1623,-0.5,23
1624,3.3,24
1625,3.7,25
1626,0.1,26
1627,0.4,27
1628,1.0,28
1629,-1.1,29
1630,-1.4,30
1631,,
1632,0.8,24
1633,0.1,25
1634,1.5,28
1635,0.0,30
1636,2.8,31
1637,1.4,32
1638,2.9,33
1639,3.8,34
1640,-0.3,38
1641,,
1642,-0.2,22
1643,0.1,24
1644,-0.2,25
1645,,
1646,0.3,24
1647,-0.1,25
1648,0.2,26
1649,-0.1,27
1650,,
1651,-0.3,27
1652,1.5,28
1653,0.7,29
1654,0.4,30
1655,2.1,31
1656,1.0,32
1657,0.8,33
1658,0.3,34
1659,-0.2,35
1660,,
1661,0.1,24
1662,2.7,25
1663,0.9000000000000001,26
1664,0.4,27
1665,0.9,28
1666,1.4,29
1667,0.0,30
1668,,
1669,-0.2,31
1670,0.2,32
1671,,
1672,-0.2,22
