"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Vicente Padilla","Phillies","9","12","0","27","27","147.0","6.31","4.53","1.35",".277","75.6%","45.6%","14.9%","4.71","5.24","4.68","0.6","964"
"Carl Pavano","Yankees","4","6","0","17","17","100.0","5.04","1.62","1.53",".327","67.8%","50.0%","15.3%","4.77","4.89","4.21","0.6","790"
"Duaner Sanchez","Dodgers","4","7","8","79","0","82.0","7.79","3.95","0.88",".285","75.9%","44.2%","9.9%","3.73","3.98","4.08","0.6","1518"
"Todd Williams","Orioles","5","5","1","72","0","76.1","4.48","3.07","0.59",".269","71.3%","65.2%","10.9%","3.30","4.02","4.00","0.6","805"
"Jason Frasor","Blue Jays","3","5","1","67","0","74.2","7.47","3.38","0.96",".289","77.2%","49.3%","11.9%","3.25","4.00","3.84","0.6","1906"
"Ambiorix Burgos","Royals","3","5","2","59","0","63.1","9.24","4.41","0.85",".316","76.5%","48.9%","9.7%","3.98","3.90","4.02","0.6","3246"
"Aaron Fultz","Phillies","4","0","0","62","0","72.1","6.72","2.86","0.75",".207","81.1%","39.5%","7.8%","2.24","3.77","4.16","0.6","1113"
"Juan Padilla","Mets","3","1","1","24","0","36.1","4.21","3.22","0.00",".205","82.1%","49.6%","0.0%","1.49","3.32","4.92","0.6","2532"
"Victor Santos","Brewers","4","13","0","29","24","141.2","5.65","3.81","1.27",".285","69.0%","41.4%","11.7%","4.57","4.98","4.80","0.6","446"
"D.J. Carrasco","Royals","6","8","0","21","20","114.2","3.85","4.00","0.86",".299","69.8%","53.7%","11.5%","4.79","4.90","4.81","0.5","1666"
"Gil Meche","Mariners","10","8","0","29","26","143.1","5.21","4.52","1.13",".292","66.9%","38.9%","9.4%","5.09","5.04","5.25","0.5","1089"
"Eric Milton","Reds","8","15","0","34","34","186.1","5.94","2.51","1.93",".311","64.6%","32.4%","13.1%","6.47","5.44","4.91","0.5","743"
"Francisco Liriano","Twins","1","2","0","6","4","23.2","12.55","2.66","1.52",".306","53.9%","47.2%","26.7%","5.70","3.32","1.99","0.5","3201"
"Elmer Dessens","Dodgers","1","2","0","28","7","65.2","5.07","2.60","0.82",".266","71.1%","50.0%","9.1%","3.56","3.99","4.19","0.5","317"
"Brandon McCarthy","White Sox","3","2","0","12","10","67.0","6.45","2.28","1.75",".249","81.2%","35.4%","15.1%","4.03","4.96","4.21","0.5","4662"
"Chad Orvella","Devil Rays","3","3","1","37","0","50.0","7.74","4.14","0.72",".289","68.8%","32.7%","5.9%","3.60","3.78","4.62","0.5","5952"
"Matt Miller","Indians","1","0","1","23","0","29.2","6.98","3.03","0.30",".259","86.3%","59.8%","4.8%","1.82","3.22","3.76","0.5","1754"
"Julio Santana","Brewers","3","5","1","41","0","42.0","10.50","4.07","1.29",".272","71.8%","33.6%","11.8%","4.50","3.90","3.72","0.5","496"
"Rick White","Pirates","4","7","2","71","0","75.0","4.80","3.48","0.36",".332","70.7%","53.8%","5.3%","3.72","3.79","4.32","0.5","456"
"Al Leiter","- - -","7","12","0","33","26","142.1","6.13","6.20","0.82",".314","65.5%","42.1%","7.5%","6.13","5.16","5.66","0.5","883"
"Josh Fogg","Pirates","6","11","0","34","28","169.1","4.52","2.82","1.44",".296","68.6%","39.7%","11.9%","5.05","5.13","4.90","0.5","989"
"Miguel Batista","Blue Jays","5","8","31","71","0","74.2","6.51","3.25","1.08",".297","72.6%","46.3%","11.1%","4.10","4.31","4.24","0.5","46"
"Chris Ray","Orioles","1","3","0","41","0","40.2","9.52","3.98","1.11",".271","82.6%","34.2%","10.9%","2.66","3.91","3.87","0.5","6315"
"Ted Lilly","Blue Jays","10","11","0","25","25","126.1","6.84","4.13","1.64",".290","71.4%","36.7%","13.9%","5.56","5.32","4.76","0.5","833"
"Fernando Cabrera","Indians","2","1","0","15","0","30.2","8.51","3.23","0.29",".277","83.3%","34.9%","3.3%","1.47","2.63","3.55","0.5","2105"
"Kerry Wood","Cubs","3","4","0","21","10","66.0","10.50","3.55","1.91",".247","79.5%","33.7%","20.0%","4.23","4.72","3.42","0.5","304"
"Denny Bautista","Royals","2","2","0","7","7","35.2","5.80","4.29","0.50",".293","61.3%","64.0%","7.7%","5.80","4.06","4.33","0.5","1947"
"Horacio Ramirez","Braves","11","9","0","33","32","202.1","3.56","2.98","1.38",".274","73.0%","48.1%","16.1%","4.63","5.24","4.57","0.4","110"
"Wandy Rodriguez","Astros","10","10","0","25","22","128.2","5.60","3.71","1.33",".290","67.3%","45.8%","14.8%","5.53","5.12","4.57","0.4","2586"
"Brendan Donnelly","Angels","9","3","0","66","0","65.1","7.30","2.62","1.24",".271","74.6%","32.8%","10.1%","3.72","4.15","4.24","0.4","1441"
"Justin Speier","Blue Jays","3","2","0","65","0","66.2","7.56","2.03","1.35",".211","88.5%","33.0%","11.0%","2.57","4.10","4.03","0.4","451"
"Geoff Geary","Phillies","2","1","0","40","0","58.0","6.52","3.26","0.78",".275","68.1%","44.1%","8.6%","3.72","3.83","4.09","0.4","1813"
"Jim Mecir","Marlins","1","4","0","52","0","43.1","7.06","3.53","0.42",".294","75.6%","43.1%","5.3%","3.12","3.57","4.18","0.4","930"
"Jack Taschner","Giants","2","0","0","24","0","22.2","7.54","5.16","0.00",".238","82.1%","32.3%","0.0%","1.59","3.06","5.01","0.4","2766"
"Joe Mays","Twins","6","10","0","31","26","156.0","3.40","2.37","1.33",".319","64.3%","46.9%","12.9%","5.65","5.03","4.68","0.4","740"
"Kip Wells","Pirates","8","18","0","33","33","182.0","6.53","4.90","1.14",".290","68.4%","44.7%","12.0%","5.09","5.04","4.85","0.4","1012"
"Roberto Novoa","Cubs","4","5","0","49","0","44.2","9.47","5.04","0.81",".333","75.3%","38.2%","8.5%","4.43","3.76","4.05","0.4","2217"
"Brandon Medders","Diamondbacks","4","1","0","27","0","30.1","9.20","3.26","0.59",".247","89.4%","44.3%","6.9%","1.78","3.02","3.48","0.4","8604"
"Fernando Rodney","Tigers","2","3","9","39","0","44.0","8.59","3.48","1.02",".286","86.3%","38.8%","12.8%","2.86","3.88","3.63","0.4","494"
"Matt Belisle","Reds","4","8","1","60","5","85.2","6.20","2.73","1.16",".321","71.4%","51.4%","14.7%","4.41","4.43","3.97","0.4","1837"
"Dave Williams","Pirates","10","11","0","25","25","138.2","5.71","3.76","1.30",".275","73.7%","37.9%","11.1%","4.41","5.05","4.97","0.4","1013"
"Eric Gagne","Dodgers","1","0","8","14","0","13.1","14.85","2.03","1.35",".308","88.2%","51.9%","20.0%","2.70","2.35","1.43","0.4","650"
"Danys Baez","Devil Rays","5","4","41","67","0","72.1","6.35","3.73","0.87",".271","80.5%","46.1%","9.6%","2.86","4.20","4.33","0.4","367"
"Sean Douglass","Tigers","5","5","0","18","16","87.1","5.67","3.40","1.34",".292","64.3%","42.9%","12.4%","5.56","4.90","4.62","0.4","133"
"Juan Dominguez","Rangers","4","6","0","22","10","70.1","5.76","3.20","1.41",".293","75.9%","43.2%","13.3%","4.22","4.93","4.52","0.4","1796"
"Shigetoshi Hasegawa","Mariners","1","3","0","46","0","66.2","4.05","2.16","0.54",".274","68.0%","39.4%","4.3%","4.19","3.76","4.88","0.4","1082"
"Derek Thompson","Dodgers","0","0","0","4","3","18.0","6.50","5.00","0.00",".314","73.1%","57.1%","0.0%","3.50","3.24","4.01","0.3","2126"
"Luis Ayala","Nationals","8","7","1","68","0","71.0","5.07","1.77","0.89",".301","84.5%","42.6%","9.2%","2.66","4.02","4.21","0.3","1650"
"Matt Guerrier","Twins","0","3","0","43","0","71.2","5.78","3.01","0.75",".286","77.0%","46.9%","7.8%","3.39","3.95","4.35","0.3","2061"
"Salomon Torres","Pirates","5","5","3","78","0","94.2","5.23","3.42","0.67",".242","77.4%","49.8%","7.1%","2.76","4.12","4.59","0.3","1628"
"Brian Meadows","Pirates","3","1","0","65","0","74.2","5.30","2.53","0.96",".300","67.2%","43.4%","9.3%","4.58","4.08","4.27","0.3","998"
"C.J. Wilson","Rangers","1","7","1","24","6","48.0","5.63","3.38","0.94",".352","57.9%","59.9%","15.2%","6.94","4.37","3.97","0.3","3580"
"Julian Tavarez","Cardinals","2","3","4","74","0","65.2","6.44","2.60","0.82",".313","77.4%","48.2%","10.5%","3.43","4.01","4.02","0.3","541"
"Ryan Wagner","Reds","3","2","0","42","0","45.2","7.69","3.35","0.79",".356","61.6%","61.1%","17.4%","6.11","3.83","3.39","0.3","1770"
"Jose Capellan","Brewers","1","1","0","17","0","15.2","8.04","2.87","0.57",".340","77.7%","32.6%","5.3%","2.87","3.02","3.86","0.3","2236"
"D.J. Houlton","Dodgers","6","9","0","35","19","129.0","6.28","3.63","1.47",".305","71.8%","34.1%","11.8%","5.16","5.14","4.92","0.3","3566"
"Mike Stanton","- - -","3","3","0","59","0","42.2","5.70","3.16","0.63",".329","66.9%","41.5%","7.0%","4.64","3.72","4.20","0.3","849"
"John Franco","Astros","0","1","0","31","0","15.0","9.60","5.40","0.00",".451","60.6%","49.0%","0.0%","7.20","2.89","3.90","0.3","874"
"Jon Rauch","Nationals","2","4","0","15","1","30.0","6.90","3.30","0.90",".244","75.5%","25.6%","6.8%","3.60","3.99","4.71","0.3","1475"
"Jorge De La Rosa","Brewers","2","2","0","38","0","42.1","8.93","8.08","0.21",".370","74.5%","49.2%","2.9%","4.46","4.04","4.87","0.3","2047"
"Tim Byrdak","Orioles","0","1","1","41","0","26.2","10.46","7.09","0.34",".338","73.5%","51.4%","4.5%","4.05","3.66","4.31","0.3","1995"
"Chris Bootcheck","Angels","0","1","1","5","2","18.2","3.86","1.93","0.48",".273","74.1%","40.3%","3.7%","3.38","3.50","4.80","0.3","1842"
"Scott Munter","Giants","2","0","0","45","0","38.2","2.56","2.79","0.23",".291","73.6%","61.8%","4.5%","2.56","3.80","4.24","0.3","3470"
"Julio Mateo","Mariners","3","6","0","55","1","88.1","5.30","1.73","1.22",".243","82.4%","31.7%","8.3%","3.06","4.42","4.92","0.3","1087"
"Jonathan Papelbon","Red Sox","3","1","0","17","3","34.0","9.00","4.50","1.06",".322","88.6%","34.8%","10.8%","2.65","4.31","4.29","0.3","5975"
"Kyle Snyder","Royals","1","3","0","13","3","36.0","4.75","2.50","0.75",".382","59.9%","46.0%","6.8%","6.75","3.96","4.57","0.3","1689"
"Chad Bradford","Red Sox","2","1","0","31","0","23.1","3.86","1.54","0.39",".326","75.1%","65.1%","10.0%","3.86","3.62","3.65","0.3","904"
"Kent Mercker","Reds","3","1","4","78","0","61.2","6.57","2.77","1.17",".295","78.9%","40.4%","10.7%","3.65","4.32","4.31","0.3","439"
"Jeremy Affeldt","Royals","0","2","0","49","0","49.2","7.07","5.26","0.54",".329","61.9%","52.8%","7.3%","5.26","3.99","4.34","0.3","583"
"Luis Vizcaino","White Sox","6","5","0","65","0","70.0","5.53","3.73","1.03",".296","80.0%","42.8%","10.1%","3.73","4.61","4.68","0.3","714"
"Ramon Ortiz","Reds","9","11","0","30","30","171.1","5.04","2.68","1.79",".303","71.2%","43.6%","15.6%","5.36","5.49","4.67","0.3","27"
"Brad Hennessey","Giants","5","8","0","21","21","118.1","4.87","3.95","1.14",".290","74.1%","47.4%","12.1%","4.64","5.01","4.80","0.3","3720"
"Randy Flores","Cardinals","3","1","1","50","0","41.2","9.29","2.81","1.08",".291","67.4%","43.0%","12.8%","3.46","3.67","3.40","0.3","1446"
"Mike Gosling","Diamondbacks","0","3","0","13","5","32.1","3.90","5.29","0.56",".319","69.4%","37.4%","5.1%","4.45","4.72","5.58","0.3","2204"
"Jonathan Broxton","Dodgers","1","0","0","14","0","13.2","14.49","7.90","0.00",".394","57.7%","18.2%","0.0%","5.93","2.65","4.27","0.3","4759"
"Jamie Walker","Tigers","4","3","0","66","0","48.2","5.55","2.40","0.92",".278","73.7%","40.0%","7.8%","3.70","4.05","4.53","0.3","502"
"Adam Bernero","Braves","4","3","0","36","0","47.0","7.09","2.30","0.96",".354","60.0%","41.7%","8.8%","6.51","3.85","4.14","0.2","460"
"J.P. Howell","Royals","3","5","0","15","15","72.2","6.69","4.83","1.11",".291","59.8%","54.7%","16.7%","6.19","5.00","4.42","0.2","8245"
"Brian Cooper","Giants","0","1","0","8","1","17.2","3.57","4.08","0.00",".259","73.9%","35.8%","0.0%","3.06","3.59","5.46","0.2","1295"
"Todd Coffey","Reds","4","1","1","57","0","58.0","4.03","1.71","0.78",".362","72.0%","50.2%","8.8%","4.50","4.07","4.31","0.2","2467"
"Jason Davis","Indians","4","2","0","11","4","40.1","7.14","4.46","0.89",".325","73.3%","49.2%","11.4%","4.69","4.43","4.34","0.2","1598"
"Shawn Camp","Royals","1","4","0","29","0","49.0","5.14","2.39","0.73",".363","57.2%","54.9%","7.5%","6.43","3.98","4.41","0.2","1855"
"Eude Brito","Phillies","1","2","0","6","5","22.0","6.14","4.50","0.82",".281","79.5%","45.5%","10.0%","3.68","4.61","4.68","0.2","2514"
"John Halama","- - -","1","4","0","40","4","65.0","5.12","2.35","0.83",".316","62.4%","49.4%","9.1%","5.68","4.19","4.39","0.2","1080"
"Lenny DiNardo","Red Sox","0","1","0","8","1","14.2","9.20","3.07","0.61",".293","72.3%","65.9%","8.3%","1.84","2.88","3.13","0.2","1894"
"Aquilino Lopez","- - -","0","1","0","11","0","16.2","11.88","3.78","1.08",".341","89.1%","33.3%","11.8%","2.16","3.20","3.05","0.2","1671"
"Damaso Marte","White Sox","3","4","4","66","0","45.1","10.72","6.55","0.99",".339","81.1%","38.8%","10.9%","3.77","4.45","4.42","0.2","247"
"Geremi Gonzalez","Red Sox","2","1","0","28","3","56.0","4.50","2.57","1.13",".298","59.6%","38.6%","8.9%","6.11","4.61","4.93","0.2","1711"
"Jason Bergmann","Nationals","2","0","0","15","1","19.2","9.61","5.03","0.46",".260","82.0%","28.6%","4.8%","2.75","3.53","4.34","0.2","4640"
"George Sherrill","Mariners","4","3","0","29","0","19.0","11.37","3.32","1.42",".238","53.6%","41.9%","17.6%","5.21","3.81","2.99","0.2","6291"
"Edwin Jackson","Dodgers","2","2","0","7","6","28.2","4.08","5.34","0.63",".287","58.4%","32.4%","4.3%","6.28","4.90","6.26","0.2","1841"
"Ryan Speier","Rockies","2","1","0","22","0","24.2","3.65","4.74","0.00",".299","70.0%","45.8%","0.0%","3.65","3.91","5.48","0.2","3808"
"Joey Eischen","Nationals","2","1","0","57","0","36.1","7.43","4.71","0.25",".295","78.1%","45.3%","2.9%","3.22","3.79","4.76","0.2","774"
"Brian Shackelford","Reds","1","0","0","37","0","29.2","5.16","2.73","0.61",".224","81.3%","45.3%","5.6%","2.43","4.27","5.06","0.2","2461"
"Russ Springer","Astros","4","4","0","62","0","59.0","8.24","3.20","1.37",".252","64.6%","39.5%","12.2%","4.73","4.39","4.14","0.2","1652"
"LaTroy Hawkins","- - -","2","8","6","66","0","56.1","6.87","3.83","1.12",".295","76.2%","44.3%","10.4%","3.83","4.39","4.41","0.2","729"
"Jeremy Accardo","Giants","1","5","0","28","0","29.2","4.85","2.73","0.61",".250","69.3%","38.9%","5.6%","3.94","3.83","4.63","0.2","6428"
"Steve Stemle","Royals","0","0","0","6","0","10.2","7.59","3.38","0.00",".333","57.1%","66.7%","0.0%","5.06","2.46","3.36","0.2","2518"
"Tim Worrell","- - -","1","2","1","51","0","48.2","7.21","2.22","1.48",".321","69.6%","41.7%","13.1%","4.07","4.42","4.01","0.2","1139"
"John Foster","Braves","4","2","1","62","0","34.2","8.31","4.93","0.78",".255","70.8%","41.5%","9.4%","4.15","4.12","4.26","0.2","86"
"Jason Grilli","Tigers","1","1","0","3","2","16.0","2.81","3.38","0.56",".255","75.3%","45.1%","5.6%","3.38","4.33","5.07","0.2","521"
"Ian Snell","Pirates","1","2","0","15","5","42.0","7.29","5.14","1.07",".304","70.5%","36.5%","9.4%","5.14","4.73","4.93","0.1","2227"
"Giovanni Carrara","Dodgers","7","4","0","72","0","75.2","6.66","4.52","0.71",".268","73.6%","39.8%","6.5%","3.93","4.32","4.96","0.1","643"
"Ryan Jensen","Royals","3","2","0","9","3","25.1","6.39","2.49","1.42",".321","58.1%","29.1%","8.7%","7.11","4.72","5.17","0.1","1117"
"Josh Hancock","Reds","1","0","0","11","0","14.0","3.21","0.64","0.64",".213","75.5%","35.4%","4.3%","1.93","3.45","4.79","0.1","1606"
"Vic Darensbourg","Tigers","1","1","0","22","0","22.1","3.63","2.82","0.81",".282","85.1%","38.5%","6.9%","2.82","4.32","4.95","0.1","516"
"Cal Eldred","Cardinals","1","0","0","31","1","37.0","7.05","4.38","0.73",".296","90.6%","46.6%","8.6%","2.19","4.13","4.38","0.1","1653"
"Mike Myers","Red Sox","3","1","0","65","0","37.1","5.06","3.13","0.72",".241","76.0%","50.0%","9.7%","3.13","4.15","4.25","0.1","68"
"Manny Aybar","Mets","0","0","0","22","0","25.1","9.59","2.49","1.42",".360","65.9%","39.0%","14.8%","6.04","3.89","3.31","0.1","1107"
"Lance Cormier","Diamondbacks","7","3","0","67","0","79.1","7.15","4.88","0.79",".332","67.6%","49.6%","10.8%","5.11","4.39","4.38","0.1","4346"
"Josh Johnson","Marlins","0","0","0","4","1","12.1","7.30","7.30","0.00",".324","77.3%","39.4%","0.0%","3.65","4.07","4.97","0.1","4567"
"David Cortes","Rockies","2","0","2","50","0","52.2","6.15","1.71","1.54",".261","76.5%","33.1%","12.2%","4.10","4.50","4.22","0.1","1798"
"John Koronka","Cubs","1","2","0","4","3","15.2","5.74","4.60","1.15",".304","57.9%","41.1%","9.5%","7.47","4.93","5.12","0.1","2130"
"Dana Eveland","Brewers","1","1","1","27","0","31.2","6.54","5.12","0.57",".373","67.6%","51.0%","8.0%","5.97","4.19","4.46","0.1","5508"
"Dan Miceli","Rockies","1","2","0","19","0","18.1","9.33","6.38","0.49",".346","66.5%","39.2%","5.9%","5.89","3.95","4.52","0.1","1463"
"Jaret Wright","Yankees","5","5","0","13","13","63.2","4.81","4.52","1.13",".329","63.1%","45.2%","11.1%","6.08","5.38","5.30","0.1","415"
"Justin Verlander","Tigers","0","2","0","2","2","11.1","5.56","3.97","0.79",".350","61.2%","46.3%","7.7%","7.15","4.52","4.96","0.1","8700"
"Brad Thompson","Cardinals","4","0","1","40","0","55.0","4.75","2.45","0.82",".238","74.1%","57.2%","11.6%","2.95","4.18","4.08","0.1","4911"
"Aaron Sele","Mariners","6","12","0","21","21","116.0","4.11","3.18","1.40",".318","69.7%","40.1%","11.0%","5.66","5.31","5.25","0.1","34"
"John Parrish","Orioles","1","0","0","14","0","17.1","12.98","8.83","0.52",".419","86.7%","46.5%","8.3%","3.12","3.83","4.03","0.1","160"
"Steve Trachsel","Mets","1","4","0","6","6","37.0","5.84","2.92","1.46",".272","72.1%","41.0%","14.3%","4.14","4.88","4.34","0.1","898"
"Dustin Nippert","Diamondbacks","1","0","0","3","3","14.2","6.75","7.98","0.61",".214","66.4%","48.8%","5.9%","5.52","5.27","5.98","0.1","4426"
"Steve Karsay","- - -","0","1","0","20","0","21.2","5.82","2.91","0.83",".410","59.7%","57.6%","13.3%","7.06","3.90","3.65","0.1","829"
"Pete Walker","Blue Jays","6","6","2","41","4","84.0","4.61","3.54","1.07",".263","81.4%","47.7%","10.0%","3.54","4.79","4.89","0.1","1325"
"Jeff Nelson","Mariners","1","3","1","49","0","36.2","8.35","5.40","0.74",".282","76.2%","34.0%","6.7%","3.93","4.36","4.99","0.1","1092"
"Anthony Reyes","Cardinals","1","1","0","4","1","13.1","8.10","2.70","1.35",".121","83.3%","34.4%","11.8%","2.70","4.07","3.88","0.1","7105"
"Brian Anderson","Royals","1","2","0","6","6","30.2","4.99","1.17","2.05",".305","57.2%","44.5%","16.7%","6.75","5.27","4.19","0.1","44"
"Hideo Nomo","Devil Rays","5","8","0","19","19","100.2","5.27","4.56","1.43",".323","62.2%","30.8%","9.2%","7.24","5.49","5.80","0.1","666"
"Seth Etherton","Athletics","1","1","0","3","3","17.2","5.09","2.55","2.04",".218","52.0%","20.3%","12.9%","6.62","5.68","5.16","0.1","322"
"Kelly Wunsch","Dodgers","1","1","0","45","0","23.2","8.37","5.32","0.76",".277","72.3%","33.3%","8.7%","4.56","4.29","4.53","0.1","259"
"Tim Corcoran","Devil Rays","0","0","0","10","1","22.2","5.16","4.76","0.40",".257","55.6%","40.0%","4.2%","5.96","4.17","5.05","0.1","2351"
"Paul Quantrill","- - -","2","2","0","50","0","69.0","4.70","1.83","1.04",".343","66.8%","41.6%","9.4%","5.35","4.22","4.41","0.1","669"
"Jason Bulger","Diamondbacks","1","0","0","9","0","10.0","8.10","4.50","0.90",".394","73.9%","28.1%","7.7%","5.40","4.02","4.51","0.1","3915"
"Chris Resop","Marlins","2","0","0","15","0","17.0","7.94","4.76","0.53",".389","52.3%","27.3%","4.2%","8.47","3.78","4.97","0.1","3799"
"Vinnie Chulk","Blue Jays","0","1","0","62","0","72.0","4.88","3.25","1.13",".261","75.2%","41.7%","10.1%","3.88","4.69","4.77","0.1","1838"
"Dustin McGowan","Blue Jays","1","3","0","13","7","45.1","6.75","3.38","1.39",".300","61.7%","44.8%","13.5%","6.35","5.12","4.69","0.0","8600"
"Craig Dingman","Tigers","2","3","4","34","0","32.0","6.75","2.53","1.41",".281","78.8%","34.4%","12.2%","3.66","4.49","4.22","0.0","318"
"Ismael Valdez","Marlins","2","2","0","14","7","50.2","4.80","3.91","1.07",".328","71.4%","34.5%","9.0%","5.33","5.09","5.38","0.0","1283"
"Brian Shouse","Rangers","3","2","0","64","0","53.1","5.91","3.04","1.18",".282","58.9%","54.3%","16.7%","5.23","4.60","3.97","0.0","630"
"Ben Weber","Reds","0","0","0","10","0","12.1","5.84","6.57","0.00",".417","63.3%","60.4%","0.0%","8.03","4.16","4.71","0.0","41"
"Mike Gallo","Astros","0","1","0","36","0","20.1","5.31","4.43","0.44",".274","83.9%","47.5%","5.6%","2.66","4.25","4.83","0.0","1759"
"Rich Hill","Cubs","0","2","0","10","4","23.2","7.99","6.46","1.14",".301","49.0%","38.7%","11.1%","9.13","5.17","5.10","0.0","4806"
"Hayden Penn","Orioles","3","2","0","8","8","38.1","4.23","4.93","1.41",".301","63.1%","43.4%","14.0%","6.34","5.76","5.27","0.0","4893"
"Wayne Franklin","Yankees","0","1","0","13","0","12.2","7.11","5.68","0.71",".270","43.0%","37.8%","5.3%","6.39","4.60","5.64","0.0","557"
"Nick Regilio","Rangers","1","2","0","18","0","17.2","7.13","3.57","1.02",".339","73.5%","41.0%","8.7%","4.58","4.27","4.59","0.0","2226"
"Scott Sauerbeck","Indians","1","0","0","58","0","35.2","8.83","4.04","1.01",".316","74.9%","49.5%","15.4%","4.04","4.20","3.75","0.0","1007"
"Scott Williamson","Cubs","0","0","0","17","0","14.1","14.44","3.77","1.88",".387","74.5%","41.9%","30.0%","5.65","4.21","2.45","0.0","361"
"Dae-Sung Koo","Mets","0","0","0","33","0","23.0","9.00","5.09","0.78",".303","73.1%","40.3%","9.1%","3.91","4.11","4.30","0.0","8619"
"Travis Smith","Marlins","0","0","0","12","0","10.2","7.59","4.22","0.84",".432","68.0%","55.3%","10.0%","6.75","3.96","4.03","0.0","1522"
"Will Ohman","Cubs","2","2","0","69","0","43.1","9.35","4.98","1.25",".239","88.9%","52.7%","16.7%","2.91","4.61","3.96","0.0","296"
"Joe Borowski","- - -","1","5","0","43","0","46.1","5.24","2.33","1.55",".219","69.6%","46.5%","15.4%","4.47","4.88","4.18","0.0","267"
"Aaron Rakers","Orioles","1","0","0","10","0","13.2","7.24","1.98","1.98",".211","91.8%","31.7%","14.3%","3.29","4.92","4.19","0.0","2638"
"Jason Christiansen","- - -","6","1","0","68","0","45.2","4.14","3.35","0.79",".307","66.3%","50.3%","8.5%","5.12","4.36","4.64","0.0","1111"
"Ryan Vogelsong","Pirates","2","2","0","44","0","81.1","5.75","4.43","0.55",".292","70.7%","42.8%","5.4%","4.43","4.31","5.07","0.0","1011"
"Kirk Rueter","Giants","2","7","0","20","18","107.1","2.10","3.94","1.01",".295","62.3%","44.0%","8.4%","5.95","5.35","5.73","0.0","1128"
"Joel Peralta","Angels","1","0","0","28","0","34.2","7.79","3.63","1.56",".232","80.4%","33.7%","13.3%","3.89","4.75","4.29","0.0","2332"
"Felix Rodriguez","Yankees","0","0","0","34","0","32.1","5.01","5.57","0.56",".295","70.9%","42.1%","4.8%","5.01","4.75","5.74","0.0","1127"
"Franquelis Osoria","Dodgers","0","2","0","24","0","29.2","4.55","2.43","0.91",".269","71.8%","58.7%","17.6%","3.94","4.44","3.91","0.0","2860"
"Jaime Cerda","Royals","1","4","0","20","0","19.0","8.53","5.21","1.42",".316","64.8%","43.9%","12.5%","6.63","4.91","4.60","0.0","1532"
"Octavio Dotel","Athletics","1","2","7","15","0","15.1","9.39","6.46","1.17",".222","82.4%","23.7%","10.5%","3.52","4.78","4.79","0.0","555"
"Marcos Carvajal","Rockies","0","2","0","39","0","53.0","7.98","3.57","1.36",".293","71.0%","50.6%","16.0%","5.09","4.57","3.91","0.0","3216"
"Royce Ring","Mets","0","2","0","15","0","10.2","6.75","8.44","0.00",".303","70.0%","53.1%","0.0%","5.06","4.33","5.24","0.0","4350"
"Joe Beimel","Devil Rays","0","0","0","7","0","11.0","2.45","3.27","0.82",".326","85.2%","45.5%","6.3%","3.27","4.75","5.57","0.0","979"
"Jonah Bayliss","Royals","0","0","0","11","0","11.2","7.71","3.09","1.54",".167","68.6%","21.9%","10.0%","4.63","5.08","5.21","0.0","4560"
"Kane Davis","Brewers","1","1","0","15","0","16.2","5.94","5.40","1.08",".170","81.4%","41.7%","10.0%","2.70","5.06","5.16","0.0","872"
"Kevin Gregg","Angels","1","2","0","33","2","64.1","7.27","4.06","1.12",".313","71.6%","46.8%","11.6%","5.04","4.51","4.38","0.0","1793"
"Keiichi Yabu","Athletics","4","0","1","40","0","58.0","6.83","4.03","0.93",".326","71.4%","41.8%","10.3%","4.50","4.61","4.64","0.0","8624"
"Dan Kolb","Braves","3","8","11","65","0","57.2","6.09","4.53","0.78",".372","68.3%","52.8%","11.6%","5.93","4.36","4.26","0.0","1257"
"Tommy Phelps","Brewers","0","2","1","29","0","23.1","5.40","4.63","0.77",".303","74.6%","50.0%","10.5%","4.63","4.73","4.74","0.0","1665"
"Steve Schmoll","Dodgers","2","2","3","48","0","46.2","5.59","4.24","0.77",".293","64.8%","44.8%","8.3%","5.01","4.50","4.80","0.0","5495"
"John Grabow","Pirates","2","3","0","63","0","52.0","7.27","4.33","1.04",".272","65.0%","46.9%","12.5%","4.85","4.46","4.24","0.0","1848"
"Craig Breslow","Padres","0","0","0","14","0","16.1","7.71","7.16","0.55",".286","83.3%","46.0%","5.9%","2.20","4.67","5.31","0.0","4363"
"Chris Oxspring","Padres","0","0","0","5","0","12.0","8.25","4.50","1.50",".233","57.4%","35.5%","14.3%","3.75","4.85","4.30","0.0","7232"
"Brian Falkenborg","Padres","0","0","0","10","0","11.0","8.18","4.09","1.64",".405","57.3%","43.6%","16.7%","8.18","4.93","4.07","-0.1","1859"
"Amaury Telemaco","Phillies","0","1","0","7","0","10.2","6.75","3.38","1.69",".111","64.5%","51.7%","18.2%","4.22","5.08","4.07","-0.1","1802"
"Randy Keisler","Reds","2","1","0","24","4","56.0","6.91","4.50","1.61",".300","60.8%","39.4%","13.9%","6.27","5.36","4.81","-0.1","830"
"David Riske","Indians","3","4","1","58","0","72.2","5.94","1.86","1.36",".210","78.5%","41.9%","13.3%","3.10","4.45","4.06","-0.1","402"
"Buddy Groom","- - -","1","1","1","47","0","41.0","4.39","2.63","1.10",".315","74.6%","46.7%","9.3%","4.83","4.73","4.96","-0.1","143"
