"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Justin Duchscherer","Athletics","7","4","5","65","0","85.2","8.93","2.00","0.74",".267","80.6%","43.6%","8.3%","2.21","2.83","3.12","1.9","910"
"Jae Seo","Mets","8","2","0","14","14","90.1","5.88","1.59","0.90",".270","84.8%","37.3%","8.3%","2.59","3.57","3.93","1.9","895"
"Chan Ho Park","- - -","12","8","0","30","29","155.1","6.55","4.64","0.64",".337","65.6%","48.6%","7.5%","5.74","4.22","4.60","1.9","1267"
"Mike Timlin","Red Sox","7","3","13","81","0","80.1","6.61","2.24","0.22",".324","80.8%","44.6%","2.7%","2.24","2.70","3.64","1.8","1187"
"Scott Linebrink","Padres","8","1","1","73","0","73.2","8.55","2.81","0.49",".267","84.3%","38.5%","5.1%","1.83","2.76","3.52","1.8","564"
"Tim Wakefield","Red Sox","16","12","0","33","33","225.1","6.03","2.72","1.40",".258","73.3%","41.4%","11.9%","4.15","4.75","4.53","1.8","219"
"Tim Hudson","Braves","14","9","0","29","29","192.0","5.39","3.05","0.94",".286","78.8%","58.6%","15.9%","3.52","4.33","3.88","1.8","921"
"Ryan Dempster","Cubs","5","3","33","63","6","92.0","8.71","4.79","0.39",".310","77.5%","57.9%","7.4%","3.13","3.38","3.62","1.8","517"
"Joel Pineiro","Mariners","7","11","0","30","30","189.0","5.10","2.67","1.10",".319","66.2%","45.2%","10.9%","5.62","4.45","4.41","1.8","1094"
"Jeff Suppan","Cardinals","16","10","0","32","32","194.1","5.28","2.92","1.11",".291","75.5%","46.3%","11.8%","3.57","4.53","4.37","1.8","633"
"Huston Street","Athletics","5","1","23","67","0","78.1","8.27","2.99","0.34",".246","83.3%","42.9%","3.8%","1.72","2.75","3.65","1.7","8258"
"Adam Eaton","Padres","11","5","0","24","22","128.2","6.99","3.08","0.98",".311","70.3%","40.8%","9.6%","4.27","4.02","4.17","1.7","1029"
"Jason Vargas","Marlins","5","5","0","17","13","73.2","7.21","3.79","0.49",".295","71.7%","31.4%","3.7%","4.03","3.55","4.85","1.7","8044"
"Curt Schilling","Red Sox","8","8","9","32","11","93.1","8.39","2.12","1.16",".371","67.3%","33.6%","9.2%","5.69","3.63","3.88","1.7","73"
"Trevor Hoffman","Padres","1","6","43","60","0","57.2","8.43","1.87","0.47",".288","69.1%","36.9%","4.2%","2.97","2.50","3.52","1.7","1035"
"Kyle Lohse","Twins","9","13","0","31","30","178.2","4.33","2.22","1.11",".311","76.8%","44.2%","10.5%","4.18","4.55","4.57","1.6","739"
"Jose Valverde","Diamondbacks","3","4","15","61","0","66.1","10.18","2.71","0.68",".277","81.8%","38.1%","6.9%","2.44","2.73","3.25","1.6","1726"
"Mark Hendrickson","Devil Rays","11","8","0","31","31","178.1","4.49","2.47","1.21",".321","62.2%","45.3%","11.9%","5.90","4.63","4.44","1.6","1574"
"Bruce Chen","Orioles","13","10","0","34","32","197.1","6.07","2.87","1.51",".259","77.5%","38.0%","13.6%","3.83","4.94","4.47","1.6","769"
"Tomo Ohka","- - -","11","9","0","32","29","180.1","4.89","2.74","1.10",".280","73.5%","39.8%","9.8%","4.04","4.48","4.61","1.6","788"
"Odalis Perez","Dodgers","7","8","0","19","19","108.2","6.13","2.32","1.08",".284","65.7%","44.5%","10.9%","4.56","3.99","3.94","1.6","668"
"Ervin Santana","Angels","12","8","0","23","23","133.2","6.67","3.16","1.14",".296","71.1%","36.6%","9.0%","4.65","4.43","4.72","1.6","3200"
"Victor Zambrano","Mets","7","12","0","31","27","166.1","6.06","4.17","0.65",".297","72.2%","50.0%","7.7%","4.17","4.27","4.63","1.6","1237"
"Kyle Farnsworth","- - -","1","1","16","72","0","70.0","11.19","3.47","0.64",".252","83.6%","42.7%","8.8%","2.19","2.75","2.94","1.5","278"
"Francisco Rodriguez","Angels","2","5","45","66","0","67.1","12.16","4.28","0.94",".255","84.8%","45.0%","12.3%","2.67","3.09","2.91","1.5","1642"
"Chris Reitsma","Braves","3","6","15","76","0","73.1","5.15","1.72","0.37",".306","68.7%","52.8%","4.6%","3.93","2.98","3.67","1.5","348"
"Kelvim Escobar","Angels","3","2","1","16","7","59.2","9.50","3.17","0.60",".270","75.3%","47.1%","6.9%","3.02","2.94","3.41","1.5","1298"
"Casey Fossum","Devil Rays","8","12","0","36","25","162.2","7.08","3.32","1.16",".299","67.7%","38.6%","10.6%","4.92","4.56","4.56","1.5","188"
"Kirk Saarloos","Athletics","10","9","0","29","27","159.2","2.99","3.04","0.62",".288","72.9%","56.6%","8.6%","4.17","4.47","4.68","1.5","1516"
"Scott Eyre","Giants","2","2","0","86","0","68.1","8.56","3.42","0.40",".251","77.2%","36.4%","4.0%","2.63","3.01","3.95","1.5","1300"
"Rudy Seanez","Padres","7","1","0","57","0","60.1","12.53","3.28","0.60",".331","80.1%","37.2%","7.4%","2.69","2.29","2.66","1.5","1279"
"Joaquin Benoit","Rangers","4","4","0","32","9","87.0","8.07","3.93","0.93",".248","72.6%","32.4%","7.5%","3.72","3.95","4.51","1.5","1437"
"Rafael Betancourt","Indians","4","3","1","54","0","67.2","9.71","2.26","0.67",".294","76.1%","33.3%","6.3%","2.79","2.58","3.25","1.5","177"
"Brian Fuentes","Rockies","2","5","31","78","0","74.1","11.02","4.12","0.73",".294","82.5%","38.0%","9.4%","2.91","3.40","3.53","1.5","429"
"Shawn Chacon","- - -","8","10","0","27","24","151.2","4.69","3.92","0.83",".253","79.8%","39.6%","7.4%","3.44","4.76","5.29","1.5","424"
"Kevin Brown","Yankees","4","7","0","13","13","73.1","6.14","2.33","0.61",".385","60.3%","50.8%","6.4%","6.50","3.61","4.19","1.4","642"
"Bob Howry","Indians","7","4","3","79","0","73.0","5.92","1.97","0.49",".215","70.7%","39.1%","4.7%","2.47","3.07","3.97","1.4","237"
"Nate Robertson","Tigers","7","16","0","32","32","196.2","5.58","2.97","1.28",".279","68.6%","49.6%","14.4%","4.48","4.73","4.25","1.4","1620"
"Rick Helling","Brewers","3","1","0","15","7","49.0","7.71","3.31","0.37",".274","81.9%","30.1%","2.9%","2.39","3.06","4.50","1.4","58"
"Francisco Cordero","Rangers","3","1","37","69","0","69.0","10.30","3.91","0.65",".304","76.1%","43.5%","7.1%","3.39","3.15","3.61","1.4","1243"
"Chien-Ming Wang","Yankees","8","5","0","18","17","116.1","3.64","2.48","0.70",".265","67.2%","63.9%","10.5%","4.02","4.20","4.21","1.4","2074"
"Jason Jennings","Rockies","6","9","0","20","20","122.0","5.53","4.57","0.81",".299","68.3%","48.0%","10.3%","5.02","4.61","4.65","1.4","434"
"Neal Cotts","White Sox","4","0","0","69","0","60.1","8.65","4.33","0.15",".237","80.5%","46.1%","1.8%","1.94","2.95","4.02","1.4","1797"
"Aaron Small","Yankees","10","0","0","15","9","76.0","4.38","2.84","0.47",".272","77.3%","43.9%","4.5%","3.20","3.88","4.81","1.3","1477"
"Byung-Hyun Kim","Rockies","5","12","0","40","22","148.0","6.99","4.32","1.03",".309","73.2%","41.5%","9.7%","4.86","4.68","4.82","1.3","61"
"Kris Benson","Mets","10","8","0","28","28","174.1","4.90","2.53","1.24",".260","72.5%","44.0%","11.4%","4.13","4.63","4.51","1.3","982"
"Dustin Hermanson","White Sox","2","4","34","57","0","57.1","5.18","2.67","0.63",".243","80.5%","38.2%","5.6%","2.04","3.72","4.52","1.3","195"
"Orlando Hernandez","White Sox","9","9","1","24","22","128.1","6.38","3.51","1.26",".300","70.2%","39.2%","11.3%","5.12","4.87","4.76","1.3","823"
"Ryan Drese","- - -","7","12","0","23","23","129.1","3.20","3.20","0.56",".324","61.5%","54.6%","6.5%","5.78","4.37","4.87","1.3","379"
"Pedro Astacio","- - -","6","10","0","24","22","126.2","5.54","2.63","1.21",".286","71.5%","41.6%","11.2%","4.69","4.46","4.37","1.3","862"
"Hector Carrasco","Nationals","5","4","2","64","5","88.1","7.64","3.87","0.61",".227","84.6%","42.0%","7.0%","2.04","3.70","4.16","1.3","1240"
"Robinson Tejeda","Phillies","4","3","0","26","13","85.2","7.56","5.36","0.53",".264","75.6%","35.7%","4.9%","3.57","4.16","5.05","1.3","2575"
"Arthur Rhodes","Indians","3","1","0","47","0","43.1","8.93","2.49","0.42",".265","76.4%","40.7%","4.7%","2.08","2.54","3.30","1.2","1097"
"Dave Bush","Blue Jays","5","11","0","25","24","136.1","4.95","1.91","1.32",".279","71.2%","45.7%","12.5%","4.49","4.75","4.46","1.2","4635"
"Al Reyes","Cardinals","4","2","3","65","0","62.2","9.62","2.87","0.72",".224","85.7%","34.5%","6.8%","2.15","3.12","3.69","1.2","1005"
"Derrick Turnbow","Brewers","7","1","39","69","0","67.1","8.55","3.21","0.67",".249","88.1%","50.0%","9.8%","1.74","3.20","3.28","1.2","1694"
"Mike MacDougal","Royals","5","6","21","68","0","70.1","9.21","3.07","0.77",".326","73.1%","56.9%","11.1%","3.33","3.23","3.18","1.2","612"
"Cliff Politte","White Sox","7","1","1","68","0","67.1","7.62","2.81","0.94",".201","90.8%","32.2%","7.4%","2.00","3.75","4.34","1.1","967"
"Michael Wuertz","Cubs","6","2","0","75","0","75.2","10.59","4.76","0.71",".293","69.9%","42.9%","8.1%","3.81","3.28","3.60","1.1","1856"
"Runelvys Hernandez","Royals","8","14","0","29","29","159.2","4.96","3.95","1.01",".294","66.1%","36.2%","7.9%","5.52","4.83","5.34","1.1","1528"
"Dan Wheeler","Astros","2","3","3","71","0","73.1","8.47","2.33","0.86",".242","87.4%","37.2%","8.4%","2.21","3.28","3.60","1.1","120"
"Jorge Sosa","Braves","13","3","0","44","20","134.0","5.71","4.30","0.81",".264","85.1%","35.3%","7.1%","2.55","4.35","4.91","1.1","1228"
"Doug Brocail","Rangers","5","3","1","61","0","73.1","7.49","4.17","0.25",".362","63.9%","49.6%","3.1%","5.52","3.27","4.13","1.1","551"
"Brandon Backe","Astros","10","8","0","26","25","149.1","5.85","4.04","1.15",".283","71.7%","41.1%","10.6%","4.76","4.80","4.81","1.1","1529"
"Woody Williams","Padres","9","12","0","28","28","159.2","5.97","2.87","1.35",".292","70.0%","35.5%","10.9%","4.85","4.66","4.62","1.1","1190"
"Sun-Woo Kim","- - -","6","3","0","24","10","82.2","5.99","2.29","1.09",".318","70.1%","44.6%","10.6%","4.90","4.13","4.13","1.0","197"
"Chad Cordero","Nationals","2","4","47","74","0","74.1","7.39","2.06","1.09",".218","81.4%","35.5%","8.5%","1.82","3.72","4.11","1.0","1816"
"Roberto Hernandez","Mets","8","6","4","67","0","69.2","7.88","3.62","0.65",".267","83.8%","39.2%","6.8%","2.58","3.49","4.03","1.0","605"
"Jay Witasick","- - -","1","5","1","60","0","63.1","10.37","4.12","0.57",".297","75.2%","50.3%","8.3%","2.84","3.19","3.42","1.0","1138"
"Joe Kennedy","- - -","8","13","0","35","24","152.2","5.72","3.77","1.18",".333","63.4%","44.9%","11.7%","6.01","4.85","4.69","1.0","1217"
"Scott Downs","Blue Jays","4","3","0","26","13","94.0","7.18","3.26","1.15",".288","72.1%","53.6%","17.4%","4.31","4.33","3.68","1.0","773"
"Wade Miller","Red Sox","4","4","0","16","16","91.0","6.33","4.65","0.79",".301","69.0%","43.8%","8.4%","4.95","4.40","4.70","1.0","568"
"Aaron Cook","Rockies","7","2","0","13","13","83.1","2.59","1.73","0.86",".303","75.1%","61.7%","13.8%","3.67","4.34","4.05","1.0","1571"
"Mike Hampton","Braves","5","3","0","12","12","69.1","3.50","2.34","0.65",".295","75.3%","51.1%","7.2%","3.50","3.96","4.39","1.0","430"
