"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jeff D'Amico","Brewers","12","7","0","23","23","162.1","5.60","2.55","0.78",".258","79.8%","","","2.66","3.97","","3.3","871"
"Brian Moehler","Tigers","12","9","0","29","29","178.0","5.21","2.02","1.01",".331","69.9%","","","4.50","4.15","","3.3","480"
"Sidney Ponson","Orioles","9","13","0","32","32","222.0","6.16","3.36","1.22",".281","68.7%","","","4.82","4.66","","3.2","161"
"Jeff Weaver","Tigers","11","15","0","31","30","200.0","6.12","2.34","1.17",".289","72.2%","","","4.32","4.47","","3.1","503"
"Elmer Dessens","Reds","11","5","1","40","16","147.1","5.19","2.63","0.61",".321","70.8%","","","4.28","3.80","","3.0","317"
"Shawn Estes","Giants","15","6","0","30","30","190.1","6.43","5.11","0.52",".320","71.1%","","","4.26","4.21","","3.0","873"
"Gabe White","- - -","11","2","5","68","0","84.0","9.00","1.61","0.64",".262","80.2%","","","2.36","2.71","","3.0","360"
"Randy Wolf","Phillies","11","9","0","32","32","206.1","6.98","3.62","1.09",".302","72.9%","","","4.36","4.48","","2.9","976"
"Esteban Loaiza","- - -","10","13","1","34","31","199.1","6.19","2.57","1.31",".313","72.3%","","","4.56","4.70","","2.9","1310"
"Eric Milton","Twins","13","10","0","33","33","200.0","7.20","1.98","1.58",".282","64.3%","","","4.86","4.57","","2.9","743"
"Bryan Rekar","Devil Rays","7","10","0","30","27","173.1","4.93","2.02","1.14",".305","71.2%","","","4.41","4.43","","2.8","625"
"Jim Parque","White Sox","13","6","0","33","32","187.0","5.34","3.42","1.01",".305","71.0%","","","4.28","4.72","","2.8","250"
"Todd Ritchie","Pirates","9","8","0","31","31","187.0","5.97","2.45","1.25",".303","66.9%","","","4.81","4.48","","2.7","253"
"Scott Williamson","Reds","5","8","6","48","10","112.0","10.93","6.03","0.56",".310","78.0%","","","3.29","3.61","","2.7","361"
"Trevor Hoffman","Padres","4","7","43","70","0","72.1","10.58","1.37","0.87",".287","69.1%","","","2.99","2.50","","2.6","1035"
"Rick Helling","Rangers","16","13","0","35","35","217.0","6.06","4.11","1.20",".269","70.9%","","","4.48","5.02","","2.6","58"
"Gil Heredia","Athletics","15","11","0","32","32","198.2","4.58","2.99","1.09",".286","71.1%","","","4.12","4.74","","2.6","1005686"
"Rick Reed","Mets","11","5","0","30","30","184.0","5.92","1.66","1.37",".283","73.5%","","","4.11","4.43","","2.6","750"
"Denny Neagle","- - -","15","9","0","34","33","209.0","6.29","3.49","1.33",".278","74.0%","","","4.52","4.90","","2.5","441"
"John Burkett","Braves","10","6","0","31","22","134.1","7.37","3.42","0.87",".351","69.4%","","","4.89","3.98","","2.5","179"
"Robb Nen","Giants","4","3","41","68","0","66.0","12.55","2.59","0.55",".237","82.1%","","","1.50","2.09","","2.5","1123"
"Keith Foulke","White Sox","3","1","34","72","0","88.0","9.31","2.25","0.92",".252","76.2%","","","2.97","3.21","","2.5","231"
"Orlando Hernandez","Yankees","12","13","0","29","29","195.2","6.49","2.35","1.56",".259","71.1%","","","4.51","4.83","","2.4","823"
"Steve Trachsel","- - -","8","15","0","34","34","200.2","4.93","3.32","1.17",".309","71.1%","","","4.80","4.92","","2.4","898"
"Derek Lowe","Red Sox","4","4","42","74","0","91.1","7.78","2.17","0.59",".311","82.4%","","","2.56","3.05","","2.4","199"
"Kevin Tapani","Cubs","8","12","0","30","30","195.2","6.90","2.16","1.61",".294","70.1%","","","5.01","4.77","","2.3","1012824"
"John Halama","Mariners","14","9","0","30","30","166.2","4.70","3.02","1.03",".327","65.7%","","","5.08","4.62","","2.3","1080"
"Mac Suzuki","Royals","8","10","0","32","29","188.2","6.44","4.48","1.24",".291","75.1%","","","4.34","5.04","","2.3","1485"
"Pat Rapp","Orioles","9","12","0","31","30","174.0","5.48","4.29","0.93",".316","62.5%","","","5.90","4.78","","2.2","1010700"
"Rolando Arrojo","- - -","10","11","0","32","32","172.2","6.46","3.54","1.25",".302","64.5%","","","5.63","4.96","","2.2","174"
"Mark Redman","Twins","12","9","0","32","24","151.1","6.96","2.68","1.31",".315","72.9%","","","4.76","4.43","","2.2","491"
"Garrett Stephenson","Cardinals","16","9","0","32","31","200.1","5.53","2.83","1.39",".281","73.9%","","","4.49","4.97","","2.2","1185"
"Pat Hentgen","Cardinals","15","12","0","33","33","194.1","5.46","4.12","1.11",".291","71.8%","","","4.72","4.95","","2.2","145"
"Hideo Nomo","Tigers","8","12","0","32","31","190.0","8.57","4.22","1.47",".305","75.5%","","","4.74","4.80","","2.1","666"
"Barry Zito","Athletics","7","4","0","14","14","92.2","7.58","4.37","0.58",".237","79.0%","","","2.72","3.81","","2.1","944"
"Brian Bohanon","Rockies","12","10","0","34","26","177.0","4.98","4.02","1.22",".278","71.0%","","","4.68","5.23","","2.1","1001126"
"Steve Sparks","Tigers","7","5","1","20","15","104.0","4.59","2.51","0.61",".286","65.6%","","","4.07","3.94","","2.1","499"
"Armando Reynoso","Diamondbacks","11","12","0","31","30","170.2","4.69","2.74","1.16",".280","65.5%","","","5.27","4.79","","2.1","72"
"Mark Gardner","Giants","11","7","0","30","20","149.0","5.56","2.54","0.97",".290","72.4%","","","4.05","4.24","","2.0","1004529"
"Frank Castillo","Blue Jays","10","5","0","25","24","138.0","6.78","3.65","1.17",".239","77.8%","","","3.59","4.65","","2.0","180"
"Brian Anderson","Diamondbacks","11","7","0","33","32","213.1","4.39","1.65","1.60",".272","77.8%","","","4.05","5.07","","2.0","44"
"Kevin Appier","Athletics","15","11","0","31","31","195.1","5.94","4.70","1.06",".285","72.5%","","","4.52","5.05","","2.0","3"
"Mariano Rivera","Yankees","7","4","36","66","0","75.2","6.90","2.97","0.48",".241","73.6%","","","2.85","3.28","","1.9","844"
"Jeff Suppan","Royals","10","9","0","35","33","217.0","5.31","3.48","1.49",".294","74.8%","","","4.94","5.37","","1.9","633"
"Cal Eldred","White Sox","10","2","0","20","20","112.0","7.79","4.74","0.96",".285","70.6%","","","4.58","4.51","","1.9","1653"
"Albie Lopez","Devil Rays","11","13","2","45","24","185.1","4.66","3.40","1.17",".288","74.0%","","","4.13","4.93","","1.9","102"
"Woody Williams","Padres","10","8","0","23","23","168.0","5.95","2.89","1.23",".253","76.4%","","","3.75","4.61","","1.9","1190"
"Steve Parris","Reds","12","17","0","33","33","192.2","5.47","3.32","1.40",".308","74.2%","","","4.81","5.11","","1.9","1316"
"Kelvim Escobar","Blue Jays","10","15","2","43","24","180.0","7.10","4.25","1.30",".297","65.7%","","","5.35","4.90","","1.9","1298"
"Joe Mays","Twins","7","15","0","31","28","160.1","5.73","3.76","1.12",".325","67.1%","","","5.56","4.77","","1.9","740"
"Steve Karsay","Indians","5","9","20","72","0","76.2","7.75","2.93","0.59",".322","74.0%","","","3.76","3.36","","1.9","829"
"Andy Ashby","- - -","12","13","0","31","31","199.1","4.79","2.75","1.31",".281","65.6%","","","4.92","4.97","","1.9","637"
"Jim Mecir","- - -","10","3","5","63","0","85.0","7.41","3.81","0.42",".275","75.2%","","","2.96","3.44","","1.9","930"
"Jamey Wright","Brewers","7","9","0","26","25","164.2","5.25","4.81","0.66",".288","73.9%","","","4.10","4.85","","1.8","715"
"Jimmy Anderson","Pirates","5","11","0","27","26","144.0","4.56","3.63","0.81",".314","64.9%","","","5.25","4.65","","1.8","977"
"Jamie Moyer","Mariners","13","10","0","26","26","154.0","5.73","3.10","1.29",".301","63.6%","","","5.49","4.81","","1.8","1091"
"Bob Wickman","- - -","3","5","30","69","0","72.2","6.81","3.96","0.12",".286","70.1%","","","3.10","3.16","","1.8","413"
"Jeff Fassero","Red Sox","8","8","0","38","23","130.0","6.72","3.46","1.11",".332","72.7%","","","4.78","4.42","","1.8","279"
"Billy Koch","Blue Jays","9","3","33","68","0","78.2","6.86","2.06","0.69",".300","78.1%","","","2.63","3.36","","1.8","924"
"Carl Pavano","Expos","8","4","0","15","15","97.0","5.94","3.15","0.74",".276","76.0%","","","3.06","4.19","","1.8","790"
"Brian Tollberg","Padres","4","5","0","19","19","118.0","5.80","2.67","0.99",".300","73.1%","","","3.58","4.30","","1.7","1055"
"Bruce Chen","- - -","7","4","0","37","15","134.0","7.52","3.09","1.21",".257","79.3%","","","3.29","4.28","","1.7","769"
"Jeff Tam","Athletics","3","3","3","72","0","85.2","4.83","2.42","0.32",".299","75.6%","","","2.63","3.36","","1.7","940"
"Jose Silva","Pirates","11","9","0","51","19","136.0","6.49","3.31","1.06",".351","65.1%","","","5.56","4.44","","1.7","354"
"Scott Schoeneweis","Angels","7","10","0","27","27","170.0","4.13","3.55","1.11",".284","63.6%","","","5.45","5.11","","1.7","33"
"Scott Elarton","Astros","17","7","0","30","30","192.2","6.12","3.92","1.35",".279","69.1%","","","4.81","5.13","","1.7","426"
"Jason Bere","- - -","12","10","0","31","31","169.1","7.55","4.73","1.33",".306","69.9%","","","5.47","5.04","","1.7","266"
"Felix Rodriguez","Giants","4","2","3","76","0","81.2","10.47","4.63","0.55",".299","78.6%","","","2.64","3.26","","1.7","1127"
"Darren Dreifort","Dodgers","12","9","0","32","32","192.2","7.66","4.06","1.45",".263","73.3%","","","4.16","5.06","","1.6","647"
"Masato Yoshii","Rockies","6","15","0","29","29","167.1","4.73","2.85","1.72",".307","68.2%","","","5.86","5.55","","1.6","807"
"Wade Miller","Astros","6","6","0","16","16","105.0","7.63","3.60","1.20",".295","64.1%","","","5.14","4.46","","1.6","568"
"Mike Stanton","Yankees","2","3","0","69","0","68.0","9.93","3.18","0.66",".341","71.3%","","","4.10","3.03","","1.6","849"
"Arthur Rhodes","Mariners","5","8","0","72","0","69.1","10.00","3.76","0.78",".266","64.3%","","","4.28","3.29","","1.6","1097"
"Matt Clement","Padres","13","17","0","34","34","205.0","7.46","5.49","0.97",".283","67.1%","","","5.14","4.93","","1.6","271"
"Adam Eaton","Padres","7","4","0","22","22","135.0","6.00","4.07","0.93",".288","75.5%","","","4.13","4.55","","1.6","1029"
"Willie Blair","Tigers","10","6","0","47","17","156.2","4.25","2.01","1.15",".306","68.6%","","","4.88","4.56","","1.6","1001033"
"Paul Wilson","Devil Rays","1","4","0","11","7","51.0","7.06","2.82","0.18",".255","67.1%","","","3.35","3.00","","1.6","1234"
"Andy Benes","Cardinals","12","9","0","30","27","166.0","7.43","3.69","1.63",".298","73.6%","","","4.88","5.08","","1.6","1144"
"Julian Tavarez","Rockies","11","5","1","51","12","120.0","4.65","3.98","0.83",".285","68.8%","","","4.43","4.79","","1.5","541"
"Gil Meche","Mariners","4","4","0","15","15","85.2","6.30","4.20","0.74",".267","74.4%","","","3.78","4.23","","1.5","1089"
"Armando Benitez","Mets","4","4","41","76","0","76.0","12.55","4.50","1.18",".193","84.1%","","","2.61","3.56","","1.5","865"
"Jose Mercedes","Orioles","14","7","0","36","20","145.2","4.32","3.95","0.93",".279","74.5%","","","4.02","4.89","","1.5","396"
"Matt Herges","Dodgers","11","3","1","59","4","110.2","6.10","3.25","0.57",".279","75.6%","","","3.17","3.85","","1.5","780"
"Paul Shuey","Indians","4","2","0","57","0","63.2","9.75","4.24","0.57",".287","75.3%","","","3.39","3.34","","1.5","406"
"Shane Reynolds","Astros","7","8","0","22","22","131.0","6.39","3.09","1.37",".307","66.5%","","","5.22","4.87","","1.5","574"
"Dave Veres","Cardinals","3","5","29","71","0","75.2","7.97","2.97","0.71",".286","79.9%","","","2.85","3.62","","1.5","1188"
"Jimmy Haynes","Brewers","12","13","0","33","33","199.1","3.97","4.52","0.95",".304","67.7%","","","5.33","5.23","","1.4","329"
"Dustin Hermanson","Expos","12","14","4","38","30","198.0","4.27","3.41","1.18",".295","65.9%","","","4.77","5.09","","1.4","195"
"Kerry Wood","Cubs","8","7","0","23","23","137.0","8.67","5.72","1.12",".265","71.1%","","","4.80","4.92","","1.4","304"
"Todd Jones","Tigers","2","4","42","67","0","64.0","9.42","3.52","0.84",".355","76.8%","","","3.52","3.48","","1.4","436"
"James Baldwin","White Sox","14","7","0","29","28","178.0","5.87","2.98","1.72",".279","76.3%","","","4.65","5.44","","1.4","1064"
"Dan Reichert","Royals","8","10","2","44","18","153.1","5.52","5.34","0.88",".294","69.7%","","","4.70","5.10","","1.4","624"
"Paul Abbott","Mariners","9","7","0","35","27","179.0","5.03","4.02","1.16",".253","73.8%","","","4.22","5.11","","1.4","1061"
"Jose Jimenez","Rockies","5","2","24","72","0","70.2","5.60","3.57","0.51",".266","75.8%","","","3.18","3.94","","1.3","435"
"John Snyder","Brewers","3","10","0","23","23","127.0","4.89","5.46","0.57",".321","62.2%","","","6.17","4.90","","1.3","1012253"
"Rich Garces","Red Sox","8","1","1","64","0","74.2","8.32","2.77","0.84",".273","76.7%","","","3.25","3.47","","1.3","189"
"Osvaldo Fernandez","Reds","4","3","0","15","14","79.2","4.07","3.50","0.68",".250","73.7%","","","3.62","4.45","","1.3","1004000"
"Esteban Yan","Devil Rays","7","8","0","43","20","137.2","7.26","2.75","1.70",".308","64.7%","","","6.21","5.13","","1.3","1236"
"Jeff Nelson","Yankees","8","4","0","73","0","69.2","9.17","5.81","0.26",".239","76.0%","","","2.45","3.49","","1.3","1092"
"Francisco Cordova","Pirates","6","8","0","18","17","95.0","6.25","3.60","1.14",".314","64.5%","","","5.21","4.65","","1.2","1002623"
"Scott Strickland","Expos","4","3","9","49","0","48.0","9.00","3.00","0.56",".265","72.8%","","","3.00","3.01","","1.2","897"
"Mark Mulder","Athletics","9","10","0","27","27","154.0","5.14","4.03","1.29",".324","67.8%","","","5.44","5.27","","1.2","932"
"Kirk Rueter","Giants","11","9","0","32","31","184.0","3.47","3.03","1.13",".284","74.8%","","","3.96","5.03","","1.2","1128"
"Brad Penny","Marlins","8","7","0","23","22","119.2","6.02","4.51","0.98",".288","68.9%","","","4.81","4.84","","1.2","535"
"Bob Howry","White Sox","2","4","7","65","0","71.0","7.61","3.68","0.76",".253","77.6%","","","3.17","3.94","","1.2","237"
"Hipolito Pichardo","Red Sox","6","3","1","38","1","65.0","5.12","3.60","0.14",".298","69.5%","","","3.46","3.53","","1.2","1472"
"Greg Swindell","Diamondbacks","2","6","1","64","0","76.0","7.58","2.37","0.83",".283","76.6%","","","3.20","3.48","","1.2","76"
"Kelly Wunsch","White Sox","6","3","1","83","0","61.1","7.48","4.26","0.59",".266","78.3%","","","2.93","3.84","","1.1","259"
"Jay Witasick","- - -","6","10","0","33","25","150.0","7.26","4.38","1.44",".326","67.3%","","","5.82","5.20","","1.1","1138"
"LaTroy Hawkins","Twins","2","5","14","66","0","87.2","6.06","3.29","0.72",".288","77.6%","","","3.39","3.96","","1.1","729"
"Russ Ortiz","Giants","14","12","0","33","32","195.2","7.68","5.15","1.29",".294","71.4%","","","5.01","5.11","","1.1","1124"
"Steve Woodard","- - -","4","10","0","40","22","147.2","6.09","2.68","1.58",".323","64.9%","","","5.85","5.08","","1.1","1285"
"Doug Jones","Athletics","4","2","2","54","0","73.1","6.63","2.21","0.74",".335","73.8%","","","3.93","3.54","","1.1","1006552"
"Buddy Groom","Orioles","6","3","4","70","0","59.1","6.67","3.19","0.76",".305","61.0%","","","4.85","3.81","","1.1","143"
"Terry Mulholland","Braves","9","9","1","54","20","156.2","4.48","2.36","1.38",".314","70.2%","","","5.11","4.99","","1.1","665"
"Steve Kline","Expos","1","5","14","83","0","82.1","7.00","2.95","0.87",".324","76.8%","","","3.50","3.94","","1.1","1164"
"Geraldo Guzman","Diamondbacks","5","4","0","13","10","60.1","7.76","3.28","1.19",".331","68.5%","","","5.37","4.33","","1.0","1005159"
"Freddy Garcia","Mariners","9","5","0","21","20","124.1","5.72","4.63","1.16",".255","74.6%","","","3.91","5.13","","1.0","1077"
"Byung-Hyun Kim","Diamondbacks","6","6","14","61","1","70.2","14.14","5.86","1.15",".297","72.0%","","","4.46","3.98","","1.0","61"
"Vicente Padilla","- - -","4","7","2","55","0","65.1","7.03","3.86","0.41",".332","70.3%","","","3.72","3.50","","1.0","964"
"Travis Miller","Twins","2","3","1","67","0","67.0","8.33","4.30","0.54",".364","73.4%","","","3.90","3.54","","1.0","742"
"Cory Lidle","Devil Rays","4","6","0","31","11","96.2","5.77","2.70","1.21",".319","66.5%","","","5.03","4.59","","1.0","926"
"Mike Remlinger","Braves","5","3","12","71","0","72.2","8.92","4.58","0.74",".254","76.2%","","","3.47","3.88","","1.0","111"
"C.J. Nitkowski","Tigers","4","9","0","67","11","109.2","6.65","4.02","1.07",".317","61.7%","","","5.25","4.65","","1.0","570"
"Roberto Hernandez","Devil Rays","4","7","32","68","0","73.1","7.49","2.82","1.10",".306","77.2%","","","3.19","4.13","","1.0","605"
"Mike Venafro","Rangers","3","1","1","77","0","56.1","5.11","3.36","0.32",".328","71.9%","","","3.83","3.79","","1.0","943"
"Bob Wells","Twins","0","7","10","76","0","86.1","7.92","1.56","1.46",".273","75.6%","","","3.65","4.14","","1.0","760"
"David Cone","Yankees","4","14","0","30","29","155.0","6.97","4.76","1.45",".336","64.1%","","","6.91","5.44","","1.0","1680"
"Tim Crabtree","Rangers","2","7","2","68","0","80.1","6.05","3.47","0.78",".306","61.4%","","","5.15","4.15","","1.0","1002715"
"Tony Armas Jr.","Expos","7","9","0","17","17","95.0","5.59","4.74","0.95",".228","69.0%","","","4.36","4.93","","1.0","761"
"Bobby Jones","Mets","11","6","0","27","27","154.2","4.95","2.85","1.45",".285","71.1%","","","5.06","5.18","","1.0","1039"
"Scott Downs","- - -","4","3","0","19","19","97.0","5.85","3.71","1.21",".340","70.6%","","","5.29","4.97","","1.0","773"
"Tomo Ohka","Red Sox","3","6","0","13","12","69.1","5.19","3.38","0.91",".284","82.8%","","","3.12","4.50","","1.0","788"
"Mike Myers","Rockies","0","1","1","78","0","45.1","8.14","4.76","0.40",".204","84.8%","","","1.99","3.62","","0.9","68"
"A.J. Burnett","Marlins","3","7","0","13","13","82.2","6.21","4.79","0.87",".285","69.7%","","","4.79","4.68","","0.9","512"
"Jason Christiansen","- - -","3","8","1","65","0","48.0","9.94","5.06","0.56",".304","62.3%","","","5.06","3.55","","0.9","1111"
"Ricky Bones","Marlins","2","3","0","56","0","77.1","6.87","3.14","0.70",".342","70.1%","","","4.54","3.78","","0.9","1001161"
"Ramon Martinez","Red Sox","10","8","0","27","27","127.2","6.27","4.72","1.13",".311","63.6%","","","6.13","5.16","","0.9","1008193"
"Scott Sullivan","Reds","3","6","3","79","0","106.1","8.13","3.22","1.18",".259","78.7%","","","3.47","4.37","","0.9","357"
"Pete Harnisch","Reds","8","6","0","22","22","131.0","4.88","3.16","1.58",".261","70.4%","","","4.74","5.41","","0.9","1005374"
"Paul Quantrill","Blue Jays","2","5","1","68","0","83.2","5.06","2.69","0.75",".325","70.0%","","","4.52","4.07","","0.9","669"
"Mike Thurman","Expos","4","9","0","17","17","88.1","5.30","4.69","0.92",".338","62.0%","","","6.42","4.95","","0.9","852"
"Matt Morris","Cardinals","3","3","4","31","0","53.0","5.77","2.89","0.51",".294","73.8%","","","3.57","3.66","","0.9","1172"
"Jose Paniagua","Mariners","3","0","5","69","0","80.1","7.95","4.26","0.67",".279","78.4%","","","3.47","4.02","","0.9","483"
"Darren Oliver","Rangers","2","9","0","21","21","108.0","4.08","3.50","1.33",".346","58.4%","","","7.42","5.43","","0.9","206"
"Kent Bottenfield","- - -","8","10","0","29","29","171.2","5.56","4.04","1.57",".282","71.3%","","","5.40","5.57","","0.9","1001226"
"Rod Beck","Red Sox","3","0","0","34","0","40.2","7.75","2.66","0.44",".271","73.0%","","","3.10","3.08","","0.9","1730"
"Jason Isringhausen","Athletics","6","4","33","66","0","69.0","7.43","4.17","0.78",".296","72.7%","","","3.78","4.13","","0.9","1158"
"Terry Adams","Dodgers","6","9","2","66","0","84.1","5.98","4.16","0.64",".275","69.6%","","","3.52","4.12","","0.8","946"
"Joe Slusarski","Astros","2","7","3","54","0","77.0","6.31","2.57","0.94",".300","73.6%","","","4.21","4.06","","0.8","1012071"
"Doug Brocail","Tigers","5","4","0","49","0","50.2","7.28","2.49","0.89",".325","72.3%","","","4.09","3.69","","0.8","551"
"Dave Mlicki","Tigers","6","11","0","24","21","119.1","4.30","3.32","1.28",".296","66.8%","","","5.58","5.21","","0.8","569"
"Octavio Dotel","Astros","3","7","16","50","16","125.0","10.22","4.39","1.87",".309","72.5%","","","5.40","5.20","","0.8","555"
"Omar Olivares","Athletics","4","8","0","21","16","108.0","4.75","5.00","0.83",".332","61.5%","","","6.75","5.14","","0.8","1009771"
"Jerry Spradlin","- - -","4","5","7","58","1","90.0","6.70","3.20","1.10",".326","60.0%","","","6.00","4.43","","0.8","1012353"
"Danny Graves","Reds","10","5","30","66","0","91.1","5.22","4.14","0.79",".259","82.8%","","","2.56","4.59","","0.8","326"
"Mike Fyhrie","Angels","0","0","0","32","0","52.2","7.35","2.56","0.68",".316","86.8%","","","2.39","3.34","","0.8","1447"
"Jesus Sanchez","Marlins","9","12","0","32","32","182.0","6.08","3.76","1.58",".289","68.5%","","","5.34","5.39","","0.8","1476"
"Hideki Irabu","Expos","2","5","0","11","11","54.2","6.91","2.30","1.48",".376","59.2%","","","7.24","4.56","","0.8","1255"
"Todd Stottlemyre","Diamondbacks","9","6","0","18","18","95.1","7.17","3.40","1.70",".290","73.1%","","","4.91","5.19","","0.8","75"
"Pete Schourek","Red Sox","3","10","0","21","21","107.1","5.28","3.19","1.43",".289","67.6%","","","5.11","5.17","","0.8","1011608"
"Rheal Cormier","Red Sox","3","3","0","64","0","68.1","5.66","2.24","0.92",".296","62.8%","","","4.61","3.95","","0.8","952"
"Scott Sauerbeck","Pirates","5","4","1","75","0","75.2","9.87","7.26","0.48",".360","77.0%","","","4.04","4.09","","0.8","1007"
"Dan Miceli","Marlins","6","4","0","45","0","48.2","7.40","3.33","0.74",".285","70.2%","","","4.25","3.73","","0.8","1463"
"Anthony Telford","Expos","5","4","3","64","0","78.1","7.81","2.64","1.15",".295","73.3%","","","3.79","4.13","","0.7","1282"
"Jason Schmidt","Pirates","2","5","0","11","11","63.1","7.25","5.83","0.85",".332","66.9%","","","5.40","4.74","","0.7","1131"
"Brian Meadows","- - -","13","10","0","33","32","196.1","3.62","2.93","1.47",".294","71.6%","","","5.13","5.55","","0.7","998"
"Lou Pote","Angels","1","1","1","32","1","50.1","7.87","3.04","0.72",".322","72.6%","","","3.40","3.43","","0.7","30"
"Omar Daal","- - -","4","19","0","32","28","167.0","5.17","3.88","1.40",".318","63.7%","","","6.14","5.46","","0.7","646"
"Ramon Ortiz","Angels","8","6","0","18","18","111.1","5.90","4.45","1.46",".241","65.7%","","","5.09","5.46","","0.7","27"
"Kip Wells","White Sox","6","9","0","20","20","98.2","6.48","5.29","1.37",".345","66.7%","","","6.02","5.50","","0.7","1012"
"Jose Santiago","Royals","8","6","2","45","0","69.0","5.74","3.39","0.91",".284","74.0%","","","3.91","4.44","","0.7","972"
"Antonio Alfonseca","Marlins","5","6","45","68","0","70.0","6.04","3.09","0.90",".323","74.1%","","","4.24","4.16","","0.7","260"
