,WAR,Age
0,0.0,25
1,-0.2,26
2,0.5,27
3,,
0,-0.3,23
1,-0.1,24
2,1.0,25
3,-0.7,26
4,-0.2,26
5,-0.1,27
6,,
0,0.4,23
1,0.8,24
2,-0.8,25
3,,
0,0.2,24
1,,
0,-0.5,26
1,0.7,27
2,0.9,28
3,,
0,0.1,25
1,0.8,26
2,2.0,27
3,2.0,28
4,1.3,29
5,0.3,30
6,0.1,30
7,-0.5,31
8,,
0,0.4,26
1,0.0,27
2,,
3,-0.2,31
4,,
0,-0.5,24
1,0.0,25
2,-0.9,25
3,,
4,0.1,28
5,0.1,29
6,0.1,29
7,,
0,0.2,23
1,-0.1,24
2,2.9,25
3,,
0,1.5,24
1,,
0,0.6,23
1,-0.7,24
2,2.3,25
3,1.8,26
4,3.9,27
5,2.2,28
6,4.4,29
7,2.9,30
8,0.3,31
9,-0.5,32
10,-1.4,33
11,,
0,0.5,24
1,0.1,25
2,-0.2,25
3,0.6,26
4,4.5,27
5,5.3,28
6,6.0,29
7,1.8,30
8,1.1,31
9,-0.9,32
10,1.2,33
11,1.8,34
12,-0.9,35
13,0.2,35
14,2.2,36
15,0.4,37
16,,
0,-1.1,24
1,0.1,25
2,2.2,26
3,1.1,27
4,1.0,28
5,-0.8,29
6,0.9,30
7,-0.1,31
8,-1.1,32
9,,
0,0.5,22
1,0.4,23
2,0.6,24
3,0.3,25
4,0.2,26
5,0.2,26
6,0.4,27
7,-0.3,28
8,-0.1,28
9,,
10,0.1,30
11,,
0,0.6,24
1,1.6,25
2,1.1,26
3,-0.2,27
4,0.0,28
5,0.8,29
6,0.2,30
7,0.1,30
8,0.2,31
9,,
0,1.6,22
1,0.0,23
2,4.4,24
3,10.2,25
4,3.9,26
5,,
0,1.4,21
1,1.9,22
2,5.1,23
3,-0.1,24
4,1.0,25
5,-0.4,26
6,0.1,26
7,,
0,-0.2,24
1,-0.1,25
2,0.0,26
3,,
0,-0.2,24
1,,
2,0.2,27
3,-0.2,28
4,,
0,0.2,28
1,-0.4,29
2,-0.2,30
3,,
0,0.0,23
1,0.9,24
2,1.0,25
3,-0.7,26
4,0.2,26
5,-0.1,26
6,,
0,0.1,28
1,,
0,0.6,27
1,0.2,27
2,0.0,28
3,,
0,0.6,25
1,1.8,26
2,-1.4,27
3,-0.1,28
4,-1.2,29
5,,
0,-0.2,28
1,0.1,29
2,0.5,30
3,0.3,30
4,,
0,0.1,28
1,0.7,29
2,0.1,30
3,0.3,31
4,,
0,0.4,22
1,0.8,23
2,-0.5,24
3,,
4,-0.3,31
5,-0.5,32
6,,
0,0.7,25
1,-1.0,26
2,0.7,27
3,0.7,28
4,0.4,29
5,,
0,0.0,24
1,,
2,0.1,26
3,0.3,27
4,,
0,0.1,25
1,0.0,26
2,0.0,27
3,0.2,28
4,,
0,-0.1,23
1,1.4,24
2,2.8,25
3,2.5,26
4,6.3,27
5,6.2,28
6,,
7,0.9,30
8,6.3,31
9,6.1,32
10,0.9,33
11,1.3,34
12,0.2,35
13,0.2,36
14,1.6,37
15,,
0,-0.3,24
1,1.1,25
2,1.4,26
3,2.8,27
4,-0.8,28
5,0.4,28
6,1.4,29
7,0.6,30
8,0.4,30
9,-0.2,31
10,,
0,-0.1,23
1,-0.3,24
2,,
3,0.0,27
4,,
5,-0.2,29
6,-0.2,29
7,,
0,-0.2,24
1,,
0,0.1,22
1,-0.1,23
2,1.1,24
3,-0.5,25
4,-0.1,26
5,0.7,26
6,2.7,27
7,1.7,28
8,0.6,28
9,-0.1,29
10,,
0,0.0,24
1,,
0,0.1,22
1,,
2,0.1,25
3,1.9,26
4,,
0,-0.3,20
1,,
0,0.0,24
1,,
2,0.2,26
3,1.1,27
4,,
0,-0.2,22
1,,
2,0.3,24
3,-0.1,25
4,,
0,1.5,25
1,0.9,26
2,0.2,27
3,1.8,28
4,0.3,29
5,-0.1,30
6,0.2,31
7,0.3,31
8,,
0,-1.1,23
1,0.6,24
2,0.0,25
3,0.1,26
4,,
0,0.1,23
1,0.0,24
2,2.6,25
3,2.0,26
4,0.1,27
5,-0.6,28
6,0.9,29
7,-0.2,30
8,1.5,31
9,0.8,32
10,0.2,33
11,-0.3,33
12,-0.6,34
13,,
0,-0.1,22
1,-0.2,23
2,0.6,24
3,-0.2,25
4,0.0,25
5,,
0,0.2,22
1,0.3,23
2,1.2,24
3,2.9,25
4,0.8,26
5,0.6,27
6,,
0,0.0,24
1,0.7,25
2,0.8,26
3,2.3,27
4,0.7,28
5,-0.3,29
6,1.4,29
7,1.1,30
8,,
0,-0.1,25
1,-1.0,26
2,,
0,-0.2,25
1,-0.2,26
2,0.1,26
3,1.0,27
4,,
0,1.2,25
1,-0.1,26
2,-0.1,27
3,0.5,28
4,0.5,29
5,0.2,29
6,-0.2,30
7,0.3,30
8,0.2,31
9,0.4,32
10,0.3,33
11,0.5,34
12,2.0,35
13,,
14,0.3,37
15,0.1,38
16,,
0,1.0,21
1,0.3,22
2,,
3,-0.3,24
4,,
0,0.0,23
1,,
2,1.9,25
3,0.0,26
4,0.1,27
5,,
0,-0.2,26
1,0.5,27
2,1.8,28
3,2.0,29
4,0.3,30
5,1.3,31
6,-0.6,32
7,,
0,0.6,25
1,,
0,1.3,25
1,1.7,26
2,0.1,27
3,2.7,28
4,-1.2,29
5,0.0,30
6,-0.5,31
7,,
0,-0.2,24
1,-0.4,25
2,,
3,-0.6,28
4,-0.2,29
5,,
0,-0.2,27
1,-0.2,28
2,-0.4,29
3,0.5,30
