,WAR,Age
4,0.8,31
5,1.1,32
6,2.1,33
7,-0.4,34
8,-2.2,35
9,,
0,-1.1,23
1,-0.3,24
2,-0.9,25
3,,
4,0.0,28
5,0.0,29
6,,
0,-1.7,25
1,0.4,26
2,1.2,27
3,,
0,0.2,24
1,-1.5,25
2,-0.3,26
3,,
0,0.2,20
1,,
0,0.4,27
1,,
2,0.0,29
3,-0.3,30
4,0.3,31
5,,
0,3.7,25
1,2.1,26
2,0.6,27
3,-0.6,28
4,0.3,29
5,,
6,-0.2,31
7,-0.5,32
8,0.3,32
9,0.2,33
10,,
0,0.5,23
1,,
0,-0.1,23
1,0.4,24
2,-0.1,25
3,2.4,26
4,2.0,27
5,-0.9,28
6,-0.2,29
7,-0.5,29
8,4.7,30
9,0.8,31
10,2.8,32
11,-0.2,32
12,,
0,0.2,24
1,1.6,25
2,-0.4,26
3,1.0,27
4,0.7,28
5,0.7,29
6,,
0,0.2,22
1,-0.3,23
2,,
0,-0.2,23
1,1.9,24
2,0.0,25
3,-0.4,26
4,1.6,27
5,1.0,28
6,,
0,0.3,27
1,-1.2,28
2,0.3,29
3,,
0,-0.3,25
1,,
0,-0.2,21
1,-0.1,22
2,-1.4,23
3,0.1,24
4,-1.2,25
5,-0.4,26
6,0.7,27
7,0.4,28
8,0.9,29
9,1.0,29
10,2.3,30
11,2.4,31
12,1.4,31
13,3.0,32
14,0.2,33
15,-0.5,34
16,,
0,0.4,25
1,-0.4,26
2,,
0,-0.7,22
1,-0.1,23
2,,
0,2.9,23
1,5.6,24
2,8.4,25
3,2.4,26
4,2.4,27
5,3.6,28
6,3.5,29
7,3.2,30
8,3.1,31
9,1.1,32
10,6.8,33
11,1.5,34
12,3.8,35
13,2.2,36
14,3.4,37
15,2.6,38
16,,
17,2.1,40
18,2.3,41
19,,
0,0.7,24
1,1.4,25
2,-2.0,26
3,0.2,27
4,-0.4,28
5,,
0,0.1,32
1,,
0,-0.4,24
1,,
0,3.7,22
1,0.3,23
2,-0.2,24
3,1.7,25
4,3.1,26
5,3.7,27
6,1.7,28
7,1.3,28
8,6.1,29
9,2.3,30
10,0.2,31
11,-0.9,32
12,-0.7,33
13,3.1,34
14,3.7,35
15,,
0,0.0,23
1,0.1,24
2,0.0,25
3,,
0,1.5,23
1,-0.8,24
2,-0.4,25
3,-0.9,26
4,0.3,27
5,,
6,-0.3,29
7,0.2,30
8,1.0,31
9,,
0,-0.4,24
1,1.3,25
2,2.8,26
3,,
4,0.3,28
5,2.7,29
6,,
0,0.1,24
1,,
0,-0.1,22
1,-0.1,23
2,-0.3,24
3,,
4,0.2,26
5,-0.7,27
6,,
0,-0.2,24
1,-0.3,25
2,-0.5,26
3,-0.7,26
4,,
0,-0.1,26
1,0.2,27
2,,
0,-0.1,23
1,,
2,1.1,25
3,-0.3,26
4,2.0,27
5,0.3,28
6,-0.1,29
7,-0.1,30
8,1.9,31
9,0.9,31
10,-0.4,32
11,-0.3,33
12,0.4,33
13,,
0,-0.2,25
1,0.4,26
2,-0.2,27
3,0.8,28
4,0.9,29
5,0.1,30
6,,
0,-0.4,23
1,0.1,24
2,1.7,25
3,-0.1,26
4,1.3,27
5,0.1,28
6,0.9,29
7,-0.1,30
8,-0.1,30
9,-0.7,31
10,,
0,2.2,22
1,1.3,23
2,-0.4,24
3,,
0,-0.4,22
1,1.3,23
2,3.5,24
3,0.1,25
4,0.9,26
5,,
0,0.1,22
1,-0.2,23
2,,
0,0.1,26
1,-0.2,27
2,,
0,-0.3,25
1,-0.3,26
2,,
0,-0.1,25
1,4.0,26
2,-0.3,27
3,1.0,28
4,-1.2,29
5,-0.5,30
6,,
0,0.0,26
1,-0.2,27
2,,
0,-0.2,20
1,,
2,0.0,23
3,1.3,24
4,-0.6,25
5,1.6,26
6,1.2,27
7,0.1,28
8,,
0,0.4,22
1,0.4,23
2,3.4,24
3,1.8,25
4,1.9,26
5,2.7,27
6,1.4,28
7,1.2,28
8,1.0,29
9,1.6,30
10,1.6,31
11,,
0,0.3,26
1,,
0,-1.3,21
1,1.7,22
2,-0.7,23
3,0.1,24
4,-0.5,25
5,0.6,26
6,2.3,27
7,1.7,28
8,-0.6,29
9,0.6,30
10,2.5,31
11,2.7,32
12,0.4,33
13,-0.1,34
14,1.0,35
15,0.1,36
16,,
17,0.5,38
18,0.9,38
19,1.4,39
20,1.6,40
21,0.1,41
22,0.1,41
23,,
0,-0.4,26
1,,
2,-1.0,28
3,,
4,1.5,30
5,,
0,0.0,25
1,-0.3,26
2,,
0,-0.2,27
1,0.3,28
2,-0.7,29
3,,
4,-0.1,32
5,0.1,32
6,,
0,-0.4,24
1,-0.1,25
2,-0.5,26
3,0.4,27
4,,
0,0.2,25
1,-0.1,26
2,,
0,-0.9,27
1,-0.3,28
2,0.3,29
3,,
0,-0.1,26
1,1.3,27
2,,
0,1.5,24
1,-1.0,25
2,-0.2,26
3,-0.7,27
4,,
0,3.4,22
1,4.5,23
