,WAR Delta,Age,Previous War
218,-4.9,26.0,3.9
219,1.1,27.0,-1.0
220,0.19999999999999998,28.0,0.1
221,1.7,29.0,0.3
222,0.20000000000000018,30.0,2.0
223,1.4,31.0,2.2
224,-3.9,32.0,3.6
225,1.1,33.0,-0.3
226,-0.9,29.0,-0.1
227,0.30000000000000004,32.0,0.7
228,-0.6,33.0,1.0
229,-0.5,34.0,0.4
230,0.2,35.0,-0.1
231,0.2,36.0,-0.2
232,-0.6,26.0,0.1
233,0.5,27.0,-0.5
234,0.0,28.0,0.0
235,0.1,29.0,0.0
236,-0.2,30.0,0.1
237,0.1,31.0,-0.1
238,-0.1,32.0,0.0
239,-1.4,25.0,0.8
240,0.7,26.0,-0.6
241,-0.30000000000000004,27.0,0.1
242,-0.2,26.0,-0.2
243,2.1,27.0,-0.4
244,-2.4,28.0,1.7
245,1.5,29.0,-0.7
246,-0.8,30.0,0.8
247,0.8,31.0,0.0
248,-0.9,32.0,0.8
249,2.4,33.0,-0.1
250,-2.1999999999999997,34.0,2.3
251,0.6,35.0,-0.6
252,0.1,26.0,-0.2
253,0.1,27.0,-0.1
254,0.0,26.0,0.0
255,0.0,27.0,0.0
256,0.0,28.0,0.0
257,-1.5,24.0,0.1
258,2.5999999999999996,25.0,-1.4
259,1.4000000000000001,26.0,1.2
260,-1.6,27.0,2.6
261,-0.8,28.0,1.0
262,0.09999999999999998,29.0,0.5
263,-0.1,30.0,-0.1
264,-0.5,31.0,0.3
265,-0.2,32.0,-0.2
266,3.6999999999999997,20.0,0.2
267,-0.5,21.0,3.9
268,-2.5999999999999996,22.0,3.4
269,1.2,23.0,0.8
270,1.6,24.0,2.0
271,6.0,25.0,3.6
272,-6.3999999999999995,26.0,9.6
273,2.2,27.0,3.2
274,-1.6000000000000005,28.0,5.4
275,1.7999999999999998,29.0,3.8
276,-2.3,30.0,5.6
277,4.5,31.0,3.3
278,-2.2,32.0,7.8
279,1.6000000000000005,33.0,5.6
280,-1.5,34.0,7.2
281,0.5,35.0,5.7
282,-1.7999999999999998,36.0,6.2
283,2.3,37.0,4.4
284,-2.9000000000000004,38.0,6.7
285,-2.0999999999999996,39.0,3.8
286,1.2,24.0,-0.9
287,-0.7,25.0,0.3
288,2.0,26.0,-0.4
289,-1.7000000000000002,27.0,1.6
290,-0.7000000000000001,28.0,-0.1
291,0.7000000000000001,29.0,-0.8
292,0.0,30.0,-0.1
293,-0.5,23.0,-0.1
294,3.6,24.0,-0.6
295,-0.5,25.0,3.0
296,1.1,26.0,2.5
297,3.3000000000000003,27.0,3.6
298,-2.5,28.0,6.9
299,2.5,29.0,4.4
300,-3.9000000000000004,30.0,6.9
301,3.0999999999999996,31.0,0.7
302,0.6000000000000005,32.0,3.8
303,0.1999999999999993,33.0,4.4
304,-2.6999999999999997,34.0,4.6
305,-2.9,35.0,1.9
306,0.7,36.0,-1.0
307,-0.1,27.0,0.2
308,-0.2,28.0,0.1
309,0.8999999999999999,29.0,2.2
310,-1.8,30.0,3.1
311,-2.9000000000000004,31.0,1.3
312,0.0,31.0,-0.3
313,0.4,32.0,-0.3
314,-0.30000000000000004,33.0,0.1
315,-0.3,34.0,-0.2
316,0.09999999999999998,35.0,-0.5
317,0.7,36.0,-0.4
318,-0.8999999999999999,37.0,0.3
319,0.39999999999999997,38.0,-0.6
320,-0.09999999999999998,39.0,-0.2
321,-0.5,25.0,0.3
322,-0.09999999999999998,26.0,-0.2
323,1.1,27.0,-0.3
324,0.5999999999999999,28.0,0.8
325,-1.5999999999999999,29.0,1.4
326,0.8,30.0,-0.2
327,-0.39999999999999997,31.0,0.6
328,-0.8,32.0,0.2
329,0.7,33.0,-0.6
330,-0.2,34.0,0.1
331,-0.5,23.0,0.6
332,5.0,24.0,0.1
333,-2.8999999999999995,25.0,5.1
334,-1.6,26.0,2.2
335,1.5,27.0,0.6
336,-2.1,28.0,2.1
337,1.0,29.0,0.0
338,1.0,30.0,1.0
339,-0.7,31.0,0.7
340,1.4,32.0,0.0
341,0.1,26.0,0.0
342,2.0,23.0,2.0
343,3.3,24.0,4.0
344,1.7999999999999998,25.0,7.3
345,-0.2,23.0,0.0
346,2.9000000000000004,24.0,-0.2
347,-2.9000000000000004,25.0,2.7
348,0.0,26.0,-0.2
349,-0.8,27.0,-0.2
350,-0.5,28.0,-1.0
351,0.30000000000000004,29.0,-1.5
352,0.6,30.0,-1.2
353,-0.4,23.0,-0.1
354,0.7,24.0,-0.5
355,-0.7,25.0,0.2
356,3.5,26.0,-0.5
357,-2.7,27.0,3.0
358,1.2,28.0,0.3
359,-0.5,29.0,1.5
360,-0.3,30.0,0.6
361,0.3,31.0,0.3
362,0.20000000000000007,32.0,0.6
363,-0.20000000000000007,33.0,0.8
364,-1.2,34.0,0.6
365,0.1,35.0,-0.2
366,1.1,26.0,-0.1
367,-0.5,30.0,0.5
368,0.9,22.0,-0.1
369,1.4000000000000001,23.0,0.8
370,0.0,24.0,2.2
371,-1.6,25.0,2.2
372,0.7000000000000001,26.0,0.6
373,-0.6000000000000001,27.0,1.3
374,1.3,28.0,0.7
375,-1.9,29.0,2.0
376,1.0999999999999999,30.0,0.1
377,-1.2,31.0,1.2
378,1.8,32.0,-0.2
379,-2.1,33.0,1.6
380,0.7999999999999998,24.0,2.0
381,-2.5,25.0,2.8
382,-0.8,26.0,0.3
383,7.8,27.0,-0.5
384,-1.0,28.0,7.3
385,-2.2,29.0,6.3
386,2.0,30.0,4.1
387,-3.4999999999999996,31.0,6.1
388,-1.9000000000000001,32.0,2.6
389,-0.8999999999999999,33.0,0.7
390,2.3000000000000003,34.0,-0.2
391,-0.6000000000000001,35.0,2.1
392,0.19999999999999998,28.0,-0.3
393,0.39999999999999997,24.0,-0.7
394,-0.7000000000000001,26.0,-0.1
395,0.9,27.0,-0.8
396,0.1,28.0,0.1
397,-0.4,29.0,0.2
398,0.4,30.0,-0.2
399,0.2,31.0,0.2
400,-0.10000000000000003,32.0,0.4
401,-0.3,33.0,0.3
402,2.4,24.0,0.0
403,-2.6999999999999997,25.0,2.4
404,-1.5,26.0,-0.3
405,3.8,27.0,-1.8
406,0.3999999999999999,28.0,2.0
407,-1.4,29.0,2.4
408,1.6,30.0,-0.5
409,1.7,25.0,-0.2
410,-1.5,26.0,1.5
411,0.2,27.0,0.0
412,0.4,28.0,-0.2
413,-0.30000000000000004,29.0,0.2
414,-0.7000000000000001,30.0,-0.1
415,0.30000000000000004,31.0,-0.1
416,-0.40000000000000013,24.0,1.6
417,3.3999999999999995,25.0,1.2
418,1.0,26.0,4.6
419,0.3000000000000007,27.0,5.6
420,-4.4,28.0,5.9
421,3.9,29.0,-0.6
422,-5.199999999999999,30.0,3.3
423,6.699999999999999,31.0,-1.9
424,-3.4,32.0,4.8
425,-0.6000000000000001,33.0,0.9
426,-1.6,34.0,0.3
427,-0.10000000000000003,19.0,-0.3
428,9.8,20.0,-0.4
429,-3.7,21.0,9.4
430,2.8,22.0,5.7
431,-3.7,23.0,8.5
432,5.6000000000000005,24.0,4.8
433,-2.0999999999999996,25.0,10.4
434,0.5,26.0,8.3
435,-0.40000000000000036,27.0,8.8
436,-0.8000000000000007,28.0,8.4
437,1.8000000000000007,29.0,7.6
438,-4.9,30.0,9.4
439,4.9,31.0,4.5
440,-2.6000000000000005,32.0,9.4
441,-2.5999999999999996,33.0,6.8
442,0.0,34.0,4.2
443,-0.20000000000000018,35.0,4.2
444,-1.7999999999999998,36.0,4.0
445,-2.2,37.0,2.2
446,-4.2,40.0,3.0
447,-0.4,24.0,0.3
448,-0.4,25.0,-0.1
449,0.2,26.0,-0.5
450,0.0,27.0,-0.3
451,0.19999999999999998,28.0,-0.3
452,0.8,22.0,-0.4
453,2.8000000000000003,23.0,0.4
454,0.4,23.0,-0.4
455,-0.5,24.0,0.3
456,2.0,25.0,-0.2
457,-2.2,26.0,1.8
458,-0.19999999999999996,27.0,-0.4
459,-0.6,28.0,-0.6
460,-1.2000000000000002,22.0,0.1
461,2.5,23.0,-1.1
462,-2.9,24.0,1.4
463,2.6,25.0,-1.5
464,0.5,26.0,1.1
465,0.3999999999999999,27.0,1.6
466,-1.5,28.0,2.0
467,-0.7,29.0,0.5
468,0.0,26.0,-0.4
469,0.7,27.0,-0.4
470,-0.4,24.0,-0.1
471,0.5,25.0,-0.5
472,4.9,26.0,0.0
473,0.5,27.0,4.9
474,-3.4000000000000004,28.0,5.4
475,-0.30000000000000004,29.0,2.0
476,4.3999999999999995,30.0,1.7
477,-1.7999999999999998,31.0,6.1
478,-2.3,32.0,4.3
479,-3.6,33.0,2.0
480,2.4000000000000004,34.0,-1.6
481,-0.8,35.0,0.8
482,1.9,36.0,0.0
483,-0.9999999999999999,37.0,1.9
484,-3.3,38.0,2.1
485,-0.4,25.0,-0.4
486,1.0,26.0,-0.8
487,2.3,26.0,0.1
488,0.0,27.0,2.4
489,0.30000000000000027,28.0,2.4
490,-3.1,29.0,2.7
491,-0.10000000000000009,30.0,-0.7
492,0.9,22.0,-0.5
493,2.0,23.0,0.4
494,-0.09999999999999998,23.0,-0.4
495,0.5,24.0,-0.5
496,0.6,25.0,0.0
497,-0.3,26.0,0.6
498,0.0,27.0,-0.1
499,-1.2999999999999998,25.0,2.4
500,1.1,26.0,1.1
501,0.7999999999999998,27.0,2.2
502,-1.1,28.0,3.0
503,0.20000000000000018,29.0,1.9
504,1.4,30.0,2.1
505,-0.6000000000000001,31.0,3.5
506,-2.9,32.0,2.9
507,2.7,33.0,0.0
508,-2.9000000000000004,34.0,2.7
509,0.1,35.0,-0.2
510,2.9,23.0,2.9
511,-3.1999999999999997,24.0,5.8
512,1.9,25.0,2.6
513,-0.09999999999999964,26.0,4.5
514,3.3999999999999995,27.0,4.4
515,-1.5,28.0,7.8
516,-4.4,29.0,6.3
517,-1.3,21.0,0.8
518,0.8,22.0,-0.5
519,0.2,26.0,0.0
520,0.0,27.0,0.2
521,1.4,31.0,0.1
522,-2.0,32.0,1.5
523,0.09999999999999998,33.0,-0.5
524,-0.1,25.0,0.2
525,2.1999999999999997,26.0,0.1
526,3.4000000000000004,27.0,2.3
527,-3.7,28.0,5.7
528,-0.5,29.0,2.0
529,-2.3,30.0,1.5
530,0.5,31.0,-0.8
531,3.8,32.0,-0.3
532,-1.5,33.0,3.5
533,-0.8999999999999999,34.0,2.0
534,3.1,35.0,1.1
535,-0.40000000000000036,36.0,4.2
536,1.2000000000000002,37.0,3.8
537,-1.3,40.0,1.2
538,-1.0,41.0,0.2
539,1.8,42.0,-0.8
540,-0.9,43.0,1.0
541,2.0999999999999996,22.0,0.8
542,1.6,23.0,2.9
543,-2.7,24.0,4.5
544,-0.9,26.0,0.4
545,0.6,27.0,-0.5
546,0.30000000000000004,25.0,-0.2
547,-0.7,26.0,0.1
548,0.6,27.0,-0.6
549,0.0,27.0,0.0
550,1.5,23.0,2.3
551,1.6000000000000005,24.0,3.8
552,1.5,25.0,5.4
553,0.8999999999999995,26.0,6.9
554,-1.3999999999999995,27.0,7.8
555,-1.3000000000000007,28.0,6.4
556,-5.3999999999999995,29.0,5.1
557,3.3,30.0,-0.3
558,-1.1,31.0,3.0
559,0.7000000000000001,32.0,0.9
560,0.09999999999999998,25.0,-0.3
561,0.30000000000000004,26.0,-0.2
562,0.5,27.0,0.1
563,0.09999999999999998,28.0,0.6
564,0.0,29.0,0.7
565,-0.19999999999999996,30.0,0.7
566,-1.3,31.0,0.5
567,0.7000000000000001,32.0,-0.8
568,0.3,24.0,-0.5
569,0.4,25.0,-0.2
570,-0.6,25.0,0.7
571,0.0,26.0,0.1
572,-0.30000000000000004,27.0,0.1
573,-0.09999999999999998,28.0,-0.2
574,-0.5,24.0,0.3
575,3.1999999999999997,20.0,0.1
576,4.1000000000000005,21.0,3.3
577,-0.3000000000000007,22.0,7.4
578,1.0999999999999996,23.0,7.1
579,-3.299999999999999,24.0,8.2
580,1.5999999999999996,25.0,4.9
581,-1.5999999999999996,26.0,6.5
582,-1.7000000000000002,27.0,4.9
583,3.5,28.0,3.2
584,-1.1000000000000005,29.0,6.7
585,-2.5999999999999996,30.0,5.6
586,-4.6,31.0,3.0
587,1.9000000000000001,32.0,-1.6
588,1.5999999999999999,33.0,0.3
589,-0.9999999999999999,34.0,1.9
590,-0.7,35.0,0.9
591,0.0,24.0,-0.1
592,0.2,25.0,-0.1
593,-0.1,26.0,0.0
594,0.2,27.0,-0.1
595,0.19999999999999998,28.0,0.1
596,-0.7,29.0,0.3
597,0.2,30.0,-0.4
598,0.2,31.0,-0.2
599,0.0,32.0,0.0
600,0.2,33.0,-0.1
601,-0.2,34.0,0.1
602,-0.1,35.0,-0.1
603,0.2,36.0,-0.2
604,-0.5,22.0,0.2
605,-0.10000000000000003,23.0,-0.3
606,0.6000000000000001,24.0,-0.4
607,-0.30000000000000004,25.0,0.2
608,0.0,26.0,-0.1
609,0.0,27.0,-0.1
610,0.0,28.0,-0.1
611,0.5,29.0,-0.1
612,0.0,30.0,0.4
613,-0.30000000000000004,31.0,0.4
614,-0.4,32.0,0.1
615,0.3,33.0,-0.3
616,0.3,34.0,0.0
617,1.0,26.0,-0.7
618,1.5,27.0,0.3
619,-1.6,28.0,1.8
620,-0.6000000000000001,29.0,0.2
621,0.0,30.0,0.1
622,0.19999999999999998,31.0,0.1
623,-1.6,32.0,0.3
624,0.6000000000000001,33.0,-1.3
625,1.3,27.0,-1.2
626,-0.2,28.0,0.1
627,-0.5,24.0,0.1
628,3.0999999999999996,25.0,-0.7
629,-3.7,26.0,2.4
630,1.1,27.0,-1.3
631,0.1,23.0,0.0
632,-0.2,24.0,0.1
633,2.3,22.0,-1.4
634,-1.1,23.0,0.9
635,-0.09999999999999998,24.0,-0.2
636,-0.2,25.0,-0.3
637,1.0,26.0,-0.5
638,-0.5,26.0,0.6
639,-1.0,27.0,0.1
640,1.1,28.0,-0.9
641,-0.30000000000000004,29.0,0.2
642,0.1,27.0,-0.1
643,-0.1,28.0,0.0
644,0.0,29.0,-0.1
645,0.2,30.0,-0.1
646,-0.1,31.0,0.1
647,0.1,32.0,0.0
648,-0.7,33.0,0.1
649,0.8999999999999999,34.0,-0.6
650,-0.4,35.0,0.3
651,0.1,36.0,-0.1
652,0.0,37.0,0.0
653,0.0,38.0,0.0
654,-0.1,41.0,0.1
655,-0.2,28.0,0.1
656,-0.30000000000000004,29.0,-0.1
657,1.1,30.0,-0.4
658,-0.6,31.0,0.7
659,0.5,25.0,-0.3
660,0.09999999999999998,26.0,0.2
661,-1.4000000000000001,27.0,0.3
662,0.8,28.0,-1.1
663,-0.39999999999999997,29.0,-0.3
664,1.0,30.0,-0.7
665,-1.0,27.0,0.2
666,0.30000000000000004,35.0,-0.1
667,0.39999999999999997,24.0,0.2
668,1.9,25.0,0.6
669,-1.5,26.0,2.5
670,-1.5,27.0,1.0
671,-1.0,28.0,-0.5
672,1.4,29.0,-1.5
673,-0.1,30.0,-0.1
674,-0.49999999999999994,31.0,-0.2
675,0.1,26.0,-0.2
676,0.2,27.0,-0.1
677,-0.7999999999999999,28.0,0.1
678,0.6,29.0,-0.7
679,-0.4,30.0,-0.1
680,1.1,31.0,-0.5
681,0.5,25.0,0.1
682,-0.09999999999999998,26.0,0.6
683,3.5,27.0,0.5
684,1.2999999999999998,28.0,4.0
685,-4.3,29.0,5.3
686,3.2,30.0,1.0
687,-3.3000000000000003,31.0,4.2
688,0.4999999999999999,32.0,0.9
689,-3.2,33.0,1.4
690,3.6,34.0,-1.8
691,0.3,23.0,-0.3
692,-0.2,24.0,0.0
693,0.0,25.0,-0.2
694,-0.09999999999999998,26.0,-0.2
695,0.3,27.0,-0.3
696,-0.1,28.0,0.0
697,0.1,29.0,-0.1
698,0.1,30.0,0.0
699,-0.2,31.0,0.1
700,0.0,32.0,-0.1
701,0.1,33.0,-0.1
702,-0.4,34.0,0.0
703,0.0,35.0,-0.4
704,-0.4,23.0,0.2
705,0.0,24.0,-0.2
706,-0.30000000000000004,28.0,0.1
707,0.7000000000000001,29.0,0.1
708,0.19999999999999996,30.0,0.8
709,-1.8,31.0,1.0
710,1.4,32.0,-0.8
711,-0.7,33.0,0.6
712,6.1,24.0,0.4
713,-6.0,25.0,6.5
714,4.0,26.0,0.5
715,1.5,27.0,4.5
716,-1.2000000000000002,28.0,6.0
717,1.6000000000000005,29.0,4.8
718,2.6,22.0,-0.4
719,0.2999999999999998,23.0,2.2
720,3.0999999999999996,24.0,2.5
721,0.8000000000000007,25.0,5.6
722,-0.6000000000000005,26.0,6.4
723,-1.0999999999999996,27.0,5.8
724,-1.9000000000000004,28.0,4.7
725,1.0,29.0,2.8
726,-0.4,24.0,0.5
727,1.0999999999999999,25.0,0.1
728,-2.3,26.0,1.2
729,-0.5,26.0,0.2
730,1.2,21.0,-1.5
731,-0.7,22.0,-0.3
732,5.1,23.0,-1.0
733,-5.3999999999999995,24.0,4.1
734,2.6,25.0,-1.3
735,3.8000000000000003,26.0,0.6
736,-0.8000000000000003,27.0,4.4
737,-0.10000000000000009,28.0,3.6
738,1.7999999999999998,29.0,3.5
739,-2.3,30.0,5.3
740,-1.3,31.0,3.0
741,-2.4,32.0,1.7
742,3.5,33.0,-0.7
743,2.8,34.0,2.8
744,-4.8,35.0,5.6
745,0.19999999999999996,36.0,0.8
746,-1.0,37.0,1.0
747,-0.8999999999999999,23.0,0.6
748,0.0,24.0,-0.3
749,-0.2,25.0,-0.3
750,1.5,25.0,-0.1
751,0.0,23.0,0.1
752,-0.1,24.0,0.1
753,0.0,25.0,0.0
754,0.1,26.0,0.0
755,1.1,27.0,0.5
756,-0.7000000000000001,28.0,1.6
757,0.4999999999999999,29.0,0.9
758,-0.4,30.0,-0.1
759,-0.6000000000000001,31.0,-0.5
760,1.4,22.0,1.6
761,1.2000000000000002,23.0,3.0
762,-2.8000000000000003,24.0,4.2
763,3.3000000000000003,25.0,1.4
764,-1.4000000000000004,26.0,4.7
765,-1.9999999999999998,27.0,3.3
766,0.0,28.0,1.3
767,1.2000000000000002,29.0,0.4
768,1.6999999999999997,30.0,1.6
769,-2.1999999999999997,31.0,3.3
770,0.7,32.0,1.1
771,0.9,33.0,-0.8
772,-0.9,24.0,0.1
773,3.5,25.0,-0.8
774,1.2999999999999998,26.0,2.7
775,0.20000000000000018,27.0,4.0
776,-3.3000000000000003,28.0,4.2
777,-0.09999999999999998,29.0,0.9
778,0.09999999999999998,30.0,0.2
779,3.8,31.0,0.3
780,-5.1,32.0,4.1
781,6.5,33.0,-0.8
782,-5.9,34.0,5.7
783,0.4,35.0,-0.2
784,-0.7,26.0,0.3
785,0.10000000000000003,27.0,-0.4
786,0.3,28.0,-0.3
787,1.2,29.0,0.0
788,1.0999999999999999,33.0,0.1
789,0.30000000000000004,34.0,1.2
790,-1.9,35.0,1.5
791,-0.2,26.0,0.1
792,2.5,27.0,-0.1
793,-1.7999999999999998,28.0,2.4
794,-0.39999999999999997,29.0,0.6
795,-0.8999999999999999,25.0,-0.3
796,0.0,23.0,-0.4
797,1.4,24.0,-0.4
798,0.19999999999999996,25.0,1.0
799,-1.9,26.0,1.2
800,-0.5,24.0,5.1
801,0.9000000000000004,25.0,4.6
802,-2.0,26.0,5.5
803,-2.0,27.0,3.5
804,1.5,28.0,0.0
805,-0.2,29.0,0.1
806,2.0,30.0,-0.1
807,-3.0,31.0,1.9
808,-2.6999999999999997,23.0,4.1
809,-0.8999999999999999,24.0,1.4
810,1.9,25.0,0.5
811,-1.0,26.0,2.4
812,0.8,27.0,1.8
813,-3.8,28.0,2.6
814,0.7999999999999999,29.0,-1.2
815,1.3,30.0,-0.4
816,-0.6,31.0,0.0
817,0.8999999999999999,32.0,-0.6
818,-0.5,33.0,0.3
819,4.1,24.0,-0.1
820,0.4,25.0,-0.5
821,-0.1,26.0,-0.1
822,0.0,27.0,-0.2
823,-0.7,28.0,-0.2
824,2.2,29.0,-0.9
825,-0.6000000000000001,30.0,1.3
826,-0.2,25.0,0.1
827,0.7,26.0,-0.1
828,-0.10000000000000003,28.0,0.4
829,0.19999999999999998,22.0,-0.3
830,-0.30000000000000004,23.0,0.2
831,0.5,24.0,-0.1
832,0.5,25.0,0.4
833,3.6,26.0,0.9
834,-4.1,27.0,4.5
835,1.7000000000000002,28.0,0.4
836,4.9,22.0,-0.5
837,-1.1000000000000005,23.0,4.4
838,-2.1999999999999997,24.0,3.3
839,0.2999999999999998,25.0,1.1
840,1.8000000000000003,26.0,1.4
841,-0.5,27.0,3.2
842,-4.4,28.0,2.7
