,WAR,Age,Previous War,2yr_war,ratio
100,-1.2,29.0,-0.1,-1.4,0.3218390804597701
101,0.1,24.0,1.0,3.0,0.9617224880382776
102,1.6,25.0,0.1,1.0,0.9617224880382776
103,0.7999999999999999,26.0,1.6,0.1,0.9617224880382776
104,0.6,27.0,0.7999999999999999,1.6,0.9617224880382776
105,0.4,28.0,0.6,0.7999999999999999,0.9617224880382776
106,-1.3,29.0,0.4,0.6,0.9617224880382776
107,-0.7,30.0,-1.3,0.4,0.9617224880382776
108,-0.8,31.0,-0.7,-1.3,0.9617224880382776
109,0.8,30.0,0.1,-0.2,0.0
110,0.1,30.0,0.7,0.1,0.0
111,0.3,31.0,0.1,0.7,0.0
112,0.7999999999999999,27.0,-1.1,0.7,0.1978021978021978
113,0.7,28.0,0.7999999999999999,-1.1,0.1978021978021978
114,0.4,29.0,0.7,0.7999999999999999,0.1978021978021978
115,2.3,27.0,1.0,-0.7,0.006833712984054671
116,1.3,28.0,2.3,1.0,0.006833712984054671
117,0.8,29.0,1.3,2.3,0.006833712984054671
118,1.0,30.0,0.8,1.3,0.006833712984054671
119,0.3,31.0,1.0,0.8,0.006833712984054671
120,2.5,32.0,0.3,1.0,0.006833712984054671
121,2.3,33.0,2.5,0.3,0.006833712984054671
122,0.3,27.0,0.1,0.0,0.8
123,0.0,27.0,0.0,0.1,0.0
124,0.2,28.0,0.0,0.0,0.0
125,3.5,25.0,1.7,-0.1,0.8250652741514359
126,3.0,26.0,3.5,1.7,0.8250652741514359
127,6.7,27.0,3.0,3.5,0.8250652741514359
128,6.4,28.0,6.7,3.0,0.8250652741514359
129,1.0,30.0,6.4,6.7,0.8250652741514359
130,6.5,31.0,1.0,6.4,0.8250652741514359
131,6.4,32.0,6.5,1.0,0.8250652741514359
132,0.8,33.0,6.4,6.5,0.8250652741514359
133,2.1,34.0,0.8,6.4,0.8250652741514359
134,0.8,35.0,2.1,0.8,0.8250652741514359
135,0.1,36.0,0.8,2.1,0.8250652741514359
136,1.9,37.0,0.1,0.8,0.8250652741514359
137,1.4,26.0,1.1,-0.3,0.06501547987616099
138,2.8,27.0,1.4,1.1,0.06501547987616099
139,-0.5,28.0,2.8,1.4,0.06501547987616099
140,1.4,29.0,-0.5,2.8,0.06501547987616099
141,1.0,30.0,1.4,-0.5,0.06501547987616099
142,-0.2,31.0,1.0,1.4,0.06501547987616099
143,0.0,27.0,-0.3,-0.1,0.38461538461538464
144,-0.4,29.0,0.0,-0.3,0.38461538461538464
145,1.1,24.0,-0.1,0.1,0.0
146,-0.5,25.0,1.1,-0.1,0.0
147,0.6,26.0,-0.5,1.1,0.0
148,2.7,27.0,0.6,-0.5,0.0
149,2.3,28.0,2.7,0.6,0.0
150,-0.1,29.0,2.3,2.7,0.0
151,0.0,27.0,0.0,0.1,0.0
152,0.2,28.0,0.0,0.0,0.0
153,1.7999999999999998,26.0,0.1,0.1,0.4090909090909091
154,1.2000000000000002,27.0,0.2,0.0,0.4878048780487805
155,-0.1,25.0,0.3,-0.2,0.0
156,2.2,34.0,0.4,2.9,0.0
157,1.1,35.0,2.2,0.4,0.0
158,0.2,27.0,0.9,1.5,0.0
159,1.8,28.0,0.2,0.9,0.0
160,0.3,29.0,1.8,0.2,0.0
161,-0.1,30.0,0.3,1.8,0.0
162,0.5,31.0,-0.1,0.3,0.0
163,-0.5,23.0,0.8,-0.1,0.9116945107398567
164,0.3,24.0,-0.5,0.8,0.9116945107398567
165,-0.2,25.0,0.3,-0.5,0.9116945107398567
166,0.0,26.0,-0.2,0.3,0.9116945107398567
167,1.4,27.0,0.0,-0.2,0.9116945107398567
168,1.4,28.0,1.4,0.0,0.9116945107398567
169,5.7,29.0,1.4,1.4,0.9116945107398567
170,5.2,30.0,5.7,1.4,0.9116945107398567
171,1.0,31.0,5.2,5.7,0.9116945107398567
172,6.8,32.0,1.0,5.2,0.9116945107398567
173,2.3,33.0,6.8,1.0,0.9116945107398567
174,4.3,34.0,2.3,6.8,0.9116945107398567
175,2.6,35.0,4.3,2.3,0.9116945107398567
176,2.9,36.0,2.6,4.3,0.9116945107398567
177,3.0,37.0,2.9,2.6,0.9116945107398567
178,4.7,38.0,3.0,2.9,0.9116945107398567
179,-1.2000000000000002,39.0,4.7,3.0,0.9116945107398567
180,0.5,30.0,-0.4,-0.2,0.016826923076923076
181,1.1,31.0,0.5,-0.4,0.016826923076923076
182,1.4,32.0,1.1,0.5,0.016826923076923076
183,2.3,33.0,1.4,1.1,0.016826923076923076
184,-0.3,34.0,2.3,1.4,0.016826923076923076
185,1.4,35.0,-0.3,2.3,0.016826923076923076
186,0.5,36.0,1.4,-0.3,0.016826923076923076
187,-0.4,37.0,0.5,1.4,0.016826923076923076
188,-0.1,27.0,-0.1,1.2,0.005208333333333333
189,0.5,28.0,-0.1,-0.1,0.005208333333333333
190,0.7,29.0,0.5,-0.1,0.005208333333333333
191,0.09999999999999998,30.0,0.7,0.5,0.005208333333333333
192,0.2,31.0,0.09999999999999998,0.7,0.005208333333333333
193,0.4,32.0,0.2,0.09999999999999998,0.005208333333333333
194,0.3,33.0,0.4,0.2,0.005208333333333333
195,0.6,34.0,0.3,0.4,0.005208333333333333
196,2.0,35.0,0.6,0.3,0.005208333333333333
197,0.3,37.0,2.0,0.6,0.005208333333333333
198,0.1,38.0,0.3,2.0,0.005208333333333333
199,3.6,25.0,-1.0,-0.6,0.6086956521739131
200,0.1,27.0,3.6,-1.0,0.6086956521739131
201,-0.30000000000000004,28.0,0.1,3.6,0.6086956521739131
202,-0.3,29.0,-0.30000000000000004,0.1,0.6086956521739131
203,0.1,30.0,-0.3,-0.30000000000000004,0.6086956521739131
204,-0.29999999999999993,31.0,0.1,-0.3,0.6086956521739131
205,-0.5,26.0,-0.2,-0.3,0.00453514739229025
206,1.2,27.0,-0.5,-0.2,0.00453514739229025
207,-0.4,28.0,1.2,-0.5,0.00453514739229025
208,1.4,29.0,-0.4,1.2,0.00453514739229025
209,0.0,30.0,1.4,-0.4,0.00453514739229025
210,-1.2,31.0,0.0,1.4,0.00453514739229025
211,1.9,32.0,-1.2,0.0,0.00453514739229025
212,1.0,33.0,1.9,-1.2,0.00453514739229025
213,0.5,34.0,1.0,1.9,0.00453514739229025
214,-1.4,35.0,0.5,1.0,0.00453514739229025
215,0.6,36.0,-1.4,0.5,0.00453514739229025
216,0.7,37.0,0.6,-1.4,0.00453514739229025
217,-0.6,38.0,0.7,0.6,0.00453514739229025
218,-0.4,39.0,-0.6,0.7,0.00453514739229025
219,2.6,25.0,0.0,0.1,0.010548523206751054
220,2.0,26.0,2.6,0.0,0.010548523206751054
221,0.1,27.0,2.0,2.6,0.010548523206751054
222,-0.6,28.0,0.1,2.0,0.010548523206751054
223,0.9,29.0,-0.6,0.1,0.010548523206751054
224,-0.2,30.0,0.9,-0.6,0.010548523206751054
225,1.5,31.0,-0.2,0.9,0.010548523206751054
226,0.8,32.0,1.5,-0.2,0.010548523206751054
227,-0.09999999999999998,33.0,0.8,1.5,0.010548523206751054
228,-0.6,34.0,-0.09999999999999998,0.8,0.010548523206751054
229,0.0,25.0,0.5,-1.0,0.4736842105263158
230,0.1,26.0,0.0,0.5,0.4736842105263158
231,2.6,25.0,0.0,0.1,0.010548523206751054
232,2.0,26.0,2.6,0.0,0.010548523206751054
233,0.1,27.0,2.0,2.6,0.010548523206751054
234,-0.6,28.0,0.1,2.0,0.010548523206751054
235,0.9,29.0,-0.6,0.1,0.010548523206751054
236,-0.2,30.0,0.9,-0.6,0.010548523206751054
237,1.5,31.0,-0.2,0.9,0.010548523206751054
238,0.8,32.0,1.5,-0.2,0.010548523206751054
239,-0.09999999999999998,33.0,0.8,1.5,0.010548523206751054
240,-0.6,34.0,-0.09999999999999998,0.8,0.010548523206751054
241,0.6,24.0,-0.2,-0.1,0.0
242,-0.2,25.0,0.6,-0.2,0.0
243,1.2,24.0,0.3,0.2,0.006872852233676976
244,2.9,25.0,1.2,0.3,0.006872852233676976
245,0.8,26.0,2.9,1.2,0.006872852233676976
246,0.6,27.0,0.8,2.9,0.006872852233676976
247,3.7,25.0,0.8,0.6,1.0
248,4.1,26.0,3.7,0.8,1.0
249,-0.8,28.0,4.1,3.7,1.0
250,2.2,29.0,-0.8,4.1,1.0
251,1.2,30.0,2.2,-0.8,1.0
252,-0.4,31.0,1.2,2.2,1.0
253,0.8,26.0,0.7,0.0,0.062295081967213124
254,2.3,27.0,0.8,0.7,0.062295081967213124
255,0.7,28.0,2.3,0.8,0.062295081967213124
256,1.1,29.0,0.7,2.3,0.062295081967213124
257,1.1,30.0,1.1,0.7,0.062295081967213124
258,0.4,22.0,0.5,0.8,0.9923954372623576
259,5.4,23.0,0.4,0.5,0.9923954372623576
260,3.0,24.0,5.4,0.4,0.9923954372623576
261,3.8,25.0,3.0,5.4,0.9923954372623576
262,6.4,26.0,3.8,3.0,0.9923954372623576
263,4.1,27.0,6.4,3.8,0.9923954372623576
264,3.3,29.0,4.1,6.4,0.9923954372623576
265,0.7,30.0,3.3,4.1,0.9923954372623576
266,2.1,26.0,0.30000000000000004,-0.5,0.6072607260726073
267,0.6,27.0,2.1,0.30000000000000004,0.6072607260726073
268,0.8,28.0,0.6,2.1,0.6072607260726073
269,0.0,29.0,0.8,0.6,0.6072607260726073
270,4.2,30.0,0.0,0.8,0.6072607260726073
271,-1.0,31.0,4.2,0.0,0.6072607260726073
272,0.0,32.0,-1.0,4.2,0.6072607260726073
273,-0.8999999999999999,33.0,0.0,-1.0,0.6072607260726073
274,1.1,27.0,-0.1,-0.2,0.8636363636363636
275,-0.1,27.0,-0.1,1.2,0.005208333333333333
276,0.5,28.0,-0.1,-0.1,0.005208333333333333
277,0.7,29.0,0.5,-0.1,0.005208333333333333
278,0.09999999999999998,30.0,0.7,0.5,0.005208333333333333
279,0.2,31.0,0.09999999999999998,0.7,0.005208333333333333
280,0.4,32.0,0.2,0.09999999999999998,0.005208333333333333
281,0.3,33.0,0.4,0.2,0.005208333333333333
282,0.6,34.0,0.3,0.4,0.005208333333333333
283,2.0,35.0,0.6,0.3,0.005208333333333333
284,0.3,37.0,2.0,0.6,0.005208333333333333
285,0.1,38.0,0.3,2.0,0.005208333333333333
286,-0.4,24.0,0.2,0.7,0.8571428571428571
287,0.0,26.0,1.9,0.0,0.0
288,0.1,27.0,0.0,1.9,0.0
289,1.8,28.0,0.5,-0.2,0.0033003300330033004
290,2.0,29.0,1.8,0.5,0.0033003300330033004
291,0.3,30.0,2.0,1.8,0.0033003300330033004
292,1.3,31.0,0.3,2.0,0.0033003300330033004
293,-0.6,32.0,1.3,0.3,0.0033003300330033004
294,1.3,28.0,3.6,2.2,0.16901408450704225
295,2.1,29.0,1.3,3.6,0.16901408450704225
