,Name,WAR
12,angels,29.262935312681584
13,dodgers,28.787926569116337
5,whitesox,27.728691823393042
22,padres,27.529503052030442
18,yankees,24.89989034370483
17,mets,24.842311202870437
0,diamondbacks,24.811752142332956
24,mariners,24.022722839698535
29,nationals,23.276022942609455
19,athletics,23.229626125015066
20,phillies,23.161996516372472
23,giants,23.129862341632794
6,reds,23.02217684036183
7,indians,22.795354747328197
27,rangers,22.699809589343246
10,astros,21.883109636449362
3,redsox,21.71458176772092
16,twins,21.44303728793584
21,pirates,21.427783567322443
28,bluejays,20.489768227267945
4,cubs,20.24180340803577
9,tigers,20.080379749181674
25,cardinals,19.832613586156718
26,rays,19.68815181366185
1,braves,18.91558419734663
8,rockies,18.236389282713503
14,marlins,17.635258502366305
15,brewers,15.666265644956663
2,orioles,13.277186643053048
11,royals,13.223954568892813
