,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
10,10,Humberto Arteaga\arteahu01,26,1st,Free Agency,0.102,,1 yr/$100k (20),$100k,Pre-Arb,Pre-Arb,Arb,[-0.8],False,,[41.0],"[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Jesse Hahn\hahnje01,30,5,Free Agency,4.067,Excel Sports Mana...,,Arb (~$900k),,FA,,"[1.0, 0.8, -0.2, 0.0, -0.4]",True,0.8474576271186439,"[14.0, 16.0, 9.0, 14.0, 6.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Kevin McCarthy\mccarke01,28,5,Amateur Draft,2.097,,,,,Arb,Arb,"[-0.4, 0.4, 1.3, 0.5]",True,0.0,"[10.0, 33.0, 65.0, 56.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Adalberto Mondesi\mondera02,24,5,Amateur Free Agent,2.088,ISE Baseball,,,,Arb,Arb,"[-0.5, -0.8, 2.5, 2.4]",False,,"[47.0, 25.0, 75.0, 102.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
14,14,Jakob Junis\junisja01,27,3,Amateur Draft,2.087,Wasserman,,,,Arb,Arb,"[1.5, 1.7, 1.0]",True,0.9506172839506172,"[20.0, 30.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Hunter Dozier\doziehu01,28,3,Amateur Draft,2.06,Frontline,,,,Arb,Arb,"[0.0, -1.7, 3.2]",False,,"[8.0, 102.0, 139.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Franchy Cordero\cordefr02,25,4,Traded,2.0380000000000003,Republik Sports,,,,Arb,Arb,"[0.2, -0.1, 0.2]",False,,"[30.0, 40.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Glenn Sparkman\sparkgl01,28,4,Rule 5 returned,2.001,,,,,Arb,Arb,"[-0.4, 0.3, -0.1]",True,0.0,"[2.0, 15.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,Brad Keller\kellebr01,24,2,Traded,2.0,Sosnick Cobbe & K...,,,,Arb,Arb,"[3.8, 2.8]",True,0.6956521739130435,"[41.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Eric Skoglund\skogler01,27,3,Amateur Draft,1.109,,,,,Arb,Arb,"[-0.6, 0.2, -0.5]",True,0.8148148148148148,"[7.0, 14.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
