,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,career,games,contracts,years,pitcher,start_ratio
10,Michael Conforto\confomi01,28,7,Amateur Draft,5.043,Scott Boras,1 yr/$12.25M (21),$12.25M,FA,,,,,,,,,,"[2.1, 0.6, 3.7, 2.7, 3.5, 2.1, 0.4]","[56.0, 109.0, 109.0, 153.0, 151.0, 54.0, 33.0]","[{'type': 'salary', 'value': 12250000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Noah Syndergaard\syndeno01,28,5,Traded,5.149,CAA Sports,1 yr/$9.7M (21),$9.7M,FA,,,,,,,,,,"[2.6999999999999997, 5.7, 0.7, 4.1, 2.8]","[24.0, 31.0, 7.0, 25.0, 32.0]","[{'type': 'salary', 'value': 9700000.0}]","[2015, 2016, 2017, 2018, 2019]",True,0.9915966386554622
12,Edwin Diaz\diazed04,27,6,Traded,4.121,Wasserman,1 yr/$7M (21),$7M,Arb,FA,,,,,,,,,"[1.4, 0.9, 3.3, -0.4, 1.4, 0.6]","[49.0, 66.0, 73.0, 66.0, 26.0, 25.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
13,Kevin Pillar\pillake01,32,9,Free Agency,6.113,All Bases Covered,1 yr/$5M (21) & 22 team option,$3.6M,$1.4M [FA-*],FA,,,,,,,,,"[0.1, 0.6, 5.2, 3.6, 3.0, 2.3, 0.4, 1.0, 0.2]","[36.0, 53.0, 159.0, 146.0, 154.0, 142.0, 161.0, 54.0, 38.0]","[{'type': 'salary', 'value': 3600000.0}, {'type': 'team option', 'value': 6400000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
14,Brandon Nimmo\nimmobr01,28,6,Amateur Draft,4.042,CAA Sports,1 yr/$4.7M (21),$4.7M,Arb,FA,,,,,,,,,"[0.2, 1.0, 4.6, 0.9, 1.7, 0.9]","[32.0, 69.0, 140.0, 69.0, 55.0, 21.0]","[{'type': 'salary', 'value': 4700000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
15,Jonathan Villar\villajo01,30,9,Free Agency,6.113,MDR Sports Manage...,1 yr/$3.55M (21),$3.55M,FA,,,,,,,,,,"[-0.3, 0.9, 0.7, 3.2, 0.2, 2.9000000000000004, 4.5, -0.1, 0.8]","[58.0, 87.0, 53.0, 156.0, 122.0, 141.0, 162.0, 52.0, 51.0]","[{'type': 'salary', 'value': 3550000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Aaron Loup\loupaa01,33,10,Free Agency,8.04,Beverly Hills Spo...,1 yr/$3M (21),$3M,FA,,,,,,,,,,"[0.6, 1.6, 1.1, -0.2, 0.0, 0.8, 0.30000000000000004, 0.2, 0.5, 0.3]","[33.0, 64.0, 71.0, 60.0, 21.0, 70.0, 59.0, 4.0, 24.0, 21.0]","[{'type': 'salary', 'value': 3000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Seth Lugo\lugose01,31,6,Amateur Draft,4.082,Ballengee Group,1 yr/$2.9M (21),$2.9M,Arb,FA,,,,,,,,,"[1.8, 0.9, 2.3, 2.5, 0.4, 0.2]","[17.0, 19.0, 54.0, 61.0, 16.0, 5.0]","[{'type': 'salary', 'value': 2900000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
18,Dominic Smith\smithdo02,26,5,Amateur Draft,2.146,Roc Nation Sports...,1 yr/$2.55M (21),$2.55M,Arb,Arb,Arb,FA,,,,,,,"[-0.9, -0.5, 0.6, 1.9, 0.0]","[49.0, 56.0, 89.0, 50.0, 53.0]","[{'type': 'salary', 'value': 2550000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
19,J.D. Davis\davisjd01,28,5,Traded,2.137,MVP Sports Group,1 yr/$2.1M (21),$2.1M,Arb,Arb,Arb,FA,,,,,,,"[0.3, -0.8, 1.1, 0.0, 0.6]","[24.0, 42.0, 140.0, 56.0, 14.0]","[{'type': 'salary', 'value': 2100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
20,Miguel Castro\castrmi01,26,7,Traded,4.079,Magnus Sports,1 yr/$1.69M (21),$1.69M,Arb,FA,,,,,,,,,"[-0.30000000000000004, -0.2, 0.9, 1.5, 0.7, 0.6000000000000001, 0.2]","[18.0, 19.0, 39.0, 63.0, 65.0, 26.0, 24.0]","[{'type': 'salary', 'value': 1688000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.08333333333333333
21,Robert Gsellman\gsellro01,27,6,Amateur Draft,4.042,CAA Sports,1 yr/$1.3M (21),$1.3M,Arb,FA,,,,,,,,,"[1.2, -0.6000000000000001, -0.2, 0.2, -0.5, -0.1]","[8.0, 25.0, 68.0, 52.0, 6.0, 14.0]","[{'type': 'salary', 'value': 1300000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
22,Jacob Barnes\barneja01,31,6,Waivers,4.03,,1 yr/$750k (21),$750k,Arb,FA,,,,,,,,,"[0.5, 0.6, -0.2, -0.8, 0.0, -0.2]","[27.0, 73.0, 49.0, 33.0, 18.0, 18.0]","[{'type': 'salary', 'value': 750000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
23,Tommy Hunter\hunteto02,34,14,Free Agency,11.066,Moye Sports Assoc...,1 yr/$100k (21),$100k,FA,,,,,,,,,,"[-0.8, 1.8, 2.7, 0.4, -0.2, 1.8, 0.7, 0.3, 0.6000000000000001, 1.2, 1.5, 0.3, 0.6, 0.5]","[3.0, 19.0, 23.0, 20.0, 33.0, 68.0, 60.0, 58.0, 33.0, 61.0, 65.0, 5.0, 24.0, 4.0]","[{'type': 'salary', 'value': 100000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.25
24,Jose Peraza\perazjo01,27,7,Free Agency,4.102,,1 yr/$100k (21),$100k,Arb,FA,,,,,,,,,"[0.0, 0.3, -0.6, 2.2, -1.3, 0.0, -0.1]","[7.0, 72.0, 143.0, 157.0, 141.0, 34.0, 31.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
25,Albert Almora\almoral01,27,6,Free Agency,4.012,Scott Boras,1 yr/$100k (21),$100k,Arb,FA,,,,,,,,,"[0.7, 1.4, 2.2, -0.7, -0.1, -0.4]","[47.0, 132.0, 152.0, 130.0, 28.0, 20.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
