,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,career,games,contracts,years,pitcher,start_ratio
14,Yoshi Tsutsugo\tsutsyo01,29,2,Traded,1.0,,2 yrs/$12M (20-21),$7M,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,"[0.3, -0.5]","[51.0, 38.0]","[{'type': 'salary', 'value': 7000000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
15,Walker Buehler\buehlwa01,26,5,Amateur Draft,2.168,,2 yrs/$8M (21-22),$3.75M,$4.25M,Arb,Arb,FA,,,,,,,,"[-0.2, 3.8000000000000003, 2.0, 0.3, 1.7]","[8.0, 24.0, 30.0, 8.0, 11.0]","[{'type': 'salary', 'value': 3750000.0}, {'type': 'salary', 'value': 4250000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
16,Corey Knebel\knebeco01,29,7,Traded,5.151,Excel Sports Mana...,1 yr/$5.25M (21),$5.25M,FA,,,,,,,,,,,"[-0.2, 0.8, -0.2, 3.7, 0.4, -0.1, 0.0]","[8.0, 48.0, 35.0, 76.0, 57.0, 15.0, 8.0]","[{'type': 'salary', 'value': 5250000.0}]","[2014, 2015, 2016, 2017, 2018, 2020, 2021]",True,0.0
17,Austin Barnes\barneau01,31,7,Traded,4.098,,2 yrs/$4.3M (21-22),$1.65M,$2.65M,FA,,,,,,,,,,"[0.1, -0.1, 2.4, 0.6, 0.2, 0.7, 0.3]","[20.0, 21.0, 102.0, 100.0, 75.0, 29.0, 32.0]","[{'type': 'salary', 'value': 1650000.0}, {'type': 'salary', 'value': 2650000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
18,Tommy Kahnle\kahnlto01,31,7,,5.131,Ballengee Group,2 yrs/$4.2M (21-22),$750k,$3.45M,FA,,,,,,,,,,"[-0.2, -0.3, 0.7, 1.7000000000000002, -0.9, 0.9, 0.1]","[54.0, 36.0, 29.0, 69.0, 24.0, 72.0, 1.0]","[{'type': 'salary', 'value': 750000.0}, {'type': 'salary', 'value': 3450000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.0
19,Julio Urias\uriasju01,24,6,Amateur Free Agent,3.117,Scott Boras,1 yr/$3.6M (21),$3.6M,Arb,Arb,FA,,,,,,,,,"[1.0, -0.2, 0.1, 1.4, 1.1, 1.1]","[18.0, 5.0, 3.0, 37.0, 11.0, 12.0]","[{'type': 'salary', 'value': 3600000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
20,Scott Alexander\alexasc02,31,7,Traded,4.039,Sosnick Cobbe & K...,1 yr/$1M (21),$1M,Arb,FA,,,,,,,,,,"[0.0, 0.3, 2.4, 0.30000000000000004, 0.1, 0.2, 0.1]","[4.0, 17.0, 58.0, 73.0, 28.0, 13.0, 13.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
21,Steven Souza Jr.\souzast01,32,6,,6.033,ACES,1 yr/$100k (21),$100k,FA,,,,,,,,,,,"[-0.1, 1.4, 0.8, 3.9, -0.4, 0.0]","[21.0, 110.0, 120.0, 148.0, 72.0, 11.0]","[{'type': 'salary', 'value': 100000.0}]","[2014, 2015, 2016, 2017, 2018, 2020]",False,
22,Nate Jones\jonesna01,35,10,Free Agency,9.0,Joe Speed,1 yr/$100k (21),$100k,FA,,,,,,,,,,,"[2.5, 0.3, 0.0, 0.3, 2.3, 0.4, 0.4, 0.2, -0.2, 0.4]","[65.0, 70.0, 2.0, 19.0, 71.0, 11.0, 33.0, 13.0, 21.0, 18.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
23,Matt Davidson\davidma02,30,5,,3.112,MVP Sports Group,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,,,,,,"[0.2, 0.0, -0.8, 0.6, -0.3]","[31.0, 1.0, 118.0, 123.0, 20.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2016, 2017, 2018, 2020]",False,
