,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
14,Sandy Leon\leonsa01,32,10,Free Agency,6.144,Octagon,1 yr/$100k (21),$100k,FA,,"[0.1, 0.0, 0.1, -0.1, 2.9, 0.7, -0.5, -0.6, -0.2, -0.5]","[12.0, 2.0, 20.0, 41.0, 78.0, 85.0, 89.0, 65.0, 25.0, 31.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
15,Chad Wallach\wallach01,29,5,Waivers,2.09,,,,,Arb,"[-0.1, 0.1, 0.1, 0.2, -0.6]","[6.0, 15.0, 19.0, 15.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
16,Josh A. Smith\smithjo07,33,5,Free Agency,2.148,,,,,Arb,"[-0.7000000000000001, 0.3, 0.1, 0.0, -0.3]","[9.0, 32.0, 26.0, 18.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2019, 2020]",True,0.1188118811881188
17,Elieser Hernandez\hernael01,26,4,Rule 5 Draft,2.118,,,,,Arb,"[-0.5, 0.19999999999999998, 0.8, 0.2]","[32.0, 21.0, 6.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
18,Lewis Brinson\brinsle01,27,5,Traded,2.115,Excel Sports Mana...,,,,Arb,"[-0.4, -1.0, -2.1, 0.1, 0.2]","[21.0, 109.0, 75.0, 47.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
19,Sandy Alcantara\alcansa01,25,5,Traded,2.1,,,,,Arb,"[-0.1, 0.5, 2.8, 0.9, 1.6]","[8.0, 6.0, 32.0, 7.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
20,Pablo Lopez\lopezpa01,25,4,Traded,2.093,Beverly Hills Spo...,,,,Arb,"[0.7, 0.5, 1.4, 2.0]","[10.0, 21.0, 11.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
21,Deven Marrero\marrede01,30,5,Free Agency,2.024,Scott Boras,,,,Arb,"[-0.2, -0.1, 0.5, -0.4, 0.0]","[25.0, 13.0, 71.0, 49.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",False,
22,Jordan Holloway\hollojo01,25,2,Amateur Draft,1.0,,,,,Arb,"[0.0, 0.3]","[1.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.25
23,Jon Berti\bertijo01,31,4,Free Agency,1.168,,,,,Arb,"[0.0, 1.5, 0.9, 0.0]","[4.0, 73.0, 39.0, 51.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
24,Magneuris Sierra\sierrma01,25,5,Traded,1.138,,,,,Arb,"[0.2, -1.7, 0.1, 0.4, 0.3]","[22.0, 54.0, 15.0, 19.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
25,Jeff Brigham\brighje01,29,3,Traded,1.126,,,,,Arb,"[-0.1, 0.2, -0.1]","[4.0, 32.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.10810810810810811
26,John Curtiss\curtijo02,28,5,Traded,1.045,,,,,Arb,"[-0.2, 0.0, 0.0, 0.8, 0.4]","[9.0, 8.0, 1.0, 17.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.043478260869565216
27,Brett Eibner\eibnebr01,32,3,Free Agency,1.045,,,,,Arb,"[-0.30000000000000004, -0.4]","[70.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017]",False,
28,Steven Okert\okertst01,29,3,,1.012,,,,,Arb,"[0.2, -0.3, 0.3]","[16.0, 44.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",True,0.0
