,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
10,Ryan Lavarnway\lavarry01,33,9,,3.075,Wasserman,1 yr/$100k (21),$100k,Arb,Arb,"[0.5, -1.6, 0.1, -0.3, -0.09999999999999998, 0.0, 0.0, 0.2, 0.0]","[17.0, 46.0, 25.0, 9.0, 37.0, 6.0, 6.0, 5.0, 5.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020]",False,
11,Heath Fillmyer\fillmhe01,27,2,,0.155,Gaeta Sports Mana...,1 yr/$100k (21),$100k,Pre-Arb,Arb,"[1.0, -0.6]","[17.0, 12.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.5517241379310345
12,Rene Rivera\riverre01,37,13,Free Agency,8.107,MDR Sports Manage...,,FA,,,"[-0.1, 0.5, -0.5, -0.1, 0.4, 2.7, -1.9, 0.8, 0.30000000000000004, 0.30000000000000004, -0.1, 0.1, -0.2]","[2.0, 16.0, 35.0, 45.0, 23.0, 103.0, 110.0, 65.0, 74.0, 33.0, 9.0, 2.0, 14.0]",[],"[2004, 2005, 2006, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Oscar Mercado\mercaos01,26,2,Traded,1.114,,,,,Arb,"[2.2, -0.4]","[115.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",False,
14,Anthony Gose\gosean01,30,5,,2.125,CAA Sports,,,,Arb,"[0.6, 0.2, 0.7, 0.8, -0.3]","[56.0, 52.0, 94.0, 140.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2012, 2013, 2014, 2015, 2016]",False,
15,Bradley Zimmer\zimmebr01,28,5,Amateur Draft,2.119,,,,,Arb,"[1.6, 0.1, -0.2, 0.1, 0.3]","[101.0, 34.0, 9.0, 20.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
16,Franmil Reyes\reyesfr01,25,4,Traded,2.115,Optimum Baseball,,,,Arb,"[1.5, 0.30000000000000004, 0.4, 0.8]","[87.0, 150.0, 59.0, 40.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
17,Jordan Luplow\luplojo01,27,5,Traded,2.112,MVP Sports Group,,,,Arb,"[-0.4, 0.1, 1.9, -0.1, 0.4]","[27.0, 37.0, 85.0, 29.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
18,Shane Bieber\biebesh01,26,4,Amateur Draft,2.097,,,,,Arb,"[1.0, 4.7, 3.2, 2.5]","[20.0, 34.0, 12.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
19,Andres Gimenez\gimenan01,22,2,Traded,1.0,,,,,Arb,"[1.0, 0.4]","[49.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
20,Harold Ramirez\ramirha02,26,3,Waivers,1.142,,,,,Arb,"[0.2, -0.1, 0.6]","[119.0, 3.0, 34.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
21,Cal Quantrill\quantca01,26,3,Traded,1.132,,,,,Arb,"[0.2, 0.8, 0.5]","[23.0, 18.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.1
