,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,2026,career,pitcher,start_ratio,games,contracts
15,15,Joey Wendle\wendljo01,30,5,Traded,2.088,,,,,Arb,Arb,FA,,,"[0.5, 0.1, 4.8, 0.8]",False,,"[28.0, 8.0, 139.0, 75.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Ji-Man Choi\choiji01,29,5,Traded,2.076,Gman Sports Manag...,,,,Arb,Arb,FA,,,"[-0.6, 0.1, 1.1, 2.0]",False,,"[54.0, 6.0, 61.0, 127.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Ryan Yarbrough\yarbrry01,28,3,Traded,1.147,Excel Sports Mana...,,,,Arb,Arb,Arb,FA,,"[1.1, 1.3]",True,1.0,"[38.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,Trevor Richards\richatr01,27,3,Traded,1.142,,,,,Arb,Arb,Arb,FA,,"[0.7999999999999999, 1.6999999999999997]",True,0.0,"[25.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Yonny Chirinos\chiriyo01,26,2,Amateur Free Agent,1.137,,,,,Arb,Arb,Arb,FA,,"[1.0, 2.1]",True,0.5681818181818182,"[18.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Sean Gilmartin\gilmase01,30,5,,1.133,Sports One Athlet...,,,,Arb,Arb,Arb,FA,,"[1.2000000000000002, -0.3, -0.1, 0.8, -0.2]",True,0.0379746835443038,"[50.0, 14.0, 2.0, 12.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Yandy Díaz\diazya01,28,4,Traded,1.122,,,,,Arb,Arb,Arb,FA,,"[0.3, 0.4, 1.4]",False,,"[49.0, 39.0, 79.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Diego Castillo\castidi01,26,3,Amateur Free Agent,1.118,,,,,Arb,Arb,Arb,FA,,"[1.0, 0.5]",True,0.0,"[43.0, 65.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Willy Adames\adamewi01,24,3,Traded,1.105,,,,,Arb,Arb,Arb,FA,,"[1.4, 4.2]",False,,"[85.0, 152.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Austin Meadows\meadoau01,25,2,Traded,1.074,,,,,Arb,Arb,Arb,FA,,"[-0.30000000000000004, 4.0]",False,,"[59.0, 138.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Jalen Beeks\beeksja02,26,3,Traded,1.07,,,,,Arb,Arb,Arb,FA,,"[-0.10000000000000003, 0.2]",True,0.0,"[14.0, 33.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Andrew Kittredge\kittran01,30,4,Traded,1.07,,,,,Arb,Arb,Arb,FA,,"[0.3, -1.2, 0.3]",True,0.0,"[15.0, 33.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Anthony Banda\bandaan01,26,3,Traded,1.05,,,,,Arb,Arb,Arb,FA,,"[-0.1, 0.1, 0.0]",True,0.35714285714285715,"[8.0, 3.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
