,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,career,pitcher,start_ratio,games,contracts
17,17,Robbie Erlin\erlinro01,29,7,Free Agency,5.045,Sosnick Cobbe & K...,,Arb (~$2M),,,,"[0.3, -0.4, 0.0, 0.1, 0.2, -0.5]",True,0.0,"[11.0, 13.0, 3.0, 3.0, 39.0, 37.0]","[{'type': 'arb', 'value': None}]"
18,18,Edgar Santana\santaed01,28,2,Amateur Free Agent,2.048,,,,,Arb,Arb,"[0.2, 1.1]",True,0.0,"[19.0, 69.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Hector Noesi\noesihe01,33,6,,3.144,ACES (Sam & Seth ...,,Arb (~$900k),,Arb,FA,"[0.2, -0.7000000000000001, -0.4, 0.20000000000000004, -0.5, -0.8]",True,0.4789915966386555,"[30.0, 22.0, 12.0, 33.0, 10.0, 12.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,John Ryan Murphy\murphjr01,29,8,Free Agency,3.122,ISE Baseball,,Arb (~$1.2M),,Arb,FA,"[0.0, 0.5, 0.4, -0.5, -0.1, -0.3, 0.2]",False,,"[16.0, 32.0, 67.0, 26.0, 5.0, 87.0, 26.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Colin Moran\moranco01,27,5,Traded,2.107,Excel Sports,,,,Arb,Arb,"[-0.3, 0.1, 0.6, -1.1]",False,,"[9.0, 7.0, 144.0, 149.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Kyle Crick\crickky01,27,4,Traded,2.104,BBI Sports,,,,Arb,Arb,"[0.5, 1.5, -0.2]",True,0.0,"[30.0, 64.0, 52.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
23,23,Chris Stratton\stratch01,29,5,Purchased,2.1,Bo McKinnis,,,,Arb,Arb,"[0.1, 1.2999999999999998, -0.9, -0.19999999999999998]",True,0.0,"[7.0, 13.0, 28.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
24,24,Steven Brault\braulst01,28,5,Traded,2.085,,,,,Arb,Arb,"[-0.5, 0.1, 0.0, 1.5]",True,1.0,"[8.0, 11.0, 45.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Jose Osuna\osunajo01,27,4,Amateur Free Agent,2.069,,,,,Arb,Arb,"[-0.9, 0.0, -0.1]",False,,"[104.0, 51.0, 95.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Richard Rodriguez\rodriri05,30,4,Free Agency,2.016,,,,,Arb,Arb,"[-0.3, 1.7, 0.9]",True,0.0,"[5.0, 63.0, 72.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Andrew Susac\susacan01,30,5,,2.009,The Legacy Agency,,,,Arb,Arb,"[0.7, 0.1, 0.1, -0.2, -0.3]",False,,"[35.0, 52.0, 9.0, 8.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Nick Burdi\burdini01,27,3,Traded,2.0,Sosnick Cobbe & K...,,,,Arb,Arb,"[-0.2, -0.4]",True,0.0,"[2.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Jacob Stallings\stallja01,30,5,Amateur Draft,1.149,,,,,Arb,Arb,"[0.2, 0.2, 0.0, 1.5]",False,,"[5.0, 5.0, 14.0, 71.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Socrates Brito\britoso01,27,4,,1.123,The L. Warner Com...,,,,Arb,Arb,"[0.6, -0.5, -0.3, -0.7]",False,,"[18.0, 40.0, 24.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Kevin Newman\newmake01,26,3,Amateur Draft,1.046,,,,,Arb,Arb,"[-0.9, 3.1]",False,,"[31.0, 130.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Yacksel Rios\riosya01,27,3,Waivers,1.036,,,,,Arb,Arb,"[0.1, -0.4, -0.3]",True,0.0,"[13.0, 36.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
