,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
11,Josh Bell\belljo02,28,6,Traded,4.053,Scott Boras,1 yr/$6.35M (21),$6.35M,Arb,FA,,,,"[-0.8, 0.7, 0.7, 2.7, -0.5, 0.4]","[45.0, 159.0, 148.0, 143.0, 57.0, 46.0]","[{'type': 'salary', 'value': 6350000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
12,Joe Ross\rossjo01,28,6,Traded,4.018,Wasserman,1 yr/$1.5M (21),$1.5M,Arb,FA,,,,"[1.2, 2.4, 0.4, 0.0, -0.1, -0.09999999999999998]","[16.0, 19.0, 13.0, 3.0, 27.0, 11.0]","[{'type': 'salary', 'value': 1500000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2021]",True,1.0
13,Ryan Zimmerman\zimmery01,36,16,Free Agency,14.032,CAA Sports,1 yr/$1M (21),$1M,FA,,,,,"[0.6, 2.9, 4.7, 2.8, 7.3, 6.2, 1.9, 3.9, 3.4, 0.4, 0.7, -0.7, 2.6, 1.6, 0.6, 1.0]","[20.0, 157.0, 162.0, 106.0, 157.0, 142.0, 101.0, 145.0, 147.0, 61.0, 95.0, 115.0, 144.0, 85.0, 52.0, 36.0]","[{'type': 'salary', 'value': 1000000.0}]","[2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",False,
14,Josh Harrison\harrijo05,33,11,Free Agency,8.168,Millenium Sports,1 yr/$1M (21),$1M,FA,,,,,"[1.2, -0.1, 0.1, 5.6, 1.7, 2.0, 3.6, 0.5, -1.0, 0.5, 0.7]","[65.0, 104.0, 60.0, 143.0, 114.0, 131.0, 128.0, 97.0, 36.0, 33.0, 46.0]","[{'type': 'salary', 'value': 1000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
15,Gerardo Parra\parrage01,34,11,Free Agency,10.145,Octagon,1 yr/$100k (21),$100k,FA,,,,,"[0.2, 0.5, 3.0, 2.0, 5.3, -0.5, 1.3, -2.4, 0.7, 0.4, 0.8999999999999999]","[120.0, 133.0, 141.0, 133.0, 156.0, 150.0, 155.0, 102.0, 115.0, 142.0, 119.0]","[{'type': 'salary', 'value': 100000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",False,
16,Jordy Mercer\mercejo03,34,10,,7.156,The Legacy Agency,1 yr/$100k (21),$100k,FA,,,,,"[0.3, 1.3, 2.3, 0.4, 1.2, 0.2, 0.5, 0.5, -0.1, 0.3]","[42.0, 103.0, 149.0, 116.0, 149.0, 145.0, 117.0, 74.0, 9.0, 22.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
17,Welington Castillo\castiwe01,34,10,,7.104,ISE Baseball,1 yr/$100k (21),$100k,FA,,,,,"[0.2, -0.1, 1.1, 4.0, 1.3, 1.0999999999999999, 2.2, 2.3, 0.5, -0.3]","[7.0, 4.0, 52.0, 113.0, 110.0, 110.0, 113.0, 96.0, 49.0, 72.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",False,
18,Javy Guerra\guerrja01,35,10,Free Agency,5.145,Reynolds Sports M...,1 yr/$100k (21),$100k,FA,,,,,"[1.4000000000000001, 1.2, -0.3, 1.1, 0.1, -0.1, 0.3, -1.0, 0.20000000000000004, 0.3]","[47.0, 45.0, 9.0, 42.0, 3.0, 7.0, 16.0, 32.0, 51.0, 14.0]","[{'type': 'salary', 'value': 100000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.0
19,Blake Swihart\swihabl01,29,5,,3.13,The Legacy Agency,1 yr/$100k (21),$100k,Arb,Arb,FA,,,"[0.4, 0.3, 0.0, 0.0, -1.0]","[84.0, 19.0, 6.0, 82.0, 43.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",False,
20,Yasmany Tomás\tomasya01,30,4,,3.009,Jay Alou Jr.,1 yr/$100k (21),$100k,Arb,Arb,FA,,,"[-1.0, -0.9, -0.4, -0.2]","[118.0, 140.0, 47.0, 4.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2019]",False,
