,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,career,pitcher,start_ratio,games,contracts
13,13,Lance McCullers Jr.\mcculla02,26,5,Amateur Draft,4.14,Scott Boras,1 yr/$4.1M (20),$4.1M,Arb,FA,,,"[2.1, 1.6, 1.1, 1.7]",True,1.0,"[22.0, 14.0, 22.0, 25.0]","[{'type': 'salary', 'value': 4100000.0}, {'type': 'arb', 'value': None}]"
14,14,Brad Peacock\peacobr01,32,8,Traded,5.165,ACES (Sam & Seth ...,1 yr/$3.9M (20),$3.9M,FA,,,,"[0.6, 0.0, -0.7, 0.0, 0.2, 3.2, 0.8, 1.1]",True,0.4662921348314607,"[3.0, 18.0, 28.0, 1.0, 10.0, 34.0, 61.0, 23.0]","[{'type': 'salary', 'value': 3900000.0}]"
15,15,Aledmys Díaz\diazal02,29,5,Traded,3.1,Jaime Torres,1 yr/$2.6M (20),$2.6M,Arb,Arb,FA,,"[2.9, -0.3, 1.9, 1.1]",False,,"[111.0, 79.0, 130.0, 69.0]","[{'type': 'salary', 'value': 2600000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Chris Devenski\devench02,29,5,Traded,4.0,MVP Sports Group,1 yr/$2M (20),$2M,Arb,FA,,,"[2.8, 1.9, 0.2, -0.1]",True,0.0,"[48.0, 62.0, 50.0, 61.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'arb', 'value': None}]"
17,17,Joe Biagini\biagijo01,30,5,Traded,3.134,,1 yr/$1M (20),$1M,Arb,Arb,FA,,"[0.9, -0.3, -0.3, 0.29999999999999993]",True,0.0,"[60.0, 44.0, 50.0, 63.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
18,18,Dustin Garneau\garnedu01,32,6,Free Agency,1.14,Marc Kligman,1 yr/$650k (20),$650k,Pre-Arb,Arb,Arb,Arb,"[-0.1, 0.1, 0.4, 0.0, 0.8999999999999999]",False,,"[22.0, 24.0, 41.0, 1.0, 35.0]","[{'type': 'salary', 'value': 650000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
19,19,Austin Pruitt\pruitau01,30,3,,1.125,,,,,Arb,Arb,Arb,"[-0.9, -0.3, 0.3]",True,0.14925373134328354,"[30.0, 23.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
20,20,Josh James\jamesjo02,27,3,Amateur Draft,1.03,,,,,Arb,Arb,Arb,"[0.7, 0.0]",True,1.0,"[6.0, 49.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Framber Valdez\valdefr01,26,2,Amateur Free Agent,0.163,,,,,Arb,Arb,Arb,"[1.2, -0.8]",True,0.38235294117647056,"[8.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Francis Martes\martefr01,24,1st,Traded,0.116,,,,,,Arb,Arb,[-0.9],True,0.125,[32.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
