,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,career,games,contracts,years,pitcher,start_ratio
10,José Iglesias\iglesjo01,31,10,Traded,8.036,MVP Sports Group,2 yrs/$6M (20-21),$3.5M,FA,,,,,,,,,"[0.0, 0.3, 2.4, 1.3, 2.5, 0.6, 2.0, 0.9, 1.3, 0.2]","[10.0, 25.0, 109.0, 120.0, 137.0, 130.0, 125.0, 146.0, 39.0, 47.0]","[{'type': 'salary', 'value': 3500000.0}]","[2011, 2012, 2013, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Max Stassi\stassma01,30,9,Traded,4.049,Wasserman,1 yr/$1.6M (21),$1.6M,Arb,FA,,,,,,,,"[0.0, 0.2, 0.4, -0.2, 0.1, 1.1, -1.6, 1.0, 0.6]","[3.0, 7.0, 11.0, 9.0, 14.0, 88.0, 51.0, 31.0, 16.0]","[{'type': 'salary', 'value': 1600000.0}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
12,Kurt Suzuki\suzukku01,37,15,Free Agency,13.113,MVP Sports Group,1 yr/$1.5M (21),$1.5M,FA,,,,,,,,,"[0.4, 3.8, 3.4, 2.2, 1.5, 0.30000000000000004, -0.10000000000000003, 2.6, 0.4, 0.3, 2.6, 2.1, 0.5, 0.3, -0.6]","[68.0, 148.0, 147.0, 131.0, 134.0, 118.0, 94.0, 131.0, 131.0, 106.0, 81.0, 105.0, 85.0, 33.0, 32.0]","[{'type': 'salary', 'value': 1500000.0}]","[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Mike Mayers\mayermi01,29,6,Waivers,3.02,,1 yr/$1.2M (21),$1.2M,Arb,Arb,FA,,,,,,,"[-0.8, -0.2, -0.2, -0.3, 0.9, 0.4]","[4.0, 3.0, 50.0, 16.0, 29.0, 29.0]","[{'type': 'salary', 'value': 1200000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
14,Alex Claudio\claudal01,29,8,Free Agency,5.114,MDR Sports Manage...,1 yr/$1.13M (21),$1.12M,FA,,,,,,,,,"[0.2, 0.3, 1.2, 2.9, 0.7, 0.6, 0.1, 0.1]","[15.0, 18.0, 39.0, 70.0, 66.0, 83.0, 20.0, 26.0]","[{'type': 'salary', 'value': 1125000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
15,Felix Pena\penafe01,31,6,Traded,3.079,,1 yr/$1.1M (21),$1.1M,Arb,Arb,FA,,,,,,,"[0.0, -0.1, 0.8, 0.9, 0.7, -0.3]","[11.0, 25.0, 19.0, 22.0, 25.0, 2.0]","[{'type': 'salary', 'value': 1100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
16,Steve Cishek\cishest01,35,12,Free Agency,9.143,Jet Sports Manage...,1 yr/$1M (21),$1M,FA,,,,,,,,,"[0.2, 1.2, 1.2, 2.1, 0.9, -0.09999999999999998, 1.6, 1.5, 2.1, 1.8, -0.2, 0.1]","[3.0, 45.0, 68.0, 69.0, 67.0, 59.0, 62.0, 49.0, 80.0, 70.0, 22.0, 27.0]","[{'type': 'salary', 'value': 1000000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Tony Watson\watsoto01,36,11,Free Agency,9.101,Scott Boras,1 yr/$1M (21),$1M,FA,,,,,,,,,"[0.4, 0.6, 1.5, 2.7, 2.5, 1.3, 0.9, 1.8, 0.2, 0.1, 0.4]","[43.0, 68.0, 67.0, 78.0, 77.0, 70.0, 71.0, 72.0, 60.0, 21.0, 22.0]","[{'type': 'salary', 'value': 1000000.0}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
18,Jon Jay\jayjo02,36,12,Free Agency,10.134,CAA Sports (Nez B...,1 yr/$100k (21),$100k,FA,,,,,,,,,"[0.9, 2.8, 3.3, 1.5, 2.9, -0.2, 1.2, 1.0, 0.39999999999999997, -0.7, -0.5, 0.1]","[105.0, 159.0, 117.0, 157.0, 140.0, 79.0, 90.0, 141.0, 143.0, 47.0, 18.0, 5.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
19,Drew Butera\buterdr01,37,12,Purchased,9.067,David Schwartz,1 yr/$100k (21),$100k,FA,,,,,,,,,"[0.2, -1.6, 0.1, -0.2, -0.3, -0.3, 0.3, -0.5, -0.7, -0.4, -0.2, -0.5]","[49.0, 93.0, 42.0, 6.0, 61.0, 55.0, 55.0, 75.0, 61.0, 16.0, 28.0, 12.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
