,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2020,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
11,11,Sergio Romo\romose01,37,12,Traded,11.097,Meister Sports Mg...,1 yr/$5M (20) & 21 team option,$4.75M,$250k [FA-*],FA,,,,"[0.6, 0.5, 1.7, 1.7, 1.9, 0.8, 0.2, 0.9, 0.7, 0.5, 0.2, 0.6000000000000001]",True,0.007062146892655367,"[29.0, 45.0, 68.0, 65.0, 69.0, 65.0, 64.0, 70.0, 40.0, 55.0, 73.0, 65.0]","[{'type': 'salary', 'value': 4750000.0}, {'type': 'team option', 'value': 5000000.0}]"
12,12,Taylor Rogers\rogerta01,29,4,Amateur Draft,3.145,Frontline,1 yr/$4.45M (20),$4.45M,Arb,Arb,FA,,,"[0.7, 1.2, 2.0, 2.5]",True,0.0,"[57.0, 69.0, 72.0, 60.0]","[{'type': 'salary', 'value': 4450000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
13,13,Alex Avila\avilaal01,33,12,Free Agency,10.061,Excel Sports Mana...,1 yr/$4.25M (20),$4.25M,FA,,,,,"[0.6, 0.1, 5.1, 2.2, 0.6, 2.1, 0.0, 1.0, 2.7, 0.0, 1.4]",False,,"[29.0, 104.0, 141.0, 116.0, 102.0, 124.0, 67.0, 57.0, 112.0, 80.0, 63.0]","[{'type': 'salary', 'value': 4250000.0}]"
14,14,Jose Berrios\berrijo01,26,5,Amateur Draft,3.044,Wasserman,1 yr/$4.03M (20),$4.03M,Arb,Arb,FA,,,"[-1.5, 2.0, 3.3, 3.3]",True,1.0,"[14.0, 26.0, 32.0, 32.0]","[{'type': 'salary', 'value': 4025000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Byron Buxton\buxtoby01,26,5,Amateur Draft,3.16,Jet Sports Manage...,1 yr/$3.08M (20),$3.08M,Arb,Arb,FA,,,"[0.4, 1.7, 5.0, -0.3, 3.1]",False,,"[46.0, 92.0, 140.0, 28.0, 87.0]","[{'type': 'salary', 'value': 3075000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
16,16,Rich Hill\hillri01,40,15,,10.127,ACES (Sam & Seth ...,1 yr/$3M (20),$3M,FA,,,,,"[-0.8, 1.3, 3.1999999999999997, 0.4, -1.3, 0.3, 0.5, 0.7, -1.3, 0.2, 1.6, 4.2, 2.1, 1.4000000000000001, 1.2000000000000002]",True,0.5492957746478874,"[10.0, 17.0, 32.0, 5.0, 14.0, 6.0, 9.0, 25.0, 63.0, 16.0, 4.0, 20.0, 25.0, 25.0, 13.0]","[{'type': 'salary', 'value': 3000000.0}]"
17,17,Tyler Clippard\clippty01,35,14,Free Agency,10.134,Excel Sports Mana...,1 yr/$2.75M (20),$2.75M,FA,,,,,"[0.0, 0.2, 1.4, 1.7000000000000002, 3.4, 0.5, 1.7, 1.5, 1.2, 1.1, 0.0, 1.4, 1.3]",True,0.0,"[6.0, 2.0, 41.0, 78.0, 72.0, 74.0, 72.0, 75.0, 69.0, 69.0, 67.0, 73.0, 53.0]","[{'type': 'salary', 'value': 2750000.0}]"
18,18,Trevor May\maytr01,30,6,Traded,5.012,VC Sports Group,1 yr/$2.21M (20),$2.21M,FA,,,,,"[-1.1, 1.5, -0.1, 0.5, 1.3]",True,0.0,"[10.0, 48.0, 44.0, 24.0, 65.0]","[{'type': 'salary', 'value': 2205000.0}]"
19,19,Ehire Adrianza\adriaeh01,30,8,Waivers,5.131,ISE Baseball,1 yr/$1.6M (20),$1.6M,FA,,,,,"[0.1, -0.5, 0.2, -0.1, 0.4, 0.2, 0.8]",False,,"[9.0, 53.0, 52.0, 40.0, 70.0, 114.0, 83.0]","[{'type': 'salary', 'value': 1600000.0}]"
20,20,Matt Wisler\wislema01,27,6,Waivers,3.042,Sosnick/Cobbe,1 yr/$725k (20),$725k,Arb,Arb,FA,,,"[0.7, 0.4, -0.8, -2.7755575615628914e-17, -0.4]",True,0.0,"[20.0, 27.0, 20.0, 18.0, 44.0]","[{'type': 'salary', 'value': 725000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
21,21,Tyler Duffey\duffety01,29,6,Amateur Draft,3.074,Dishman Sports Gr...,1 yr/$1.2M (20),$1.2M,Arb,Arb,FA,,,"[1.6, -1.3, -0.3, -0.8, 0.9]",True,0.0,"[10.0, 26.0, 56.0, 19.0, 58.0]","[{'type': 'salary', 'value': 1200000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
22,22,Cory Gearrin\gearrco01,34,8,,6.136,Bo McKinnis,1 yr/$100k (20),$100k,FA,,,,,"[-0.9, 0.5, 0.2, 0.0, 0.0, 2.4, 0.8, 0.7999999999999999]",True,0.005952380952380952,"[18.0, 22.0, 37.0, 7.0, 56.0, 68.0, 62.0, 66.0]","[{'type': 'salary', 'value': 100000.0}]"
23,23,Blaine Hardy\hardybl01,33,6,,4.1080000000000005,Mike Mosa,1 yr/$100k (20),$100k,Arb,FA,,,,"[1.0, 1.0, 0.4, -0.3, 1.9, 0.5]",True,0.055793991416309016,"[38.0, 70.0, 21.0, 35.0, 30.0, 39.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]"
24,24,Danny Coulombe\couloda01,30,5,,2.0540000000000003,,1 yr/$100k (20),$100k,Arb,Arb,Arb,FA,,"[0.0, -0.1, 0.4, 0.8, -0.1]",True,0.0,"[5.0, 14.0, 35.0, 72.0, 27.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
25,25,Cody Asche\ascheco01,30,5,,3.089,Arland Sports,,Arb,,Arb,FA,,,"[0.2, 0.3, -0.7, -0.8, -0.9]",False,,"[50.0, 121.0, 129.0, 71.0, 19.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
26,26,Mitch Garver\garvemi01,29,4,Amateur Draft,2.045,,,,,Arb,Arb,FA,,"[0.0, 0.9, 4.1]",False,,"[23.0, 102.0, 93.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
27,27,Juan Minaya\minayju01,29,4,,2.031,,,,,Arb,Arb,FA,,"[0.0, 0.3, 1.0, 0.4]",True,0.0,"[11.0, 40.0, 52.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
28,28,Caleb Thielbar\thielca01,33,3,Free Agency,1.148,,,,,Arb,Arb,Arb,FA,"[1.3, 0.8, 0.0]",True,0.0,"[49.0, 54.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
29,29,Austin Adams\adamsau01,33,4,Free Agency,1.126,Beverly Hills Spo...,,,,Arb,Arb,Arb,FA,"[-0.2, 0.3, -0.7, 0.0]",True,0.0,"[6.0, 28.0, 19.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
30,30,Juan Graterol\grateju01,31,4,Free Agency,1.126,,,,,Arb,Arb,Arb,FA,"[0.2, 0.0, 0.2, -0.2]",False,,"[9.0, 48.0, 4.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
31,31,Tomas Telis\telisto01,29,5,,1.079,,,,,Arb,Arb,Arb,FA,"[-0.1, -0.1, 0.0, -0.2, -0.1]",False,,"[18.0, 23.0, 10.0, 48.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
32,32,Jake Cave\caveja01,27,3,Traded,1.072,,,,,Arb,Arb,Arb,FA,"[1.7, 0.8]",False,,"[91.0, 72.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Willians Astudillo\astudwi01,28,2,Free Agency,1.061,,,,,Arb,Arb,Arb,FA,"[0.8, 0.1]",False,,"[29.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Lane Adams\adamsla01,30,3,,1.037,Platinum Sports,,,,Arb,Arb,Arb,FA,"[-0.1, 0.3, 0.3]",False,,"[6.0, 85.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Ramon Flores\florera02,28,3,,1.0,,,,,Arb,Arb,Arb,FA,"[0.0, -1.4, -0.3]",False,,"[12.0, 104.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Casey Lawrence\lawreca01,32,2,,0.171,,,,,Arb,Arb,Arb,Arb,"[-0.7, -0.3]",True,0.05263157894736842,"[27.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Ryan Garton\gartory01,30,3,,0.161,,,,,Arb,Arb,Arb,Arb,"[0.1, 0.0, -0.1]",True,0.0,"[37.0, 20.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Alec Asher\asheral01,28,4,,0.151,,,,,Arb,Arb,Arb,Arb,"[-1.0, 0.5, 0.0, 0.1]",True,0.4736842105263158,"[7.0, 5.0, 24.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Parker Bridwell\bridwpa01,28,3,,0.129,,,,,,Arb,Arb,Arb,"[-0.2, 1.9, -0.5]",True,0.75,"[2.0, 21.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Luis Arraez\arraelu01,23,2,Amateur Free Agent,0.121,,,,,,Arb,Arb,Arb,[1.8],False,,[92.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,Zack Littell\litteza01,24,3,Traded,0.119,,,,,,Arb,Arb,Arb,"[-0.5, 0.9]",True,0.0,"[8.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Fernando Romero\romerfe01,25,2,Amateur Free Agent,0.102,,,,,,Arb,Arb,Arb,"[0.2, -0.2]",True,0.4230769230769231,"[11.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Wilfredo Tovar\tovarwi01,28,3,,0.099,,,,,,Arb,Arb,Arb,"[0.0, -0.1, 0.0]",False,,"[7.0, 2.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,LaMonte Wade Jr\wadela01,26,2,Amateur Draft,0.08800000000000001,,,,,,Arb,Arb,Arb,[0.1],False,,[26.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Cody Stashak\stashco01,26,2,Amateur Draft,0.07,,,,,,Arb,Arb,Arb,[0.4],True,0.0,[18.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
46,46,Chris Rowley\rowlech01,29,2,,0.054000000000000006,,,,,,Arb,Arb,Arb,"[-0.3, -0.4]",True,0.375,"[6.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
47,47,Lewis Thorpe\thorple01,24,2,Amateur Free Agent,0.054000000000000006,,,,,,Arb,Arb,Arb,[-0.2],True,0.0,[12.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
48,48,Randy Dobnak\dobnara01,25,2,Free Agency,0.053,Gaeta Sports Mana...,,,,,Arb,Arb,Arb,[0.7],True,1.0,[9.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
49,49,Devin Smeltzer\smeltde01,24,2,Traded,0.053,,,,,,Arb,Arb,Arb,[0.8],True,0.0,[11.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
50,50,Jack Reinheimer\reinhja01,27,2,,0.044,,,,,,Arb,Arb,Arb,"[-0.1, -0.3]",False,,"[2.0, 21.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
51,51,Sean Poppen\poppese01,26,1st,Amateur Draft,0.038,Madden Sports Gro...,,,,,Arb,Arb,Arb,[-0.1],True,0.0,[4.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
52,52,Andrew Vasquez\vasquan02,26,2,Amateur Draft,0.037000000000000005,,,,,,Arb,Arb,Arb,"[-0.1, 0.0]",True,0.0,"[9.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
53,53,Jorge Alcala\alcaljo01,24,1st,Traded,0.016,Optimum Baseball,,,,,Arb,Arb,Arb,[0.1],True,0.0,[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
54,54,Joey Krehbiel\krehbjo01,27,1st,,0.003,,,,,,Arb,Arb,Arb,[0.1],True,0.0,[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
