,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,pitcher,start_ratio,games,contracts
32,32,Jesus Luzardo\luzarje01,23,3,Traded,1.021,MVP Sports Group,,,,Arb,"[0.6, 0.6, -0.2]",True,0.6666666666666666,"[6.0, 12.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
33,33,Brett Graves\gravebr01,28,1st,,1.0,,,,,Arb,[-0.3],True,0.0,[21.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
34,34,Austin Allen\allenau01,27,3,Traded,0.171,,,,,Arb,"[-0.3, -0.2, 0.2]",False,,"[34.0, 14.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
35,35,Jordan Weems\weemsjo01,28,2,Free Agency,0.161,,,,,Arb,"[0.2, -0.1]",True,0.0,"[9.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
36,36,Reymin Guduan\guduare01,29,4,Free Agency,0.104,,,,,,"[-0.4, 0.1, -0.4, -0.3]",True,0.0,"[22.0, 3.0, 7.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
37,37,Zac Reininger\reiniza01,28,3,,0.161,,,,,Arb,"[-0.1, -0.4, -0.6]",True,0.018867924528301886,"[10.0, 18.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
38,38,Cole Irvin\irvinco01,27,3,Purchased,0.12,,,,,,"[-0.19999999999999998, -0.3, 1.3]",True,1.0,"[16.0, 3.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
39,39,Seth Brown\brownse01,28,3,Amateur Draft,0.104,,,,,,"[0.8, -0.1, 0.9]",False,,"[26.0, 7.0, 46.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
40,40,Tanner Anderson\anderta01,28,2,Traded,0.068,,,,,,"[-0.3, -0.2]",True,0.4545454545454545,"[6.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
41,41,James Kaprielian\kaprija01,27,2,Traded,0.031,,,,,,"[-0.1, 0.7]",True,1.0,"[2.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
42,42,Montana DuRapau\durapmo01,29,1st,,0.03,,,,,,[-0.8],True,0.14285714285714285,[14.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
43,43,Skye Bolt\boltsk01,27,2,Purchased,0.018000000000000002,,,,,,"[-0.1, -0.1]",False,,"[5.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
44,44,Frank Schwindel\schwifr01,29,1st,,0.015,,,,,,[-0.3],False,,[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
45,45,Daulton Jefferies\jeffeda01,25,1st,Amateur Draft,0.003,,,,,,[-0.3],True,1.0,[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
