,Unnamed: 0,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,career,pitcher,start_ratio,games,contracts
10,10,Jesse Winker\winkeje01,27,5,Amateur Draft,3.08,Excel Sports,1 yr/$3.15M (21),$3.15M,Arb,Arb,FA,,"[0.4, 0.1, 0.8, 1.3, 1.7]",False,,"[47.0, 89.0, 113.0, 54.0, 49.0]","[{'type': 'salary', 'value': 3150000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
11,11,Tyler Mahle\mahlety01,26,5,Amateur Draft,3.018,,1 yr/$2.2M (21),$2.2M,Arb,Arb,FA,,"[0.6, 0.0, 0.0, 1.1, 1.9]",True,1.0,"[4.0, 23.0, 25.0, 10.0, 12.0]","[{'type': 'salary', 'value': 2200000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
12,12,Sean Doolittle\doolise01,34,10,Free Agency,8.122,Jason Cook,1 yr/$1.5M (21),$1.5M,FA,,,,"[0.8, 1.4, 1.2, 0.1, 0.9, 1.4, 2.5, 0.7000000000000001, 0.0, 0.4]",True,0.0,"[44.0, 70.0, 61.0, 12.0, 44.0, 53.0, 43.0, 63.0, 11.0, 23.0]","[{'type': 'salary', 'value': 6500000.0}, {'type': 'salary', 'value': 1500000.0}]"
13,13,Tyler Naquin\naquity01,30,6,Free Agency,4.033,Hendricks Sports,1 yr/$1.5M (21),$1.5M,Arb,FA,,,"[1.3, 0.1, 0.5, 1.4, -0.6, 0.7]",False,,"[116.0, 19.0, 61.0, 89.0, 40.0, 50.0]","[{'type': 'salary', 'value': 1450000.0}, {'type': 'salary', 'value': 100000.0}]"
14,14,Amir Garrett\garream01,29,5,Amateur Draft,3.099,Wasserman,1 yr/$1.5M (21),$1.5M,Arb,Arb,FA,,"[-2.0, 0.4, 1.4, 0.6, -0.7]",True,0.0,"[16.0, 66.0, 69.0, 21.0, 19.0]","[{'type': 'salary', 'value': 1500000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
15,15,Michael Feliz\felizmi01,28,7,Waivers,4.169,Octagon,1 yr/$1M (21),$1M,Arb,FA,,,"[-0.1, -0.1, -0.5, -0.9, 0.8, -0.3, -0.1]",True,0.0,"[5.0, 47.0, 46.0, 47.0, 58.0, 3.0, 15.0]","[{'type': 'salary', 'value': 1100000.0}, {'type': 'salary', 'value': 1000000.0}]"
16,16,Kyle Farmer\farmeky01,30,5,Free Agency,2.129,Beverly Hills Spo...,1 yr/$640k (21),$640k,Arb,Arb,Arb,FA,"[-0.1, 0.2, 0.0, 0.4, -0.5]",False,,"[20.0, 39.0, 97.0, 32.0, 54.0]","[{'type': 'salary', 'value': 640000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]"
17,17,Brad Brach\brachbr01,35,11,Free Agency,8.062999999999999,Big League Manage...,1 yr/$100k (21),$100k,FA,,,,"[-0.2, 0.3, -0.1, 0.5, 1.9, 2.4, 1.2, 0.4, 0.0, 0.0, 0.1]",True,0.0,"[9.0, 67.0, 33.0, 46.0, 62.0, 71.0, 67.0, 69.0, 58.0, 14.0, 6.0]","[{'type': 'salary', 'value': 850000.0}, {'type': 'salary', 'value': 100000.0}]"
18,18,Heath Hembree\hembrhe01,32,9,Free Agency,5.106,Ballengee Group,1 yr/$100k (21),$100k,FA,,,,"[0.3, 0.0, 0.4, 0.4, 0.4, 0.5, 0.5, -0.5, 0.0]",True,0.0,"[9.0, 6.0, 22.0, 38.0, 62.0, 67.0, 45.0, 22.0, 15.0]","[{'type': 'salary', 'value': 1613000.0}, {'type': 'salary', 'value': 100000.0}]"
19,19,Josh Osich\osichjo01,32,6,,4.114,Ballengee Group,1 yr/$100k (21),$100k,Arb,FA,,,"[0.2, -0.1, -0.6, -0.5, 0.5, -0.4]",True,0.004273504273504274,"[35.0, 59.0, 54.0, 12.0, 57.0, 17.0]","[{'type': 'salary', 'value': 850000.0}, {'type': 'salary', 'value': 100000.0}]"
