,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
11,Matt Barnes\barnema01,31,8,Amateur Draft,5.11,ISE Baseball,1 yr/$4.5M (21),$4.5M,FA,,,,,"[0.0, -0.3, 0.3, 0.7, 1.1, 1.4, 0.3, 1.0]","[5.0, 32.0, 62.0, 70.0, 62.0, 70.0, 24.0, 26.0]","[{'type': 'salary', 'value': 4500000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
12,Hunter Renfroe\renfrhu01,29,6,Free Agency,3.165,,1 yr/$3.1M (21),$3.1M,Arb,Arb,FA,,,"[0.4, 0.7, 2.4, 2.4, 0.0, 1.1]","[11.0, 122.0, 117.0, 140.0, 42.0, 50.0]","[{'type': 'salary', 'value': 3100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Marwin Gonzalez\gonzama01,32,10,Free Agency,8.133,Scott Boras,1 yr/$3M (21),$3M,FA,,,,,"[-0.1, 0.7, 1.3, 2.7, 1.2, 3.9, 2.4, 1.9, 0.2, 0.8]","[80.0, 72.0, 103.0, 120.0, 141.0, 134.0, 145.0, 114.0, 53.0, 49.0]","[{'type': 'salary', 'value': 3000000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
14,Matt Andriese\andrima01,31,7,Free Agency,5.071,Beverly Hills Spo...,1 yr/$2.1M (21) & 22 team option,$1.85M,$250k [FA-*],FA,,,,"[0.5, 1.1, 0.1, -1.0, -0.1, 0.7, -0.3]","[25.0, 29.0, 18.0, 41.0, 54.0, 16.0, 18.0]","[{'type': 'salary', 'value': 1850000.0}, {'type': 'team option', 'value': 3500000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
15,Kevin Plawecki\plaweke01,30,7,Free Agency,4.167,ACES,1 yr/$1.6M (21),$1.6M,Arb,FA,,,,"[1.0, 0.0, 0.6, 1.2, -0.1, 0.7, -0.2]","[73.0, 48.0, 37.0, 79.0, 59.0, 24.0, 21.0]","[{'type': 'salary', 'value': 1600000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Franchy Cordero\cordefr02,26,5,Traded,3.038,Republik Sports,1 yr/$800k (21),$800k,Arb,Arb,FA,,,"[0.2, -0.1, 0.2, 0.0, -0.2]","[30.0, 40.0, 9.0, 16.0, 34.0]","[{'type': 'salary', 'value': 800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
17,Ryan Brasier\brasiry01,33,4,Free Agency,3.109,MVP Sports Group,1 yr/$1.25M (21),$1.25M,Arb,Arb,FA,,,"[0.2, 1.5, 0.2, 0.5]","[7.0, 34.0, 62.0, 25.0]","[{'type': 'salary', 'value': 1250000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2018, 2019, 2020]",True,0.0078125
18,Austin Brice\briceau01,29,6,Traded,3.101,,1 yr/$870k (21),$870k,Arb,Arb,FA,,,"[-0.4, -0.2, -0.5, 0.4, 0.0, -0.2]","[15.0, 22.0, 33.0, 36.0, 21.0, 12.0]","[{'type': 'salary', 'value': 870000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
19,Brandon Workman\workmbr01,32,7,Free Agency,6.051,CAA Sports (Jeff ...,1 yr/$100k (21),$100k,FA,,,,,"[-0.1, -1.2000000000000002, 0.5, 0.9, 3.3, -0.09999999999999998, -0.5]","[20.0, 19.0, 33.0, 43.0, 73.0, 21.0, 12.0]","[{'type': 'salary', 'value': 100000.0}]","[2013, 2014, 2017, 2018, 2019, 2020, 2021]",True,0.0
20,Danny Santana\santada01,30,8,Free Agency,5.14,Mato Sports Manag...,1 yr/$100k (21),$100k,FA,,,,,"[3.8, -1.9, -1.5, 0.1, 0.0, 2.0, -0.1, -0.1]","[101.0, 91.0, 75.0, 82.0, 15.0, 130.0, 15.0, 13.0]","[{'type': 'salary', 'value': 100000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
21,Chris Herrmann\herrmch01,33,8,,5.128,Sports Management...,1 yr/$100k (21),$100k,FA,,,,,"[-0.3, -0.3, -0.8, -0.1, 1.3, -0.8, 0.5, -0.3]","[7.0, 57.0, 33.0, 45.0, 56.0, 106.0, 36.0, 30.0]","[{'type': 'salary', 'value': 100000.0}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",False,
22,Kevin McCarthy\mccarke01,29,5,,3.003,,1 yr/$100k (21),$100k,Arb,Arb,FA,,,"[-0.4, 0.5, 1.3, 0.5, 0.0]","[10.0, 33.0, 65.0, 56.0, 5.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.0
23,Jett Bandy\bandyje01,31,4,,2.054,,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,,"[0.1, 1.0, -0.8, -0.3]","[2.0, 70.0, 60.0, 24.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018]",False,
24,Matt Carasiti\carasma01,29,2,,0.087,,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,"[-0.6, 0.0]","[19.0, 11.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2019]",True,0.16666666666666666
25,Brandon Brennan\brennbr01,29,2,,2.0,,,,,Arb,Arb,FA,,"[0.5, 0.1]","[44.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
26,Michael Chavis\chavimi01,25,3,Amateur Draft,1.164,,,,,Arb,Arb,Arb,FA,"[0.9, -0.7, 0.2]","[95.0, 42.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
27,Nick Pivetta\pivetni01,28,5,Traded,2.166,,,,,Arb,Arb,FA,,"[-0.6, 2.2, -0.6, 0.3, 1.3]","[26.0, 33.0, 30.0, 5.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
28,Ryan Weber\weberry01,30,6,Free Agency,2.138,The L. Warner Com...,,,,Arb,Arb,FA,,"[0.0, -0.2, 0.1, -0.2, 0.2, 1.1]","[5.0, 16.0, 1.0, 2.0, 18.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020]",True,0.2711864406779661
29,Tyler Olson\olsonty01,31,5,,2.114,Jackson Managemen...,,,,Arb,Arb,FA,,"[-0.1, 0.0, 1.2, -0.1, 0.2]","[11.0, 1.0, 30.0, 43.0, 39.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",True,0.0
30,Alex Verdugo\verdual01,25,5,Traded,2.078,MVP Sports Group,,,,Arb,Arb,FA,,"[-0.4, 0.4, 3.0, 2.2, 1.1]","[15.0, 37.0, 106.0, 53.0, 56.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
