,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,career,games,contracts,years,pitcher,start_ratio
21,Renato Nunez\nunezre01,27,6,Free Agency,2.167,,1 yr/$100k (21),$100k,Arb,Arb,Arb,FA,"[-0.3, 0.0, 1.5, 0.5, 0.7, 0.0]","[9.0, 8.0, 73.0, 151.0, 52.0, 7.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
22,Robbie Ross\rossro01,32,6,,5.1,Bledsoe Brothers,,Arb,,,,,"[1.8, 1.2, -1.8, 0.7, 0.8, -0.2]","[58.0, 65.0, 27.0, 54.0, 54.0, 8.0]","[{'type': 'arb', 'value': None}]","[2012, 2013, 2014, 2015, 2016, 2017]",True,0.045112781954887216
23,Ian Krol\krolia01,30,6,Traded,3.162,ISE Baseball,,Arb,,Arb,FA,,"[0.1, -0.7, -0.4, 1.0, -0.5, 0.1]","[32.0, 45.0, 33.0, 63.0, 51.0, 1.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018]",True,0.0
24,Victor Reyes\reyesvi01,26,4,Rule 5 Draft,2.084,,,,,Arb,Arb,FA,"[-1.2, 1.4, 0.6, -0.7]","[100.0, 69.0, 57.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
25,Grayson Greiner\greingr01,28,4,Amateur Draft,2.083,Beverly Hills Spo...,,,,Arb,Arb,FA,"[0.0, -0.6, -0.2, -0.2]","[30.0, 58.0, 18.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
26,Juan Centeno\centeju01,31,7,,2.037,Magnus Sports,,,,Arb,Arb,FA,"[0.1, -0.3, -0.5, 0.7, -0.2, -0.4, -0.1]","[4.0, 10.0, 10.0, 55.0, 22.0, 10.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019]",False,
27,Spencer Turnbull\turnbsp01,28,4,Amateur Draft,2.02,Wasserman,,,,Arb,Arb,FA,"[-0.1, 2.1, 1.0, 1.4]","[4.0, 30.0, 11.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,1.0
28,Christin Stewart\stewach02,27,3,Amateur Draft,1.164,,,,,Arb,Arb,Arb,"[-0.2, -0.3, -0.7]","[17.0, 104.0, 36.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",False,
29,Harold Castro\castrha01,27,4,Amateur Free Agent,1.141,,,,,Arb,Arb,Arb,"[0.0, -0.9, 0.3, -0.5]","[6.0, 97.0, 22.0, 35.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
30,Gregory Soto\sotogr01,26,3,Amateur Free Agent,1.102,,,,,Arb,Arb,Arb,"[0.30000000000000004, 0.2, 0.7]","[33.0, 27.0, 29.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
31,Mark Leiter Jr.\leitema02,30,2,,1.082,,,,,Arb,Arb,Arb,"[-0.30000000000000004, -1.1]","[27.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018]",True,0.23404255319148937
32,Tyler Alexander\alexaty01,26,3,Amateur Draft,1.058,,,,,Arb,Arb,Arb,"[0.8, 0.5, 0.1]","[13.0, 14.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.11764705882352941
33,Bryan Garcia\garcibr01,26,3,Amateur Draft,1.029,,,,,Arb,Arb,Arb,"[-0.4, 0.8, -0.2]","[7.0, 26.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
34,Rony Garcia\garciro03,23,2,Rule 5 Draft,1.0,,,,,Arb,Arb,Arb,"[-0.5, 0.1]","[15.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
35,Isaac Paredes\paredis01,22,1st,Traded,0.117,,,,,,Arb,Arb,"[-0.2, -0.1]","[34.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
36,Willi Castro\castrwi01,24,3,Traded,0.17,,,,,Arb,Arb,Arb,"[-0.5, 0.4, -0.6]","[30.0, 36.0, 52.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
37,Kyle Funkhouser\funkhky01,27,2,Amateur Draft,0.136,,,,,,Arb,Arb,"[-0.3, 0.1]","[13.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
38,Beau Burrows\burrobe01,24,1st,Amateur Draft,0.061,,,,,,Arb,Arb,"[0.0, -0.1]","[5.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
39,Tarik Skubal\skubata01,24,2,Amateur Draft,0.114,,,,,,Arb,Arb,"[-0.1, 0.8]","[8.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.8461538461538461
40,Casey Mize\mizeca01,24,2,Amateur Draft,0.111,,,,,,Arb,Arb,"[-0.5, 2.1]","[7.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
41,Daz Cameron\camerda01,24,1st,Traded,0.053,,,,,,Arb,Arb,"[-0.6, 0.1]","[17.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
42,Eric Haase\haaseer01,28,4,Purchased,0.099,L. Warner Compani...,,,,,Arb,Arb,"[-0.3, -0.2, -0.1, 1.0]","[9.0, 10.0, 7.0, 24.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
43,Ricardo Pinto\pintori01,27,2,,0.095,,,,,,Arb,Arb,"[-0.9, -0.1]","[25.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2019]",True,0.0
44,Miguel Del Pozo\delpomi01,28,2,,0.076,,,,,,Arb,Arb,"[-0.5, -0.7]","[17.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
45,Derek Hill\hillde01,25,2,Amateur Draft,0.072,,,,,,Arb,Arb,"[-0.2, 0.1]","[15.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
46,Andrew Moore\moorean02,27,2,,0.063,,,,,,Arb,Arb,"[0.0, 0.0]","[11.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2019]",True,0.8333333333333334
47,Jake Rogers\rogerja03,26,2,Traded,0.062,,,,,,Arb,Arb,"[-0.6, 0.6]","[35.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
48,Locke St. John\stjohlo01,28,1st,,0.028,Gaeta Sports Mana...,,,,,Arb,Arb,[0.1],[7.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.0
49,Pedro Payano\payanpe01,26,1st,,0.026,,,,,,Arb,Arb,[-0.1],[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.6666666666666666
