Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
1,2001,SEA,AL,116,46,.716,162,6474,155,18,7,104,-7,277,27.6,238,515,50.3,.515,.515,39.9,10.2,410,$72745834
2,2004,STL,NL,105,57,.648,162,6297,57,4,0,31,59,151,13.5,184,335,31.4,.506,.506,28.8,2.4,304,$83840333
3,2002,NYY,AL,103,58,.640,161,6377,117,11,-3,-56,-6,63,6.2,231,294,28.0,.504,.504,33.8,-5.8,350,$125498583
4,2002,OAK,AL,103,59,.636,162,6291,43,6,-1,-6,-10,32,3.4,233,265,25.4,.502,.502,26.3,-1.3,271,$39781167
5,2002,ATL,NL,101,59,.631,161,6224,-60,-6,-5,77,55,60,4.8,182,242,22.8,.503,.503,15.1,7.8,165,$90960367
6,2001,OAK,AL,102,60,.630,162,6385,54,0,1,19,-8,66,6.9,236,302,29.4,.504,.504,27.2,1.8,283,$33810750
7,2004,NYY,AL,101,61,.623,162,6364,117,3,-8,-80,-3,29,3.8,234,262,25.7,.502,.502,32.4,-6.5,342,$184193950
8,2003,ATL,NL,101,61,.623,162,6378,93,10,0,35,62,199,18.4,183,383,36.3,.509,.509,33.0,3.6,348,$103243667
9,2003,NYY,AL,101,61,.623,163,6431,135,0,-1,-43,-5,86,8.9,236,323,31.2,.505,.505,35.4,-4.1,366,$147199814
10,2003,SFG,NL,100,61,.621,161,6204,-12,-9,-3,35,61,73,5.6,182,254,23.3,.503,.503,20.1,3.5,219,$74102167
11,2002,ANA,AL,99,63,.611,162,6327,44,3,9,98,-8,145,14.7,234,379,36.7,.508,.508,27.2,9.3,281,$61521667
12,2004,BOS,AL,98,64,.605,162,6515,87,-1,1,-15,-7,65,7.5,240,305,29.8,.503,.503,30.3,-0.4,320,$126694000
13,2002,ARI,NL,98,64,.605,162,6318,-44,-8,3,-4,60,6,-0.7,184,191,17.3,.500,.500,18.1,-0.7,195,$102819999
14,2002,STL,NL,97,65,.599,162,6246,11,2,1,49,57,120,11.0,181,301,28.9,.505,.505,24.2,4.7,253,$74260875
15,2000,SFG,NL,97,65,.599,162,6418,125,-2,-6,6,70,192,16.1,187,380,34.1,.508,.508,34.4,-0.1,374,$53737826
16,2001,NYY,AL,95,65,.594,161,6233,10,6,3,-57,-5,-43,-3.7,230,188,18.3,.497,.497,23.7,-5.4,245,$110181143
17,2004,ATL,NL,96,66,.593,162,6339,-5,0,3,43,60,101,8.7,185,286,26.8,.504,.504,22.9,4.1,243,$90182500
18,2003,OAK,AL,96,66,.593,162,6189,-36,6,0,4,-6,-32,-2.7,231,199,19.1,.498,.498,18.8,0.3,195,$50260834
19,2002,SFG,NL,95,66,.590,162,6298,90,1,-4,38,60,185,17.3,182,368,35.3,.508,.508,31.6,3.8,329,$78299835
20,2003,BOS,AL,95,67,.586,162,6530,145,5,1,-23,-5,123,12.4,239,362,34.9,.507,.507,37.2,-2.2,385,$99646500
21,2000,ATL,NL,95,67,.586,162,6275,-21,5,7,36,69,95,7.0,182,277,24.6,.504,.504,21.9,3.0,241,$75817836
22,2000,CHW,AL,95,67,.586,162,6410,46,13,1,6,-4,62,6.4,236,298,28.3,.503,.503,27.7,0.7,292,$31308500
23,2000,STL,NL,95,67,.586,162,6369,39,-1,1,43,65,148,12.0,186,333,29.8,.506,.506,26.4,3.4,290,$61653863
24,2002,MIN,AL,94,67,.584,161,6196,20,-11,5,21,-6,28,3.1,231,260,24.8,.502,.502,22.9,1.8,238,$40200000
25,2000,NYM,NL,94,68,.580,162,6328,-7,-3,-2,11,62,62,3.7,186,247,21.6,.502,.502,21.3,0.2,236,$79509776
