Rk,Year,Tm,Lg,Wtm,Ltm,tmW-L%,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary
1,2011,PHI,NL,102,60,.630,162,6279,-26,6,11,-45,58,4,-0.2,181,186,17.7,.500,.500,22.0,-3.9,231,$172148379
2,2014,LAA,AL,98,64,.605,162,6285,83,1,6,-23,-6,62,8.9,222,284,30.4,.504,.504,31.9,-1.4,307,$128166250
3,2012,WSN,NL,98,64,.605,162,6221,4,-2,-1,-14,52,39,4.3,181,221,22.0,.502,.502,22.2,-0.5,235,$88105000
4,2013,BOS,AL,97,65,.599,162,6382,117,15,-5,21,-6,142,17.2,223,365,38.4,.509,.509,35.1,3.2,344,$174897500
5,2013,STL,NL,97,65,.599,162,6202,8,-1,-8,-31,56,24,0.2,187,211,18.8,.501,.501,23.4,-4.6,242,$90583000
6,2012,CIN,NL,97,65,.599,162,6115,-62,-3,4,18,62,20,2.2,178,197,19.5,.501,.501,16.3,3.5,179,$70579500
7,2011,NYY,AL,97,65,.599,162,6306,71,3,-7,15,-6,75,8.1,230,305,30.1,.505,.505,29.2,0.8,291,$194104628
8,2010,PHI,NL,97,65,.599,162,6291,-11,13,5,-6,60,61,5.0,181,242,22.4,.503,.503,23.3,-0.5,248,$141928379
9,2014,BAL,AL,96,66,.593,162,6130,25,-13,-1,59,-4,67,9.6,216,283,30.6,.504,.504,23.0,7.8,224,$104720000
10,2014,WSN,NL,96,66,.593,162,6216,-31,11,2,7,58,47,2.6,187,234,20.9,.502,.502,21.6,-0.5,227,$135483680
11,2013,ATL,NL,96,66,.593,162,6133,-2,-3,-2,28,55,77,6.3,186,263,24.8,.504,.504,22.7,2.2,235,$93993750
12,2013,OAK,AL,96,66,.593,162,6209,46,-3,-1,-41,-6,-4,1.5,220,217,22.5,.500,.500,25.8,-3.3,258,$69440000
13,2011,MIL,NL,96,66,.593,162,6113,14,0,0,7,53,75,7.3,179,254,25.0,.504,.504,23.7,1.6,247,$85022333
14,2011,TEX,AL,96,66,.593,162,6261,85,15,1,16,-5,112,11.9,228,341,33.7,.507,.507,32.7,1.1,325,$90384264
15,2010,TBR,AL,96,66,.593,162,6270,44,18,9,53,-6,119,13.5,232,351,36.2,.507,.507,30.4,5.9,298,$70123471
16,2012,NYY,AL,95,67,.586,162,6231,89,-2,0,-5,-7,75,7.4,229,304,29.7,.504,.504,31.7,-2.1,309,$192967425
17,2011,DET,AL,95,67,.586,162,6231,67,-10,-4,12,-9,56,6.0,231,288,28.2,.503,.503,27.6,0.3,275,$105475231
18,2010,NYY,AL,95,67,.586,162,6379,64,3,7,44,-7,110,12.6,232,343,35.2,.507,.507,30.4,4.8,299,$206733389
19,2014,LAD,NL,94,68,.580,162,6231,74,-6,4,15,59,146,13.7,189,335,32.3,.507,.507,32.0,0.5,321,$220886026
20,2013,PIT,NL,94,68,.580,162,6135,2,-10,2,53,52,99,8.7,188,287,27.3,.505,.505,22.4,4.8,234,$94637000
21,2012,ATL,NL,94,68,.580,162,6126,-78,11,4,73,59,69,7.7,177,246,24.9,.503,.503,15.7,9.5,173,$85728000
22,2012,OAK,AL,94,68,.580,162,6183,-7,12,4,17,-5,22,1.8,230,252,24.2,.501,.501,23.8,0.5,235,$56630000
23,2012,SFG,NL,94,68,.580,162,6200,46,7,7,-4,60,116,12.4,180,296,30.0,.505,.505,29.1,1.0,300,$111157350
24,2011,ARI,NL,94,68,.580,162,6096,-24,2,5,44,54,80,8.2,179,260,25.9,.504,.504,20.5,5.7,215,$53639833
25,2010,MIN,AL,94,68,.580,162,6257,62,-5,-7,-16,-5,30,4.1,230,260,26.4,.502,.502,27.9,-1.3,275,$85409166
