,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,career,games,contracts,years,pitcher,start_ratio
12,Jake Marisnick\marisja01,30,9,Free Agency,6.132,Reynolds Sports M...,1 yr/$1.5M (21) & 22 mutual option,$1M,$500k [FA-*],FA,,,,"[0.2, 1.3, 2.5, 1.7, 2.0, 1.8, 1.5, 0.5399999999999999]","[40.0, 65.0, 133.0, 118.0, 106.0, 103.0, 120.0, 16.0, 30.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'mutual option', 'value': 4000000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Andrew Chafin\chafian01,31,8,Free Agency,6.02,Pro Star Manageme...,1 yr/$2.75M (21) & 22 mutual option,$2.25M,$500k [FA-*],FA,,,,"[0.30000000000000004, 1.6, -0.4, 1.0, 0.7, 0.7, -0.26999999999999996]","[3.0, 66.0, 32.0, 71.0, 77.0, 77.0, 15.0, 30.0]","[{'type': 'salary', 'value': 2250000.0}, {'type': 'mutual option', 'value': 5250000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
14,Trevor Williams\willitr01,29,6,Free Agency,4.027,,1 yr/$2.5M (21),$2.5M,Arb,FA,,,,"[-0.4, 1.6, 3.9, 0.7999999999999999, -2.7]","[7.0, 31.0, 31.0, 26.0, 11.0, 10.0]","[{'type': 'salary', 'value': 2500000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
15,Austin Romine\rominau01,32,10,Free Agency,7.045,Moye Sports Assoc...,1 yr/$1.5M (21),$1.5M,FA,,,,,"[-0.2, -0.5, -0.1, -0.2, -0.2, -0.8, 1.3, 0.7, -0.5399999999999999]","[9.0, 60.0, 7.0, 1.0, 62.0, 80.0, 77.0, 72.0, 37.0, 6.0]","[{'type': 'salary', 'value': 1500000.0}]","[2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Matt Duffy\duffyma01,30,6,Free Agency,5.059,TWC Sports,1 yr/$1M (21),$1M,FA,,,,,"[-0.2, 3.9, 1.0999999999999999, 2.9, 0.1]","[34.0, 149.0, 91.0, 132.0, 46.0, 38.0]","[{'type': 'salary', 'value': 1000000.0}]","[2014, 2015, 2016, 2018, 2019, 2021]",False,
17,Dan Winkler\winklda01,31,7,Free Agency,5.063,MVP Sports Group,1 yr/$900k (21),$900k,FA,,,,,"[-0.1, 0.2, 0.5, 0.2, -0.2, 0.5399999999999999]","[2.0, 3.0, 16.0, 69.0, 27.0, 18.0, 25.0]","[{'type': 'salary', 'value': 900000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
18,Ryan Tepera\teperry01,33,7,Free Agency,5.008,,1 yr/$800k (21),$800k,FA,,,,,"[0.3, 0.2, 1.0, 1.4, 0.1, 0.26999999999999996]","[32.0, 20.0, 73.0, 68.0, 23.0, 21.0, 30.0]","[{'type': 'salary', 'value': 800000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
19,Tony Wolters\wolteto01,29,6,Free Agency,4.161,VC Sports Group,1 yr/$800k (21),$800k,Arb,FA,,,,"[0.9, -0.4, 0.5, 1.7, -0.81]","[71.0, 83.0, 74.0, 121.0, 42.0, 14.0]","[{'type': 'salary', 'value': 800000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
20,Kyle Ryan\ryanky01,29,7,Free Agency,3.139,Frontline,1 yr/$800k (21),$800k,Arb,Arb,FA,,,"[0.3, 0.3, 1.1, -0.2, 1.1, -0.5399999999999999]","[6.0, 16.0, 56.0, 8.0, 73.0, 18.0, 3.0]","[{'type': 'salary', 'value': 800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2019, 2020, 2021]",True,0.0
21,Jonathan Holder\holdejo02,28,5,,3.124,,1 yr/$750k (21),$750k,Arb,Arb,FA,,,"[0.0, 0.5, 0.8, -0.9, 0.26999999999999996]","[8.0, 37.0, 60.0, 34.0, 18.0]","[{'type': 'salary', 'value': 750000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.012738853503184714
22,Eric Sogard\sogarer01,35,11,Free Agency,8.134,Octagon,1 yr/$100k (21),$100k,FA,,,,,"[0.2, 0.3, -0.1, 1.4, 0.7, 1.1, 1.9, -0.8, 3.0999999999999996, -0.81]","[4.0, 27.0, 37.0, 130.0, 117.0, 120.0, 94.0, 55.0, 110.0, 43.0, 56.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2017, 2018, 2019, 2020, 2021]",False,
23,Jose Lobaton\lobatjo01,36,9,,7.041,Athletes X Agency...,1 yr/$100k (21),$100k,FA,,,,,"[-0.2, -0.1, -0.1, 1.5, 0.7, -0.6, 0.3, -0.9, -0.5]","[7.0, 15.0, 69.0, 100.0, 66.0, 44.0, 39.0, 51.0, 22.0]","[{'type': 'salary', 'value': 100000.0}]","[2009, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",False,
24,Andrew Romine\rominan01,35,10,,6.06,Moye Sports Assoc...,1 yr/$100k (21),$100k,FA,,,,,"[-0.3, -0.2, 0.1, 0.6, 0.7, 0.7, 0.5, -1.1, -0.1, 0.0]","[5.0, 10.0, 12.0, 47.0, 94.0, 109.0, 108.0, 124.0, 72.0, 2.0]","[{'type': 'salary', 'value': 100000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2020]",False,
25,Adam Morgan\morgaad01,31,6,,5.017,CAA Sports,1 yr/$100k (21),$100k,FA,,,,,"[0.7, -1.1, 0.7999999999999999, 0.7, 0.3, 0.0]","[15.0, 23.0, 37.0, 67.0, 40.0, 17.0]","[{'type': 'salary', 'value': 100000.0}]","[2015, 2016, 2017, 2018, 2019, 2020]",True,0.18090452261306533
26,Rex Brothers\brothre01,33,9,Free Agency,4.163,Jet Sports Manage...,1 yr/$100k (21),$100k,Arb,FA,,,,"[1.0, 1.4, 3.1, -0.9, 0.5, -0.4, 0.0, -0.26999999999999996]","[48.0, 75.0, 72.0, 74.0, 17.0, 27.0, 1.0, 3.0, 24.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2011, 2012, 2013, 2014, 2015, 2017, 2018, 2020, 2021]",True,0.0
27,Joe Biagini\biagijo01,31,5,,4.081,,1 yr/$100k (21),$100k,Arb,FA,,,,"[0.9, -0.3, -0.3, 0.29999999999999993, -1.0799999999999998]","[60.0, 44.0, 50.0, 63.0, 4.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.09954751131221719
