,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
22,Kevin Newman\newmake01,27,4,Amateur Draft,2.046,,,,,Arb,"[-1.1, 3.0, -1.0799999999999998]","[31.0, 130.0, 44.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
23,Christian Bethancourt\bethach01,29,5,,2.038,Scott Boras,,,,Arb,"[0.0, -0.3, -0.1, -0.1, -0.1]","[1.0, 31.0, 48.0, 73.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2016, 2017]",False,
24,Clay Holmes\holmecl01,28,4,Free Agency,2.031,,,,,Arb,"[-0.5, -0.4, 0.26999999999999996]","[11.0, 35.0, 1.0, 28.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
25,Andrew Susac\susacan01,31,6,Free Agency,2.012,The Legacy Agency,,,,Arb,"[0.7, 0.1, 0.1, -0.2, -0.3, 0.0]","[35.0, 52.0, 9.0, 8.0, 9.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018, 2020]",False,
26,Michael Perez\perezmi03,28,4,Waivers,2.0,,,,,Arb,"[0.5, 0.3, -0.26999999999999996]","[24.0, 22.0, 38.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
27,Bryan Reynolds\reynobr01,26,3,Traded,1.163,,,,,Arb,"[4.1, 1.35]","[134.0, 55.0, 61.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
28,Anthony Alford\alforan01,26,5,Waivers,1.142,Jet Sports,,,,Arb,"[0.2, -0.2, -0.1, -0.8100000000000002]","[4.0, 13.0, 16.0, 18.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
29,Tyler Bashlor\bashlty01,28,3,Purchased,1.139,,,,,Arb,"[0.1, -0.4, -0.81]","[24.0, 24.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
30,Sam Howard\howarsa01,28,4,Waivers,1.105,,,,,Arb,"[0.1, -0.3, 0.26999999999999996]","[4.0, 20.0, 22.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
31,Cole Tucker\tuckeco01,24,3,Amateur Draft,1.08,,,,,Arb,"[0.2, -2.43]","[56.0, 37.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
