,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
11,Dansby Swanson\swansda01,27,6,Traded,4.047,Excel Sports,1 yr/$6M (21),$6M,Arb,FA,,,,,,"[1.1, -0.1, 2.2, 0.9, 7.290000000000001]","[38.0, 144.0, 136.0, 127.0, 60.0, 62.0]","[{'type': 'salary', 'value': 6000000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
12,Orlando Arcia\arciaor01,26,6,,4.047,,1 yr/$2M (21),$2M,Arb,FA,,,,,,"[0.3, 2.3, 0.4, -0.7, 0.81]","[55.0, 153.0, 119.0, 152.0, 59.0, 4.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Max Fried\friedma01,27,5,Traded,2.148,CAA Sports,1 yr/$3.5M (21),$3.5M,Arb,Arb,Arb,FA,,,,"[0.2, 0.7, 3.3, 8.37]","[9.0, 14.0, 33.0, 11.0, 10.0]","[{'type': 'salary', 'value': 3500000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,1.0
14,Mike Soroka\sorokmi01,23,3,Amateur Draft,2.146,,1 yr/$2.8M (21),$2.8M,Arb,Arb,Arb,FA,,,,"[-0.1, 5.9, 0.81]","[5.0, 29.0, 3.0]","[{'type': 'salary', 'value': 2800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,1.0
15,Johan Camargo\camarjo01,27,5,Amateur Free Agent,3.098,,1 yr/$1.36M (21),$1.36M,Arb,Arb,FA,,,,,"[1.3, 3.2, -0.9, 0.0]","[82.0, 134.0, 98.0, 35.0, 14.0]","[{'type': 'salary', 'value': 1360000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
16,Luke Jackson\jackslu01,29,7,Free Agency,4.019,Beverly Hills Spo...,1 yr/$1.9M (21),$1.9M,Arb,FA,,,,,,"[0.0, -0.7, 0.3, -0.2, 0.8, -1.0799999999999998]","[7.0, 8.0, 43.0, 35.0, 70.0, 19.0, 26.0]","[{'type': 'salary', 'value': 1900000.0}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
17,Ehire Adrianza\adriaeh01,31,9,Free Agency,6.131,Munger English Sp...,1 yr/$1.5M (21),$1.5M,FA,,,,,,,"[0.1, -0.5, 0.2, -0.1, 0.4, 0.0, 0.9, 0.5399999999999999]","[9.0, 53.0, 52.0, 40.0, 70.0, 114.0, 83.0, 44.0, 47.0]","[{'type': 'salary', 'value': 1500000.0}]","[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
18,A.J. Minter\minteaj01,27,5,Amateur Draft,2.162,SSG Baseball,1 yr/$1.3M (21),$1.3M,Arb,Arb,Arb,FA,,,,"[0.4, 0.7, -0.7, 3.24]","[16.0, 65.0, 36.0, 22.0, 28.0]","[{'type': 'salary', 'value': 1300000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
19,Josh Tomlin\tomlijo01,36,12,Free Agency,10.033,SSG Baseball,1 yr/$1.25M (21) & 22 team option,$1M,$250k [FA-*],FA,,,,,,"[0.4, 2.4, -1.0, 0.1, -0.4, 2.0, 1.2000000000000002, 0.7, -1.0, 1.0999999999999999, 1.62]","[12.0, 26.0, 21.0, 1.0, 25.0, 10.0, 30.0, 26.0, 32.0, 51.0, 17.0, 20.0]","[{'type': 'salary', 'value': 1000000.0}, {'type': 'team option', 'value': 1250000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
20,Yolmer Sanchez\sanchca01,29,7,,5.04,MVP Sports Group,1 yr/$1.1M (21),$1.1M,FA,,,,,,,"[-0.4, 0.1, -0.3, 3.4, 2.5, 1.3, 0.81]","[28.0, 120.0, 53.0, 141.0, 155.0, 149.0, 11.0]","[{'type': 'salary', 'value': 1100000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020]",False,
