,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,career,games,contracts,years,pitcher,start_ratio
10,Chad Pinder\pindech01,29,6,Amateur Draft,4.047,Icon Sports,1 yr/$2.28M (21),$2.27M,Arb,FA,"[-0.4, 0.9, 2.1, 1.6, 0.26999999999999996]","[22.0, 87.0, 110.0, 124.0, 24.0, 25.0]","[{'type': 'salary', 'value': 2275000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Sergio Romo\romose01,38,14,Free Agency,12.097,Meister Sports Mg...,1 yr/$2.25M (21),$2.25M,FA,,"[0.6, 0.5, 1.7, 1.7, 1.9, 0.8, 0.2, 0.9, 0.7, 0.5, 0.2, 0.6, 0.0]","[29.0, 45.0, 68.0, 65.0, 69.0, 65.0, 64.0, 70.0, 40.0, 55.0, 73.0, 65.0, 24.0, 24.0]","[{'type': 'salary', 'value': 2250000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
12,Mitch Moreland\morelmi01,35,12,Free Agency,10.067,RMG Baseball,1 yr/$2.25M (21),$2.25M,FA,,"[0.9, 0.0, 0.5, 0.7, -0.4, 2.3, 1.0, 1.9, 1.5, 1.4, 3.51]","[47.0, 134.0, 114.0, 147.0, 52.0, 132.0, 147.0, 149.0, 124.0, 91.0, 42.0, 43.0]","[{'type': 'salary', 'value': 2250000.0}]","[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
13,Frankie Montas\montafr02,28,6,Traded,3.015,Republik Sports,1 yr/$1.8M (21),$1.8M,Arb,Arb,"[0.0, -0.5, 0.1, 2.3, -1.35]","[7.0, 23.0, 13.0, 16.0, 11.0, 13.0]","[{'type': 'salary', 'value': 1800000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2017, 2018, 2019, 2020, 2021]",True,1.0
14,Cam Bedrosian\bedroca01,29,8,Free Agency,5.153,,1 yr/$1.5M (21),$1.5M,FA,,"[-0.7, -0.4, 1.4, -0.3, 0.3, 0.7, 1.0799999999999998]","[17.0, 34.0, 45.0, 48.0, 71.0, 59.0, 11.0, 11.0]","[{'type': 'salary', 'value': 1500000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
15,Tony Kemp\kempto01,29,6,Traded,3.098,,1 yr/$1.05M (21),$1.05M,Arb,Arb,"[-0.5, 0.0, 0.6, 0.19999999999999998, -0.26999999999999996]","[59.0, 17.0, 97.0, 110.0, 49.0, 46.0]","[{'type': 'salary', 'value': 1050000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Lou Trivino\trivilo01,29,4,Amateur Draft,2.163,,1 yr/$912k (21),$912k,Arb,Arb,"[1.5, -0.9, 0.5399999999999999]","[69.0, 61.0, 20.0, 28.0]","[{'type': 'salary', 'value': 912000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
17,Burch Smith\smithbu03,31,5,Purchased,3.095,The Legacy Agency,1 yr/$705k (21),$705k,Arb,Arb,"[-0.7, -1.1, -0.09999999999999998, 0.81]","[10.0, 38.0, 17.0, 6.0, 13.0]","[{'type': 'salary', 'value': 705000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2018, 2019, 2020, 2021]",True,0.0
18,Jed Lowrie\lowrije01,37,13,Free Agency,12.111,Excel Sports Mana...,1 yr/$100k (21),$100k,FA,,"[1.6, -0.5, 1.6, 0.6, 2.2, 2.2, 1.0, 1.1, -0.4, 3.6, 4.0, 0.0]","[81.0, 32.0, 55.0, 88.0, 97.0, 154.0, 136.0, 69.0, 87.0, 153.0, 157.0, 9.0, 61.0]","[{'type': 'salary', 'value': 100000.0}]","[2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021]",False,
19,Carlos Perez\perezca02,30,4,,2.167,TLA Worldwide,1 yr/$100k (21),$100k,Arb,Arb,"[1.4, 0.7, -0.2, -0.9]","[86.0, 87.0, 11.0, 28.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018]",False,
20,Deolis Guerra\guerrde01,32,6,Free Agency,2.071,,1 yr/$100k (21),$100k,Arb,Arb,"[-0.4, 0.4, 0.0, -0.2, -1.0799999999999998]","[10.0, 44.0, 19.0, 1.0, 9.0, 16.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2019, 2020, 2021]",True,0.0
21,Mike Fiers\fiersmi01,36,11,Free Agency,7.085,RMG Baseball,,FA,,,"[0.1, 1.4, -1.1, 2.2, 1.8, 0.1, -0.4, 3.9000000000000004, 2.7, 1.62]","[2.0, 23.0, 11.0, 14.0, 31.0, 31.0, 29.0, 31.0, 33.0, 11.0, 2.0]",[],"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,1.0
22,Adam Kolarek\kolarad01,32,5,Traded,2.111,L. Warner Compani...,,,,Arb,"[-0.2, 0.1, 0.7, 2.1599999999999997]","[12.0, 31.0, 80.0, 20.0, 12.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
23,Pete Kozma\kozmape01,33,7,,3.094,Hendricks Sports,,Arb,,Arb,"[0.0, 1.2, -0.3, 0.2, -0.8, -1.0, 0.1]","[16.0, 26.0, 143.0, 14.0, 76.0, 39.0, 27.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2011, 2012, 2013, 2014, 2015, 2017, 2018]",False,
24,A.J. Puk\pukaj01,26,2,Amateur Draft,1.041,,,,,Arb,[0.2],"[10.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",True,0.0
25,Ramon Laureano\laurera01,26,4,Traded,2.059,Pinnacle Sports G...,,,,Arb,"[2.2, 3.5, 4.05]","[48.0, 123.0, 54.0, 48.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
26,J.B. Wendelken\wendejb01,28,5,Traded,2.028,,,,,Arb,"[-0.3, 0.6, 0.3, 1.89]","[8.0, 13.0, 27.0, 21.0, 15.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2018, 2019, 2020, 2021]",True,0.0
27,Francisco Pena\penafr01,31,5,,2.009,Rep 1 Baseball,,,,Arb,"[0.1, 0.0, -0.2, 0.3, -1.1]","[1.0, 8.0, 14.0, 5.0, 58.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2016, 2017, 2018]",False,
28,Vimael Machin\machivi01,27,2,Purchased,1.0,,,,,Arb,[-0.81],"[24.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
29,Paul Blackburn\blackpa01,27,4,Traded,1.143,Sosnick Cobbe & K...,,,,Arb,"[1.5, -0.7999999999999999, -0.5, -0.81]","[10.0, 6.0, 4.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",True,0.8571428571428571
30,Aramis Garcia\garciar01,28,3,Traded,1.086,,,,,Arb,"[0.2, -0.3]","[19.0, 18.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2021]",False,
31,Sean Murphy\murphse01,26,3,Amateur Draft,1.029,,,,,Arb,"[0.6, 3.24]","[20.0, 43.0, 53.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
32,Jesus Luzardo\luzarje01,23,3,Traded,1.021,MVP Sports Group,,,,Arb,"[0.6, 1.62]","[6.0, 12.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.5454545454545454
33,Brett Graves\gravebr01,28,1st,,1.0,,,,,Arb,[-0.3],[21.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2018],True,0.0
34,Austin Allen\allenau01,27,3,Traded,0.171,,,,,Arb,"[-0.3, -0.5399999999999999]","[34.0, 14.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
35,Jordan Weems\weemsjo01,28,2,Free Agency,0.161,,,,,Arb,[0.5399999999999999],"[9.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
36,Reymin Guduan\guduare01,29,4,Free Agency,0.104,,,,,,"[-0.4, 0.1, -0.4]","[22.0, 3.0, 7.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",True,0.0
37,Zac Reininger\reiniza01,28,3,,0.161,,,,,Arb,"[-0.1, -0.4, -0.6]","[10.0, 18.0, 25.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019]",True,0.018867924528301886
38,Cole Irvin\irvinco01,27,3,Purchased,0.12,,,,,,"[-0.19999999999999998, -0.81]","[16.0, 3.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
39,Seth Brown\brownse01,28,3,Amateur Draft,0.104,,,,,,"[0.8, -0.26999999999999996]","[26.0, 7.0, 51.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
40,Tanner Anderson\anderta01,28,2,Traded,0.068,,,,,,"[-0.3, -0.2]","[6.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.45454545454545453
41,James Kaprielian\kaprija01,27,2,Traded,0.031,,,,,,[-0.26999999999999996],"[2.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
42,Montana DuRapau\durapmo01,29,1st,,0.03,,,,,,[-0.8],[14.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,0.14285714285714285
43,Skye Bolt\boltsk01,27,2,Purchased,0.018,,,,,,[-0.1],"[5.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
44,Frank Schwindel\schwifr01,29,1st,,0.015,,,,,,[-0.3],[6.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],False,
45,Daulton Jefferies\jeffeda01,25,1st,Amateur Draft,0.003,,,,,,[-0.81],[1.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,1.0
