,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,career,games,contracts,years,pitcher,start_ratio
38,Greg Allen\allengr01,28,4,,2.01,,,,,Arb,Arb,FA,,,,"[-0.2, 0.4, 0.3, 0.26999999999999996]","[25.0, 91.0, 89.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020]",False,
39,Kyle Higashioka\higasky01,31,5,Free Agency,2.005,Beverly Hills Spo...,,,,Arb,Arb,FA,,,,"[-0.2, -0.2, 0.0, 1.0799999999999998]","[9.0, 29.0, 18.0, 16.0, 31.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
40,Sal Romano\romansa01,27,5,,1.167,Wasserman,,,,Arb,Arb,Arb,FA,,,"[0.09999999999999998, -0.8, -0.4, 0.26999999999999996]","[16.0, 39.0, 12.0, 2.0, 14.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
41,Nestor Cortes Jr.\cortene01,26,4,Free Agency,1.139,,,,,Arb,Arb,Arb,FA,,,"[-0.1, -0.3, -1.62]","[4.0, 33.0, 5.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
42,Socrates Brito\britoso01,28,4,,1.123,The L. Warner Com...,,,,Arb,Arb,Arb,FA,,,"[0.6, -0.5, -0.3, -0.8]","[18.0, 40.0, 24.0, 17.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2018, 2019]",False,
43,Kaleb Cowart\cowarka01,29,5,,1.095,ISE Baseball,,,,Arb,Arb,Arb,FA,,,"[-0.1, -0.4, 0.4, -1.2, -0.1]","[34.0, 31.0, 50.0, 47.0, 9.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019]",False,
44,Ryan LaMarre\lamarry01,32,6,Free Agency,1.062,,,,,Arb,Arb,Arb,FA,,,"[-0.5, -0.1, -0.1, 0.39999999999999997, 0.0]","[21.0, 5.0, 3.0, 76.0, 14.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018, 2019, 2021]",False,
45,Andrew Velazquez\velazan01,26,3,,1.062,,,,,Arb,Arb,Arb,FA,,,"[0.3, -0.2, 0.81]","[13.0, 15.0, 40.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",False,
46,Michael King\kingmi01,26,3,Traded,1.008,,,,,Arb,Arb,Arb,FA,,,"[0.0, -1.62]","[1.0, 9.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.3
47,Reggie McClain\mcclare01,28,2,,1.006,,,,,Arb,Arb,Arb,FA,,,"[0.0, -0.5399999999999999]","[14.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.10526315789473684
48,Nick Nelson\nelsoni01,25,2,Amateur Draft,0.144,Beverly Hills Spo...,,,,,Arb,Arb,Arb,FA,,[-0.26999999999999996],"[11.0, 8.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.125
49,Deivi Garcia\garcide01,22,2,Amateur Free Agent,0.058,,,,,,Arb,Arb,Arb,FA,,[0.5399999999999999],"[6.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
50,Albert Abreu\abreual01,25,2,Traded,0.025,,,,,,Arb,Arb,Arb,FA,,[-0.81],"[2.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
51,Brooks Kriske\kriskbr01,27,2,Amateur Draft,0.044,,,,,,Arb,Arb,Arb,FA,,[-1.0799999999999998],"[4.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
52,Clarke Schmidt\schmicl01,25,1st,Amateur Draft,0.031,,,,,,Arb,Arb,Arb,FA,,[-0.5399999999999999],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.3333333333333333
53,Estevan Florial\flories01,23,2,Amateur Free Agent,0.011,,,,,,Arb,Arb,Arb,FA,,[0.0],"[1.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",False,
