,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,career,games,contracts,years,pitcher,start_ratio
10,Jurickson Profar\profaju01,28,8,Free Agency,6.165,Scott Boras,1 yr/$5.33M (21) & 22-24 player/mutual option,$4.33M,$1M [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,,,,,,,"[-0.2, 0.1, 0.4, 0.0, 1.7, 0.0, 3.51]","[9.0, 85.0, 90.0, 22.0, 146.0, 139.0, 56.0, 59.0]","[{'type': 'salary', 'value': 4333333.0}, {'type': 'player option', 'value': 7333334.0}, {'type': 'player option', 'value': 8333333.0}, {'type': 'mutual option', 'value': 10000000.0}]","[2012, 2013, 2016, 2017, 2018, 2019, 2020, 2021]",False,
11,Pierce Johnson\johnspi01,30,4,Free Agency,1.137,John Boggs,2 yrs/$5M (20-21) & 22 team option,$2M,$1M [*],Arb,Arb,Arb,FA,,,,,,,,,"[-0.1, -0.4, 1.0799999999999998]","[1.0, 37.0, 24.0, 25.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'team option', 'value': 3000000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2020, 2021]",True,0.0
12,Joe Musgrove\musgrjo01,28,6,Traded,4.063,,1 yr/$4.45M (21),$4.45M,Arb,FA,,,,,,,,,,,,"[0.5, 0.0, 1.4000000000000001, 2.0, 1.62]","[11.0, 38.0, 19.0, 32.0, 8.0, 13.0]","[{'type': 'salary', 'value': 4450000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.9230769230769231
13,Dinelson Lamet\lametdi01,28,4,Amateur Free Agent,3.13,MVP Sports Group,1 yr/$4.2M (21),$4.2M,Arb,Arb,FA,,,,,,,,,,,"[0.39999999999999997, 0.5, 5.94]","[21.0, 14.0, 12.0, 8.0]","[{'type': 'salary', 'value': 4200000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2019, 2020, 2021]",True,0.75
14,Mark Melancon\melanma01,36,13,Free Agency,10.098,ISE Baseball,1 yr/$3M (21) & 22 mutual option,$2M,$1M [FA-*],FA,,,,,,,,,,,,"[0.2, 0.0, 1.0, -0.6, 2.1, 2.4, 1.8, 2.8, 0.2, 0.0, 1.0, 2.7]","[13.0, 22.0, 71.0, 41.0, 72.0, 72.0, 78.0, 75.0, 32.0, 41.0, 66.0, 23.0, 26.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'mutual option', 'value': 5000000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
15,Matt Strahm\strahma01,29,5,Traded,4.064,Platinum Sports,1 yr/$2M (21),$2M,Arb,FA,,,,,,,,,,,,"[1.1, 0.0, 1.5, 1.2000000000000002, 1.35]","[21.0, 24.0, 41.0, 46.0, 19.0]","[{'type': 'salary', 'value': 2000000.0}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020]",True,0.15894039735099338
16,Emilio Pagan\paganem01,30,5,Traded,3.091,,1 yr/$1.57M (21),$1.57M,Arb,Arb,FA,,,,,,,,,,,"[0.7, 0.2, 2.2, 0.26999999999999996]","[34.0, 55.0, 66.0, 22.0, 27.0]","[{'type': 'salary', 'value': 1570000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
17,Victor Caratini\caratvi01,27,5,Traded,3.051,,1 yr/$1.3M (21),$1.3M,Arb,Arb,FA,,,,,,,,,,,"[0.2, 0.1, 1.0, -0.26999999999999996]","[31.0, 76.0, 95.0, 44.0, 49.0]","[{'type': 'salary', 'value': 1300000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",False,
18,Brian O'Grady\ogradbr01,29,3,Free Agency,0.073,L. Warner Compani...,1 yr/$650k (21),$650k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,,,,,"[0.1, 0.26999999999999996]","[28.0, 2.0, 19.0]","[{'type': 'salary', 'value': 650000.0}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
19,Keone Kela\kelake01,28,7,Free Agency,6.0,Beverly Hills Spo...,1 yr/$1.2M (21) & 22 team option,$1.2M,$0 [FA-*],FA,,,,,,,,,,,,"[1.8, -0.4, 1.3, 1.4, 1.3, 0.0]","[68.0, 35.0, 39.0, 54.0, 32.0, 3.0, 12.0]","[{'type': 'salary', 'value': 1200000.0}, {'type': 'team option', 'value': 800000.0}]","[2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
20,Dan Altavilla\altavda01,28,6,Traded,3.063,,1 yr/$850k (21),$850k,Arb,Arb,FA,,,,,,,,,,,"[0.5, -0.1, 0.5, 0.0, -0.81]","[15.0, 41.0, 22.0, 17.0, 22.0, 2.0]","[{'type': 'salary', 'value': 850000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",True,0.0
21,Pedro Florimon\floripe01,34,8,,3.126,Reynolds Sports M...,,Arb,,Arb,FA,,,,,,,,,,,"[-0.1, 0.9, 1.2, -0.1, -0.2, -0.2, 0.6, -0.3]","[4.0, 43.0, 134.0, 33.0, 24.0, 18.0, 15.0, 50.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018]",False,
22,Nick Burdi\burdini01,28,3,,3.0,Sosnick Cobbe & K...,,Arb (~$600k),,Arb,FA,,,,,,,,,,,"[-0.2, -0.4, 0.0]","[2.0, 11.0, 3.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
23,James Norwood\norwoja01,27,3,,1.07,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[-0.2, 0.1, -0.26999999999999996]","[11.0, 9.0, 3.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.0
24,Jose Castillo\castijo03,25,2,Traded,2.121,,,,,Arb,Arb,FA,,,,,,,,,,"[0.5, 0.0]","[37.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0
25,Tim Hill\hillti01,31,4,Traded,2.112,,,,,Arb,Arb,FA,,,,,,,,,,"[-0.3, 0.8, 0.0]","[70.0, 46.0, 23.0, 30.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
26,Trey Wingenter\wingetr01,27,2,Amateur Draft,2.053,,,,,Arb,Arb,FA,,,,,,,,,,"[0.1, -0.5]","[22.0, 51.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019]",True,0.0136986301369863
27,Nick Ramirez\ramirni01,31,3,Free Agency,1.021,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[0.8, 0.0]","[46.0, 5.0, 7.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,0.0
28,Taylor Williams\willita01,29,5,Traded,2.034,NWSMG/Nik Lubisic...,,,,Arb,Arb,FA,,,,,,,,,,"[0.1, -0.4, -0.8, -0.81]","[5.0, 56.0, 10.0, 15.0, 5.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
29,Miguel Diaz\diazmi02,26,4,Free Agency,2.026,,,,,Arb,Arb,FA,,,,,,,,,,"[-0.9, -0.1, -0.1]","[31.0, 11.0, 5.0, 10.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2021]",True,0.1
30,Austin Adams\adamsau02,30,5,Traded,2.015,,,,,Arb,Arb,FA,,,,,,,,,,"[0.0, 0.1, 0.7, 0.0]","[6.0, 2.0, 30.0, 3.0, 27.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2017, 2018, 2019, 2020, 2021]",True,0.0
31,Chris Paddack\paddach01,25,3,Traded,2.0,Scott Boras,,,,Arb,Arb,FA,,,,,,,,,,"[2.5, 0.26999999999999996]","[26.0, 12.0, 11.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",True,1.0
32,Austin Nola\nolaau01,31,3,Traded,1.106,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[1.4, 3.24]","[79.0, 48.0, 18.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
33,Trent Grisham\grishtr01,24,3,Traded,1.06,,,,,Arb,Arb,Arb,FA,,,,,,,,,"[0.6, 6.75]","[51.0, 59.0, 37.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
