,Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,career,games,contracts,years,pitcher,start_ratio
14,Jhoulys Chacin\chacijh01,33,13,Free Agency,9.087,Rep 1 Baseball,1 yr/$800k (21),$800k,FA,,,"[0.1, 2.2, 4.1000000000000005, 2.3, 6.0, 0.5, 0.4, 0.5, 2.9, 2.1, -0.6, -0.26999999999999996]","[9.0, 28.0, 31.0, 14.0, 31.0, 11.0, 5.0, 34.0, 32.0, 35.0, 25.0, 2.0, 11.0]","[{'type': 'salary', 'value': 800000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",True,0.09090909090909091
15,C.J. Cron\croncj01,31,8,Free Agency,6.097,Moye Sports Assoc...,1 yr/$100k (21),$100k,FA,,,"[-0.1, 0.4, 1.9, 1.1, 2.3, 1.5, 0.81]","[79.0, 113.0, 116.0, 100.0, 140.0, 125.0, 13.0, 50.0]","[{'type': 'salary', 'value': 100000.0}]","[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
16,Greg Bird\birdgr01,28,4,,4.095,The Legacy Agency,1 yr/$100k (21),$100k,Arb,FA,,"[0.7, 0.0, 0.1, -0.3]","[46.0, 48.0, 82.0, 10.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}]","[2015, 2017, 2018, 2019]",False,
17,Chi Chi Gonzalez\gonzach01,29,5,Free Agency,2.149,,1 yr/$100k (21),$100k,Arb,Arb,Arb,"[1.0, -0.5, 0.39999999999999997, 0.26999999999999996]","[14.0, 3.0, 14.0, 6.0, 12.0]","[{'type': 'salary', 'value': 100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2019, 2020, 2021]",True,0.6666666666666666
18,Ian Desmond\desmoia01,35,11,Free Agency,10.027,CAA Sports,,FA,,,,"[0.1, 1.1, 1.4, 3.4, 4.4, 4.1, 2.0, 2.2, -1.0, -0.1, -1.4]","[21.0, 154.0, 154.0, 130.0, 158.0, 154.0, 156.0, 156.0, 95.0, 160.0, 140.0]","[{'type': 'salary', 'value': 8000000.0}, {'type': 'team option', 'value': 15000000.0}]","[2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019]",False,
19,Matt Adams\adamsma01,32,10,Free Agency,7.152,Wasserman,,FA,,,,"[-0.1, 1.2, 2.2, 0.0, 0.5, 0.10000000000000003, 0.9999999999999999, 0.6, -1.35]","[27.0, 108.0, 142.0, 60.0, 118.0, 131.0, 121.0, 111.0, 16.0, 17.0]",[],"[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
20,Chris Owings\owingch01,29,9,Free Agency,6.131,Brandon O'Hearn,,FA,,,,"[0.2, 1.6, -0.2, 1.0, 1.0, -0.4, -1.1, 0.5399999999999999]","[20.0, 91.0, 147.0, 119.0, 97.0, 106.0, 66.0, 17.0, 7.0]",[],"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021]",False,
21,Chris Rusin\rusinch01,34,9,Waivers,5.014,Sports One Athlet...,,Arb,,,,"[-0.30000000000000004, 0.6, -0.2, 0.30000000000000004, 2.0, 2.5, -0.7000000000000001, -0.2, -0.26999999999999996]","[7.0, 13.0, 4.0, 24.0, 29.0, 60.0, 49.0, 2.0, 1.0]","[{'type': 'arb', 'value': None}]","[2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",True,0.25925925925925924
22,Rio Ruiz\ruizri01,27,6,,2.109,Scott Boras,,,,Arb,Arb,"[0.1, -0.3, 0.1, 0.4, 2.1599999999999997]","[5.0, 53.0, 14.0, 127.0, 54.0, 32.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018, 2019, 2020, 2021]",False,
23,Zac Rosscup\rosscza01,33,6,Traded,4.09,Magnus Sports,,Arb,,FA,,"[0.2, -0.6, -0.1, 0.0, 0.0, -0.2]","[10.0, 18.0, 33.0, 10.0, 17.0, 28.0]","[{'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2013, 2014, 2015, 2017, 2018, 2019]",True,0.0
24,Jairo Diaz\diazja01,30,5,Free Agency,3.083,,,Arb (~$1.2M),,Arb,FA,"[0.1, 0.7, -0.1, 0.5, -1.62]","[5.0, 21.0, 4.0, 56.0, 24.0]","[{'type': 'salary', 'value': 1100000.0}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2014, 2015, 2017, 2019, 2020]",True,0.0
25,Kelby Tomlinson\tomlike01,31,4,,2.115,Sports Pro Servic...,,,,Arb,Arb,"[0.7, 0.7, 0.3, -0.1]","[54.0, 52.0, 104.0, 63.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2015, 2016, 2017, 2018]",False,
26,Sam Hilliard\hillisa01,27,3,Amateur Draft,1.034,,,,,Arb,Arb,"[0.6, 0.5399999999999999]","[27.0, 36.0, 20.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
27,Garrett Hampson\hampsga01,26,4,Amateur Draft,2.03,,,,,Arb,Arb,"[0.1, 0.4, 0.5399999999999999]","[24.0, 105.0, 53.0, 62.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",False,
28,Tyler Kinley\kinlety01,30,4,Waivers,2.014,,,,,Arb,Arb,"[-0.5, 0.8, 0.5399999999999999]","[13.0, 52.0, 24.0, 26.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
29,Yency Almonte\almonye01,27,4,Traded,1.168,,,,,Arb,Arb,"[0.4, 0.0, 1.89]","[14.0, 28.0, 24.0, 22.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020, 2021]",True,0.0
30,Peter Lambert\lambepe01,24,1st,Amateur Draft,1.116,,,,,Arb,Arb,[-0.29999999999999993],[19.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],True,1.0
31,Austin Gomber\gombeau01,27,3,Traded,1.111,,,,,Arb,Arb,"[0.30000000000000004, 1.89]","[29.0, 14.0, 13.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2020, 2021]",True,1.0
32,Dereck Rodriguez\rodride01,29,3,,1.102,,,,,Arb,Arb,"[2.1999999999999997, -1.3, -0.81]","[21.0, 28.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2019, 2020]",True,0.6862745098039216
33,Taylor Motter\motteta01,31,3,,1.078,,,,,Arb,Arb,"[0.2, -0.8, -0.19999999999999998]","[33.0, 92.0, 16.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2016, 2017, 2018]",False,
34,Brendan Rodgers\rodgebr02,24,3,Amateur Draft,1.075,,,,,Arb,Arb,"[-0.6, -1.35]","[25.0, 7.0, 19.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
35,Joe Harvey\harvejo01,29,2,Free Agency,1.049,Beverly Hills Spo...,,,,Arb,Arb,"[0.0, 0.26999999999999996]","[18.0, 4.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
36,Joshua Fuentes\fuentjo01,28,3,Amateur Free Agent,1.015,,,,,Arb,Arb,"[-0.1, 2.43]","[24.0, 30.0, 61.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020, 2021]",False,
37,Ryan Castellani\castery01,25,2,Amateur Draft,0.144,,,,,,Arb,[0.26999999999999996],"[10.0, 1.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,1.0
38,Jose Briceno\bricejo01,28,2,,0.153,Beverly Hills Spo...,,,,Arb,Arb,"[0.5, 0.0]","[46.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2018, 2020]",False,
39,Jesus Tinoco\tinocje01,26,2,Waivers,0.135,,,,,,Arb,"[0.1, 0.8100000000000002]","[24.0, 6.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2020]",True,0.0
40,Jose Mujica\mujicjo01,25,1st,Free Agency,0.054,,,,,,Arb,[-1.35],[2.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
41,Yonathan Daza\dazayo01,27,2,Amateur Free Agent,0.101,Munger English Sp...,,,,,Arb,[-0.8],"[44.0, 55.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
42,Antonio Santos\santoan02,24,2,Amateur Free Agent,0.05,,,,,,Arb,[-0.81],"[3.0, 2.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2020, 2021]",True,0.0
43,Dom Nunez\nunezdo01,26,2,Amateur Draft,0.048,,,,,,Arb,[-0.1],"[16.0, 41.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
44,Connor Joe\joeco01,28,2,Free Agency,0.017,,,,,,Arb,[-0.1],"[8.0, 23.0]","[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]","[2019, 2021]",False,
45,Tommy Doyle\doyleto01,25,1st,Amateur Draft,0.014,,,,,,Arb,[-0.5399999999999999],[3.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2020],True,0.0
46,Eric Stamets\stameer01,29,1st,,0.019,,,,,,Arb,[-0.7],[15.0],"[{'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'pre-arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}, {'type': 'arb', 'value': None}]",[2019],False,
