Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Yoan Moncada","CHW","INF","MLB",1,1,,"70",2017,,"21","6' 2""","205","S","R","j2 2015","Cuba","9iT9egpGDX8","17232"
"Andrew Benintendi","BOS","OF","MLB",2,1,,"65",2017,,"22","5' 10""","175","L","L","1st rd 2015","Arkansas","N5jHX2gf_x8","17901"
"Amed Rosario","NYM","SS","MLB",3,1,,"65",2017,,"21","6' 2""","170","R","R","J2 2012","Dominican Republic","Do8MDHiurtQ","15518"
"Dansby Swanson","ATL","SS","MLB",4,1,,"65",2017,,"23","6' 1""","190","R","R","1st rd 2015","Vanderbilt","DV4QumfIO2E","18314"
"Austin Meadows","PIT","OF","MLB",5,1,,"65",2017,,"21","6' 3""","200","L","L","1st rd 2013","Grayson HS (GA)","DGW11I8agcw","15672"
"Alex Reyes","StL","RHP",,6,1,,"65",2017,,"22","6' 3""","220","R","R","J2 2012","Dominican Republlic","Z_2KQ7Utxy4","15015"
"Gleyber Torres","NYY","SS","MLB",7,1,,"60",2018,,"20","6' 1""","185","R","R","J2 2013","Venezuela","","16997"
"Victor Robles","WSN","CF","MLB",8,1,,"60",2019,,"19","6' 0""","185","R","R","J2 2013","Dominican Republic","","18363"
"J.P. Crawford","PHI","SS","MLB",9,1,,"60",2017,,"22","6' 2""","180","L","R","1st rd 2013","Lakewood HS (CA)","3LZkPwA2Qd4","15491"
"Anderson Espinoza","SDP","RHP","A",10,1,,"60",2019,,"18","6' 0""","170","R","R","J2 2014","Venezuela","eF2DdHl9_dQ","sa872856"
"Ozzie Albies","ATL","2B","MLB",11,2,,"60",2018,,"20","5' 9""","160","S","R","J2 2013","Curacao","Dojauvbby9k","16556"
"Yadier Alvarez","LAD","RHP",,12,1,,"60",2019,,"20","6' 3""","175","R","R","J2 2015","Cuba","GPeREXyoEzQ","sa868984"
"Cody Bellinger","LAD","1B","MLB",13,2,,"60",2017,,"21","6' 4""","220","L","L","4th rd 2013","Hamilton HS (AZ)","8FXTEFUVRe8","15998"
