Name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Signed,Signed From,Video,playerId
"Tyler Danish","CHW","RHP","-1",0,21,,"40",2017,"","22","6' 0""","205","R","R","2nd rd 2013","Durant HS (FL)","1o5ab2_lh88","15126"
"Drew Ellis","ARI","3B","AA",0,6,,"40",2021,"","22","6' 3""","220","R","R","2nd rd 2017","Louisville","","sa3004687"
"Gerson Bautista","NYM","RHP","MLB",0,15,,"40",2019,"","22","6' 2""","170","R","R","J2 2012","Dominican Republic","I1w4-Q8fjiY","19256"
"Jameson Fisher","CHW","LF","A+",0,22,,"40",2019,"","23","6' 2""","200","L","R","4th rd 2016","Southeast Lousiana","","sa658576"
"Marcus Wilson","ARI","CF",,0,7,,"40",2021,"","21","6' 3""","175","R","R","2nd rd 2014","JSerra HS (CA)","","sa828703"
"Adrian Hernandez","NYM","OF",,0,16,,"40",2022,"","17","5' 9""","210","R","R","J2 2017","Dominican Republic","",""
"Aaron Bummer","CHW","LHP","MLB",0,23,,"40",2018,"","24","6' 3""","200","L","L","19th rd 2014","Nebraska","","16258"
"Matt Tabor","ARI","RHP","A",0,8,,"40",2022,"","19","6' 2""","180","R","R","3rd rd 2017","Milton Academy HS (MA)","","sa3005334"
"Gavin Cecchini","NYM","2B","-1",0,17,,"40",2018,"","24","6' 2""","196","R","R","1st rd 2012","Barbe HS (LA)","","17005"
"Jordan Stephens","CHW","RHP","AAA",0,24,,"40",2019,"","24","6' 1""","185","R","R","5th rd 2015","Rice","","sa875031"
"Taylor Widener","ARI","RHP",,0,9,,"40",2019,"","23","6' 0""","195","R","R","12th rd 2016","South Carolina","","sa918271"
"Jamie Callahan","NYM","RHP","MLB",0,18,,"40",2018,"","23","6' 2""","230","R","R","2nd rd 2012","Dillon HS (SC)","","14711"
"Danny Mendick","CHW","SS","MLB",0,25,,"40",2019,"","24","5' 10""","190","R","R","22nd rd 2015","UMass Lowell","","18889"
"Taylor Clarke","ARI","RHP",,0,10,,"40",2018,"","24","6' 4""","200","R","R","3rd rd 2015","Charleston","","17611"
"Eduardo Diaz","ARI","CF","A+",0,11,,"40",2022,"","20","6' 2""","175","R","R","J2 2015","Dominican Republic","","sa917182"
"Domingo Leyba","ARI","2B","MLB",0,12,,"40",2019,"","22","5' 9""","160","S","R","J2 2012","Dominican Republic","OYwgNhVUC4w","16404"
"Yoan Lopez","ARI","RHP","MLB",0,13,,"40",2018,"","25","6' 3""","185","R","R","J2 2014","Cuba","","17181"
"Jhoan Duran","ARI","RHP",,0,14,,"40",2022,"","20","6' 5""","175","R","R","J2 2014","Dominican Republic","","sa873347"
"Gabriel Maciel","ARI","CF","A+",0,15,,"40",2022,"","19","5' 10""","170","S","R","J2 2015","Brazil","","sa919532"
"Joey Krehbiel","ARI","RHP","MLB",0,16,,"40",2018,"","25","6' 2""","185","R","R","12th rd 2011","Seminole HS (FL)","","13707"
"Jared Miller","ARI","LHP","-1",0,17,,"40",2018,"","24","6' 7""","240","L","L","11th rd 2014","Vanderbilt","","sa827467"
"Wei-Chieh Huang","ARI","RHP","AAA",0,18,,"40",2019,"","24","6' 1""","170","R","R","J2 2014","Taiwan","","17508"
"Socrates Brito","ARI","CF",,0,19,,"40",2018,"","25","6' 2""","205","L","L","J2 2010","Dominican Republic","","12944"
"James Sherfy","ARI","RHP","MLB",0,20,,"40",2018,"","26","6' 0""","175","R","R","10th rd 2013","Oregon","","15118"
"Conner Capel","CLE","OF","AAA",0,11,,"40",2021,"","20","6' 1""","185","L","L","5th rd 2016","Seven Lakes HS (TX)","mWkRt0PHN0w","sa918012"
"Christian Walker","ARI","1B","MLB",0,21,,"40",2018,"","27","6' 0""","220","R","R","4th rd 2012","South Carolina","","13419"
"Eli Morgan","CLE","RHP","AA",0,12,,"40",2020,"","21","5' 10""","190","R","R","8th rd 2017","Gonzaga","","sa915827"
"Andy Yerzy","ARI","C","A-",0,22,,"40",2022,"","19","6' 3""","215","L","R","2nd rd 2016","York Mills Institute (Ontario)","","sa917939"
